period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,64207,64207,,,0.0,0.0,0,0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,3724.0,3724.0,1788,1788,1350.0,1350.0,6862.0,71069.0,6862.0,6862.0,,,,,3547.0,3547.0,1703.0,1703.0,1285.0,1285.0,6535.0,70742.0,6535.0,6535.0,6.2,11.6
2,2,2.0,13363.34444,26726.68888,,,,,3724.0,7448.0,1788,3576,1350.0,2699.0,6862.0,77930.0,6862.0,13723.0,,,,,3378.0,6924.0,1622.0,3325.0,1224.0,2510.0,6224.0,76966.0,6224.0,12759.0,6.2,17.8
3,3,3.0,13363.34444,40090.03332,,,,,3724.0,11172.0,1788,5364,1350.0,4049.0,6862.0,84792.0,6862.0,20585.0,,,,,3217.0,10141.0,1545.0,4869.0,1166.0,3676.0,5927.0,82893.0,5927.0,18686.0,6.2,24.0
4,4,4.0,13363.34444,53453.37776,,,,,3724.0,14896.0,1788,7152,1350.0,5399.0,6862.0,91653.0,6862.0,27446.0,,,,,3064.0,13205.0,1471.0,6340.0,1110.0,4786.0,5645.0,88538.0,5645.0,24331.0,6.2,30.1
5,5,5.0,13363.34444,66816.7222,,,,,3724.0,18620.0,1788,8940,1350.0,6748.0,6862.0,98515.0,6862.0,34308.0,,,,,2918.0,16123.0,1401.0,7741.0,1058.0,5843.0,5376.0,93914.0,5376.0,29707.0,6.2,36.3
6,6,6.0,13363.34444,80180.06664,,,,,3724.0,22343.0,1788,10728,1350.0,8098.0,6862.0,105377.0,6862.0,41170.0,,,,,2779.0,18901.0,1334.0,9075.0,1007.0,6851.0,5120.0,99034.0,5120.0,34827.0,6.2,42.4
7,7,7.0,13363.34444,93543.41108,,,,,3724.0,26067.0,1788,12516,1350.0,9448.0,6862.0,112238.0,6862.0,48031.0,,,,,2647.0,21548.0,1271.0,10346.0,959.0,7810.0,4876.0,103911.0,4876.0,39704.0,6.2,48.6
8,8,8.0,13363.34444,106906.75552,,,,,3724.0,29791.0,1788,14304,1350.0,10798.0,6862.0,119100.0,6862.0,54893.0,,,,,2520.0,24068.0,1210.0,11556.0,914.0,8723.0,4644.0,108555.0,4644.0,44348.0,6.2,54.8
9,9,9.0,13363.34444,120270.09996,,,,,3724.0,33515.0,1788,16092,1350.0,12147.0,6862.0,125961.0,6862.0,61754.0,,,,,2400.0,26469.0,1153.0,12709.0,870.0,9593.0,4423.0,112978.0,4423.0,48771.0,6.2,60.9
10,10,10.0,13363.34444,133633.4444,,,,,3724.0,37239.0,1788,17880,1350.0,13497.0,6862.0,132823.0,6862.0,68616.0,,,,,2286.0,28755.0,1098.0,13806.0,829.0,10422.0,4212.0,117190.0,4212.0,52983.0,6.2,67.1
11,11,11.0,13363.34444,146996.78884,,,,,3724.0,40963.0,1788,19668,1350.0,14847.0,6862.0,139685.0,6862.0,75478.0,,,,,2177.0,30932.0,1045.0,14852.0,789.0,11211.0,4012.0,121202.0,4012.0,56995.0,6.2,73.2
12,12,12.0,13363.34444,160360.13328,,,,,3724.0,44687.0,1788,21456,1350.0,16196.0,6862.0,146546.0,6862.0,82339.0,,,,,2074.0,33006.0,996.0,15847.0,752.0,11963.0,3821.0,125023.0,3821.0,60816.0,6.2,79.4
13,13,13.0,13363.34444,173723.47772000002,,,,,3724.0,48411.0,1788,23244,1350.0,17546.0,6862.0,153408.0,6862.0,89201.0,,,,,1975.0,34981.0,948.0,16796.0,716.0,12678.0,3639.0,128662.0,3639.0,64455.0,6.2,85.6
post-use,13,14.3,0.0,173723.47772000002,0,64207,0,0,0.0,48411.0,0,23244,0.0,17546.0,0.0,153408.0,0.0,89201.0,0,64207,0,0,0.0,34981.0,0.0,16796.0,0.0,12678.0,0.0,128662.0,0.0,64455.0,0.0,85.6
