period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.5,5.5
1,1.0,1.0,13821.181558,13821.181558,,,,,2209.0,2209.0,1788.0,1788.0,1396.0,1396.0,5393.0,69600.0,5393.0,5393.0,,,,,2103.0,2103.0,1703.0,1703.0,1329.0,1329.0,5136.0,69343.0,5136.0,5136.0,6.4,11.8
2,2.0,2.0,13821.181558,27642.363116,,,,,2209.0,4417.0,1788.0,3576.0,1396.0,2792.0,5393.0,74992.0,5393.0,10785.0,,,,,2003.0,4107.0,1622.0,3325.0,1266.0,2596.0,4891.0,74234.0,4891.0,10027.0,6.4,18.2
3,3.0,3.0,13821.181558,41463.544674000004,,,,,2209.0,6626.0,1788.0,5364.0,1396.0,4188.0,5393.0,80385.0,5393.0,16178.0,,,,,1908.0,6015.0,1545.0,4869.0,1206.0,3801.0,4658.0,78892.0,4658.0,14685.0,6.4,24.6
4,4.0,4.0,13821.181558,55284.726232,,,,,2209.0,8834.0,1788.0,7152.0,1396.0,5584.0,5393.0,85777.0,5393.0,21570.0,,,,,1817.0,7832.0,1471.0,6340.0,1148.0,4950.0,4436.0,83329.0,4436.0,19122.0,6.4,31.0
5,5.0,5.0,13821.181558,69105.90779,,,,,2209.0,11043.0,1788.0,8940.0,1396.0,6980.0,5393.0,91170.0,5393.0,26963.0,,,,,1730.0,9562.0,1401.0,7741.0,1094.0,6044.0,4225.0,87554.0,4225.0,23347.0,6.4,37.3
6,6.0,6.0,13821.181558,82927.089348,,,,,2209.0,13252.0,1788.0,10728.0,1396.0,8376.0,5393.0,96562.0,5393.0,32355.0,,,,,1648.0,11210.0,1334.0,9075.0,1042.0,7085.0,4024.0,91578.0,4024.0,27371.0,6.4,43.7
7,7.0,7.0,13821.181558,96748.27090599999,,,,,2209.0,15460.0,1788.0,12516.0,1396.0,9772.0,5393.0,101955.0,5393.0,37748.0,,,,,1570.0,12780.0,1271.0,10346.0,992.0,8077.0,3832.0,95410.0,3832.0,31203.0,6.4,50.1
8,8.0,8.0,13821.181558,110569.45246399999,,,,,2209.0,17669.0,1788.0,14304.0,1396.0,11168.0,5393.0,107347.0,5393.0,43140.0,,,,,1495.0,14275.0,1210.0,11556.0,945.0,9022.0,3650.0,99060.0,3650.0,34853.0,6.4,56.4
9,9.0,9.0,13821.181558,124390.63402199998,,,,,2209.0,19877.0,1788.0,16092.0,1396.0,12563.0,5393.0,112740.0,5393.0,48533.0,,,,,1424.0,15698.0,1153.0,12709.0,900.0,9922.0,3476.0,102536.0,3476.0,38329.0,6.4,62.8
10,10.0,10.0,13821.181558,138211.81558,,,,,2209.0,22086.0,1788.0,17880.0,1396.0,13959.0,5393.0,118132.0,5393.0,53925.0,,,,,1356.0,17054.0,1098.0,13806.0,857.0,10779.0,3311.0,105847.0,3311.0,41640.0,6.4,69.2
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,1546.0,23632.0,1252.0,19132.0,977.0,14937.0,3775.0,121907.0,3775.0,57700.0,,,,,917.0,17971.0,743.0,14549.0,580.0,11359.0,2240.0,108086.0,2240.0,43879.0,4.5,73.7
post-use,10.7,11.77,0.0,147886.64267059998,0,64207,0,0,0.0,23632.0,0.0,19132.0,0.0,14937.0,0.0,121907.0,0.0,57700.0,0,64207,0,0,0.0,17971.0,0.0,14549.0,0.0,11359.0,0.0,108086.0,0.0,43879.0,0.0,73.7
