period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,1897.0,1897.0,1788.0,1788.0,1275.0,1275.0,4959.0,69166.0,4959.0,4959.0,,,,,1806.0,1806.0,1703.0,1703.0,1214.0,1214.0,4723.0,68930.0,4723.0,4723.0,5.8,11.3
2,2.0,2.0,12622.201554,25244.403108,,,,,1897.0,3793.0,1788.0,3576.0,1275.0,2550.0,4959.0,74126.0,4959.0,9919.0,,,,,1720.0,3527.0,1622.0,3325.0,1156.0,2370.0,4498.0,73429.0,4498.0,9222.0,5.8,17.1
3,3.0,3.0,12622.201554,37866.604662,,,,,1897.0,5690.0,1788.0,5364.0,1275.0,3825.0,4959.0,79085.0,4959.0,14878.0,,,,,1638.0,5165.0,1545.0,4869.0,1101.0,3472.0,4284.0,77713.0,4284.0,13506.0,5.8,22.9
4,4.0,4.0,12622.201554,50488.806216,,,,,1897.0,7586.0,1788.0,7152.0,1275.0,5099.0,4959.0,84045.0,4959.0,19838.0,,,,,1560.0,6725.0,1471.0,6340.0,1049.0,4521.0,4080.0,81793.0,4080.0,17586.0,5.8,28.7
5,5.0,5.0,12622.201554,63111.00777,,,,,1897.0,9483.0,1788.0,8940.0,1275.0,6374.0,4959.0,89004.0,4959.0,24797.0,,,,,1486.0,8211.0,1401.0,7741.0,999.0,5519.0,3886.0,85679.0,3886.0,21472.0,5.8,34.6
6,6.0,6.0,12622.201554,75733.209324,,,,,1897.0,11380.0,1788.0,10728.0,1275.0,7649.0,4959.0,93964.0,4959.0,29757.0,,,,,1415.0,9627.0,1334.0,9075.0,951.0,6471.0,3701.0,89380.0,3701.0,25173.0,5.8,40.4
7,7.0,7.0,12622.201554,88355.410878,,,,,1897.0,13276.0,1788.0,12516.0,1275.0,8924.0,4959.0,98923.0,4959.0,34716.0,,,,,1348.0,10975.0,1271.0,10346.0,906.0,7377.0,3525.0,92904.0,3525.0,28697.0,5.8,46.2
8,8.0,8.0,12622.201554,100977.612432,,,,,1897.0,15173.0,1788.0,14304.0,1275.0,10199.0,4959.0,103883.0,4959.0,39676.0,,,,,1284.0,12258.0,1210.0,11556.0,863.0,8240.0,3357.0,96261.0,3357.0,32054.0,5.8,52.0
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,1707.0,16880.0,1609.0,15913.0,1147.0,11346.0,4464.0,108346.0,4464.0,44139.0,,,,,1106.0,13364.0,1042.0,12599.0,743.0,8983.0,2891.0,99152.0,2891.0,34945.0,5.2,57.3
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,64207,0,0,0.0,16880.0,0.0,15913.0,0.0,11346.0,0.0,108346.0,0.0,44139.0,0,64207,0,0,0.0,13364.0,0.0,12599.0,0.0,8983.0,0.0,99152.0,0.0,34945.0,0.0,57.3
