period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,9.8,9.8
1,1.0,1.0,11576.0,11576.0,,,-7500,-7500,418.0,418.0,1884.0,1884.0,706.0,706.0,-4492.0,71508.0,,,-7317.0,-7317.0,408.0,408.0,1838.0,1838.0,689.0,689.0,-4382.0,71618.0,1.3,11.1
2,2.0,2.0,11576.0,23152.0,,,,,418.0,836.0,1884.0,3768.0,706.0,1412.0,3008.0,74516.0,,,,,398.0,806.0,1793.0,3631.0,672.0,1361.0,2863.0,74481.0,1.3,12.5
3,3.0,3.0,11576.0,34728.0,,,,,418.0,1254.0,1884.0,5652.0,706.0,2118.0,3008.0,77524.0,,,,,388.0,1194.0,1749.0,5381.0,656.0,2017.0,2793.0,77274.0,1.3,13.8
4,4.0,4.0,11576.0,46304.0,,,,,418.0,1672.0,1884.0,7536.0,706.0,2825.0,3008.0,80533.0,,,,,379.0,1573.0,1707.0,7088.0,640.0,2656.0,2725.0,80000.0,1.3,15.1
5,5.0,5.0,11576.0,57880.0,,,,,418.0,2090.0,1884.0,9420.0,706.0,3531.0,3008.0,83541.0,,,,,369.0,1942.0,1665.0,8753.0,624.0,3281.0,2659.0,82658.0,1.3,16.4
6,6.0,6.0,11576.0,69456.0,,,,,418.0,2508.0,1884.0,11304.0,706.0,4237.0,3008.0,86549.0,,,,,360.0,2303.0,1625.0,10377.0,609.0,3889.0,2594.0,85252.0,1.3,17.8
7,7.0,7.0,11576.0,81032.0,,,,,418.0,2926.0,1884.0,13188.0,706.0,4943.0,3008.0,89557.0,,,,,352.0,2654.0,1585.0,11962.0,594.0,4484.0,2531.0,87783.0,1.3,19.1
8,8.0,8.0,11576.0,92608.0,,,,,418.0,3344.0,1884.0,15072.0,706.0,5649.0,3008.0,92565.0,,,,,343.0,2997.0,1546.0,13509.0,580.0,5063.0,2469.0,90252.0,1.3,20.4
9,9.0,9.0,11576.0,104184.0,,,,,418.0,3762.0,1884.0,16956.0,706.0,6355.0,3008.0,95573.0,,,,,335.0,3332.0,1509.0,15017.0,565.0,5629.0,2409.0,92661.0,1.3,21.7
10,10.0,10.0,11576.0,115760.0,,,,,418.0,4180.0,1884.0,18840.0,706.0,7061.0,3008.0,98582.0,,,,,327.0,3659.0,1472.0,16489.0,552.0,6180.0,2350.0,95011.0,1.3,23.1
11,11.0,11.0,11576.0,127336.0,,,,,418.0,4598.0,1884.0,20724.0,706.0,7767.0,3008.0,101590.0,,,,,319.0,3977.0,1436.0,17925.0,538.0,6718.0,2293.0,97303.0,1.3,24.4
12,12.0,12.0,11576.0,138912.0,,,,,418.0,5016.0,1884.0,22608.0,706.0,8474.0,3008.0,104598.0,,,,,311.0,4288.0,1401.0,19326.0,525.0,7243.0,2237.0,99540.0,1.3,25.7
13,13.0,13.0,11576.0,150488.0,,,,,418.0,5434.0,1884.0,24492.0,706.0,9180.0,3008.0,107606.0,,,,,303.0,4591.0,1367.0,20692.0,512.0,7756.0,2182.0,101722.0,1.3,27.0
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,59.0,5493.0,264.0,24756.0,99.0,9279.0,421.0,108027.0,,,,,42.0,4634.0,191.0,20883.0,71.0,7827.0,304.0,102027.0,0.2,27.2
post-use,13.14,14.454000000000002,0.0,152108.64,0,76000,0,-7500,0.0,5493.0,0.0,24756.0,0.0,9279.0,0.0,108027.0,0,76000,0.0,-7317.0,0.0,4634.0,0.0,20883.0,0.0,7827.0,0.0,102027.0,0.0,27.2
