period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,11533.46302,11533.46302,,,-7500,-7500,432.0,432.0,1884.0,1884.0,704.0,704.0,-4481.0,71519.0,-4481.0,-4481.0,,,-7143.0,-7143.0,411.0,411.0,1794.0,1794.0,670.0,670.0,-4267.0,71733.0,-4267.0,-4267.0,1.4,11.2
2,2.0,2.0,11533.46302,23066.92604,,,,,432.0,864.0,1884.0,3768.0,704.0,1407.0,3019.0,74539.0,3019.0,-1461.0,,,,,392.0,803.0,1709.0,3503.0,638.0,1308.0,2739.0,74471.0,2739.0,-1529.0,1.4,12.5
3,3.0,3.0,11533.46302,34600.38906,,,,,432.0,1295.0,1884.0,5652.0,704.0,2111.0,3019.0,77558.0,3019.0,1558.0,,,,,373.0,1176.0,1627.0,5131.0,608.0,1916.0,2608.0,77079.0,2608.0,1079.0,1.4,13.9
4,4.0,4.0,11533.46302,46133.85208,,,,,432.0,1727.0,1884.0,7536.0,704.0,2814.0,3019.0,80577.0,3019.0,4577.0,,,,,355.0,1531.0,1550.0,6681.0,579.0,2495.0,2484.0,79563.0,2484.0,3563.0,1.4,15.2
5,5.0,5.0,11533.46302,57667.31509999999,,,,,432.0,2159.0,1884.0,9420.0,704.0,3518.0,3019.0,83596.0,3019.0,7596.0,,,,,338.0,1869.0,1476.0,8157.0,551.0,3046.0,2366.0,81929.0,2366.0,5929.0,1.4,16.6
6,6.0,6.0,11533.46302,69200.77811999999,,,,,432.0,2591.0,1884.0,11304.0,704.0,4221.0,3019.0,86616.0,3019.0,10616.0,,,,,322.0,2191.0,1406.0,9563.0,525.0,3571.0,2253.0,84182.0,2253.0,8182.0,1.4,17.9
7,7.0,7.0,11533.46302,80734.24113999998,,,,,432.0,3022.0,1884.0,13188.0,704.0,4925.0,3019.0,89635.0,3019.0,13635.0,,,,,307.0,2498.0,1339.0,10902.0,500.0,4071.0,2146.0,86328.0,2146.0,10328.0,1.4,19.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,432.0,3454.0,1884.0,15072.0,704.0,5628.0,3019.0,92654.0,3019.0,16654.0,,,,,292.0,2791.0,1275.0,12177.0,476.0,4547.0,2044.0,88371.0,2044.0,12371.0,1.4,20.7
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,389.0,3843.0,1696.0,16768.0,633.0,6262.0,2717.0,95372.0,2717.0,19372.0,,,,,252.0,3042.0,1098.0,13275.0,410.0,4957.0,1760.0,90132.0,1760.0,14132.0,1.2,21.9
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,76000,0,-7500,0.0,3843.0,0.0,16768.0,0.0,6262.0,0.0,95372.0,0.0,19372.0,0,76000,0.0,-7143.0,0.0,3042.0,0.0,13275.0,0.0,4957.0,0.0,90132.0,0.0,14132.0,0.0,21.9
