period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12954.19509,12954.19509,,,-7500,-7500,395.0,395.0,1884.0,1884.0,790.0,790.0,-4430.0,71570.0,-4430.0,-4430.0,,,-7143.0,-7143.0,376.0,376.0,1794.0,1794.0,753.0,753.0,-4220.0,71780.0,-4220.0,-4220.0,0.4,10.2
2,2.0,2.0,12954.19509,25908.39018,,,,,395.0,791.0,1884.0,3768.0,790.0,1580.0,3070.0,74639.0,3070.0,-1361.0,,,,,359.0,735.0,1709.0,3503.0,717.0,1469.0,2784.0,74565.0,2784.0,-1435.0,0.4,10.6
3,3.0,3.0,12954.19509,38862.585269999996,,,,,395.0,1186.0,1884.0,5652.0,790.0,2371.0,3070.0,77709.0,3070.0,1709.0,,,,,341.0,1077.0,1627.0,5131.0,683.0,2152.0,2652.0,77216.0,2652.0,1216.0,0.4,11.0
4,4.0,4.0,12954.19509,51816.78036,,,,,395.0,1581.0,1884.0,7536.0,790.0,3161.0,3070.0,80778.0,3070.0,4778.0,,,,,325.0,1402.0,1550.0,6681.0,650.0,2802.0,2525.0,79742.0,2525.0,3742.0,0.4,11.3
5,5.0,5.0,12954.19509,64770.97545,,,,,395.0,1977.0,1884.0,9420.0,790.0,3951.0,3070.0,83848.0,3070.0,7848.0,,,,,310.0,1712.0,1476.0,8157.0,619.0,3421.0,2405.0,82147.0,2405.0,6147.0,0.4,11.7
6,6.0,6.0,12954.19509,77725.17053999999,,,,,395.0,2372.0,1884.0,11304.0,790.0,4741.0,3070.0,86917.0,3070.0,10917.0,,,,,295.0,2007.0,1406.0,9563.0,590.0,4011.0,2291.0,84437.0,2291.0,8437.0,0.4,12.1
7,7.0,7.0,12954.19509,90679.36562999999,,,,,395.0,2767.0,1884.0,13188.0,790.0,5531.0,3070.0,89987.0,3070.0,13987.0,,,,,281.0,2287.0,1339.0,10902.0,562.0,4572.0,2181.0,86619.0,2181.0,10619.0,0.4,12.5
8,8.0,8.0,12954.19509,103633.56071999998,,,,,395.0,3163.0,1884.0,15072.0,790.0,6322.0,3070.0,93056.0,3070.0,17056.0,,,,,268.0,2555.0,1275.0,12177.0,535.0,5107.0,2078.0,88696.0,2078.0,12696.0,0.4,12.8
9,9.0,9.0,12954.19509,116587.75580999997,,,,,395.0,3558.0,1884.0,16956.0,790.0,7112.0,3070.0,96126.0,3070.0,20126.0,,,,,255.0,2810.0,1214.0,13391.0,509.0,5617.0,1979.0,90675.0,1979.0,14675.0,0.4,13.2
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,356.0,3914.0,1696.0,18652.0,711.0,7823.0,2763.0,98888.0,2763.0,22888.0,,,,,219.0,3029.0,1046.0,14437.0,439.0,6055.0,1704.0,92379.0,1704.0,16379.0,0.3,13.6
post-use,9.9,10.89,0.0,128246.53139099998,0,76000,0,-7500,0.0,3914.0,0.0,18652.0,0.0,7823.0,0.0,98888.0,0.0,22888.0,0,76000,0.0,-7143.0,0.0,3029.0,0.0,14437.0,0.0,6055.0,0.0,92379.0,0.0,16379.0,0.0,13.6
