period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,11533.46302,11533.46302,,,-7500,-7500,352.0,352.0,1884.0,1884.0,704.0,704.0,-4560.0,71440.0,-4560.0,-4560.0,,,-7143.0,-7143.0,335.0,335.0,1794.0,1794.0,670.0,670.0,-4343.0,71657.0,-4343.0,-4343.0,0.3,10.2
2,2.0,2.0,11533.46302,23066.92604,,,,,352.0,704.0,1884.0,3768.0,704.0,1407.0,2940.0,74379.0,2940.0,-1621.0,,,,,319.0,654.0,1709.0,3503.0,638.0,1308.0,2666.0,74323.0,2666.0,-1677.0,0.3,10.5
3,3.0,3.0,11533.46302,34600.38906,,,,,352.0,1056.0,1884.0,5652.0,704.0,2111.0,2940.0,77319.0,2940.0,1319.0,,,,,304.0,958.0,1627.0,5131.0,608.0,1916.0,2539.0,76862.0,2539.0,862.0,0.3,10.8
4,4.0,4.0,11533.46302,46133.85208,,,,,352.0,1408.0,1884.0,7536.0,704.0,2814.0,2940.0,80258.0,2940.0,4258.0,,,,,290.0,1248.0,1550.0,6681.0,579.0,2495.0,2418.0,79280.0,2418.0,3280.0,0.3,11.2
5,5.0,5.0,11533.46302,57667.31509999999,,,,,352.0,1760.0,1884.0,9420.0,704.0,3518.0,2940.0,83198.0,2940.0,7198.0,,,,,276.0,1524.0,1476.0,8157.0,551.0,3046.0,2303.0,81584.0,2303.0,5584.0,0.3,11.5
6,6.0,6.0,11533.46302,69200.77811999999,,,,,352.0,2112.0,1884.0,11304.0,704.0,4221.0,2940.0,86137.0,2940.0,10137.0,,,,,263.0,1786.0,1406.0,9563.0,525.0,3571.0,2194.0,83777.0,2194.0,7777.0,0.3,11.8
7,7.0,7.0,11533.46302,80734.24113999998,,,,,352.0,2464.0,1884.0,13188.0,704.0,4925.0,2940.0,89077.0,2940.0,13077.0,,,,,250.0,2037.0,1339.0,10902.0,500.0,4071.0,2089.0,85866.0,2089.0,9866.0,0.3,12.2
8,8.0,8.0,11533.46302,92267.70415999998,,,,,352.0,2816.0,1884.0,15072.0,704.0,5628.0,2940.0,92016.0,2940.0,16016.0,,,,,238.0,2275.0,1275.0,12177.0,476.0,4547.0,1990.0,87856.0,1990.0,11856.0,0.3,12.5
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,317.0,3132.0,1696.0,16768.0,633.0,6262.0,2646.0,94662.0,2646.0,18662.0,,,,,205.0,2480.0,1098.0,13275.0,410.0,4957.0,1714.0,89569.0,1714.0,13569.0,0.3,12.8
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,76000,0,-7500,0.0,3132.0,0.0,16768.0,0.0,6262.0,0.0,94662.0,0.0,18662.0,0,76000,0.0,-7143.0,0.0,2480.0,0.0,13275.0,0.0,4957.0,0.0,89569.0,0.0,13569.0,0.0,12.8
