period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,9.8,9.8
1,1.0,1.0,11576.0,11576.0,,,-7500,-7500,369.0,369.0,1884.0,1884.0,706.0,706.0,-4541.0,71459.0,,,-7317.0,-7317.0,360.0,360.0,1838.0,1838.0,689.0,689.0,-4430.0,71570.0,3.0,12.8
2,2.0,2.0,11576.0,23152.0,,,,,369.0,738.0,1884.0,3768.0,706.0,1412.0,2959.0,74418.0,,,,,351.0,711.0,1793.0,3631.0,672.0,1361.0,2816.0,74386.0,3.0,15.8
3,3.0,3.0,11576.0,34728.0,,,,,369.0,1107.0,1884.0,5652.0,706.0,2118.0,2959.0,77377.0,,,,,343.0,1054.0,1749.0,5381.0,656.0,2017.0,2748.0,77134.0,3.0,18.7
4,4.0,4.0,11576.0,46304.0,,,,,369.0,1475.0,1884.0,7536.0,706.0,2825.0,2959.0,80336.0,,,,,334.0,1388.0,1707.0,7088.0,640.0,2656.0,2681.0,79815.0,3.0,21.7
5,5.0,5.0,11576.0,57880.0,,,,,369.0,1844.0,1884.0,9420.0,706.0,3531.0,2959.0,83295.0,,,,,326.0,1714.0,1665.0,8753.0,624.0,3281.0,2615.0,82430.0,3.0,24.7
6,6.0,6.0,11576.0,69456.0,,,,,369.0,2213.0,1884.0,11304.0,706.0,4237.0,2959.0,86254.0,,,,,318.0,2032.0,1625.0,10377.0,609.0,3889.0,2552.0,84982.0,3.0,27.6
7,7.0,7.0,11576.0,81032.0,,,,,369.0,2582.0,1884.0,13188.0,706.0,4943.0,2959.0,89213.0,,,,,310.0,2342.0,1585.0,11962.0,594.0,4484.0,2489.0,87471.0,3.0,30.6
8,8.0,8.0,11576.0,92608.0,,,,,369.0,2951.0,1884.0,15072.0,706.0,5649.0,2959.0,92172.0,,,,,303.0,2645.0,1546.0,13509.0,580.0,5063.0,2429.0,89899.0,3.0,33.6
9,9.0,9.0,11576.0,104184.0,,,,,369.0,3320.0,1884.0,16956.0,706.0,6355.0,2959.0,95131.0,,,,,295.0,2940.0,1509.0,15017.0,565.0,5629.0,2369.0,92269.0,3.0,36.6
10,10.0,10.0,11576.0,115760.0,,,,,369.0,3689.0,1884.0,18840.0,706.0,7061.0,2959.0,98090.0,,,,,288.0,3228.0,1472.0,16489.0,552.0,6180.0,2312.0,94580.0,3.0,39.5
11,11.0,11.0,11576.0,127336.0,,,,,369.0,4058.0,1884.0,20724.0,706.0,7767.0,2959.0,101049.0,,,,,281.0,3510.0,1436.0,17925.0,538.0,6718.0,2255.0,96836.0,3.0,42.5
12,12.0,12.0,11576.0,138912.0,,,,,369.0,4426.0,1884.0,22608.0,706.0,8474.0,2959.0,104008.0,,,,,274.0,3784.0,1401.0,19326.0,525.0,7243.0,2200.0,99036.0,3.0,45.5
13,13.0,13.0,11576.0,150488.0,,,,,369.0,4795.0,1884.0,24492.0,706.0,9180.0,2959.0,106967.0,,,,,268.0,4051.0,1367.0,20692.0,512.0,7756.0,2147.0,101182.0,3.0,48.4
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,52.0,4847.0,264.0,24756.0,99.0,9279.0,414.0,107381.0,,,,,37.0,4089.0,191.0,20883.0,71.0,7827.0,299.0,101482.0,0.4,48.9
post-use,13.14,14.454000000000002,0.0,152108.64,0,76000,0,-7500,0.0,4847.0,0.0,24756.0,0.0,9279.0,0.0,107381.0,0,76000,0.0,-7317.0,0.0,4089.0,0.0,20883.0,0.0,7827.0,0.0,101482.0,0.0,48.9
