period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,76000,76000,,,0.0,0.0,0,0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,14350.869023,14350.869023,,,-4153,-4153,457.0,457.0,1884,1884,875.0,875.0,-936.0,75064.0,-936.0,-936.0,,,-4052.0,-4052.0,446.0,446.0,1838.0,1838.0,854.0,854.0,-913.0,75087.0,-913.0,-913.0,3.7,13.5
2,2.0,2.0,14350.869023,28701.738046,,,,,457.0,915.0,1884,3768,875.0,1751.0,3217.0,78280.0,3217.0,2280.0,,,,,435.0,881.0,1793.0,3631.0,833.0,1687.0,3062.0,78148.0,3062.0,2148.0,3.7,17.2
3,3.0,3.0,14350.869023,43052.607069,,,,,457.0,1372.0,1884,5652,875.0,2626.0,3217.0,81497.0,3217.0,5497.0,,,,,425.0,1306.0,1749.0,5381.0,813.0,2500.0,2987.0,81135.0,2987.0,5135.0,3.7,20.9
4,4.0,4.0,14350.869023,57403.476092,,,,,457.0,1829.0,1884,7536,875.0,3502.0,3217.0,84714.0,3217.0,8714.0,,,,,414.0,1720.0,1707.0,7088.0,793.0,3293.0,2914.0,84049.0,2914.0,8049.0,3.7,24.6
5,5.0,5.0,14350.869023,71754.345115,,,,,457.0,2286.0,1884,9420,875.0,4377.0,3217.0,87930.0,3217.0,11930.0,,,,,404.0,2125.0,1665.0,8753.0,774.0,4067.0,2843.0,86893.0,2843.0,10893.0,3.7,28.2
6,6.0,6.0,14350.869023,86105.21413800001,,,,,457.0,2744.0,1884,11304,875.0,5252.0,3217.0,91147.0,3217.0,15147.0,,,,,394.0,2519.0,1625.0,10377.0,755.0,4822.0,2774.0,89666.0,2774.0,13666.0,3.7,31.9
7,7.0,7.0,14350.869023,100456.08316100002,,,,,457.0,3201.0,1884,13188,875.0,6128.0,3217.0,94364.0,3217.0,18364.0,,,,,385.0,2904.0,1585.0,11962.0,736.0,5558.0,2706.0,92372.0,2706.0,16372.0,3.7,35.6
8,8.0,8.0,14350.869023,114806.95218400002,,,,,457.0,3658.0,1884,15072,875.0,7003.0,3217.0,97581.0,3217.0,21581.0,,,,,375.0,3279.0,1546.0,13509.0,718.0,6277.0,2640.0,95012.0,2640.0,19012.0,3.7,39.3
9,9.0,9.0,14350.869023,129157.82120700003,,,,,457.0,4116.0,1884,16956,875.0,7879.0,3217.0,100797.0,3217.0,24797.0,,,,,366.0,3645.0,1509.0,15017.0,701.0,6978.0,2576.0,97588.0,2576.0,21588.0,3.7,43.0
10,10.0,10.0,14350.869023,143508.69023000004,,,,,457.0,4573.0,1884,18840,875.0,8754.0,3217.0,104014.0,3217.0,28014.0,,,,,357.0,4002.0,1472.0,16489.0,684.0,7662.0,2513.0,100101.0,2513.0,24101.0,3.7,46.6
11,11.0,11.0,14350.869023,157859.55925300004,,,,,457.0,5030.0,1884,20724,875.0,9629.0,3217.0,107231.0,3217.0,31231.0,,,,,349.0,4351.0,1436.0,17925.0,667.0,8329.0,2452.0,102553.0,2452.0,26553.0,3.7,50.3
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,229.0,5259.0,942,21666,438.0,10067.0,1608.0,108839.0,1608.0,32839.0,,,,,172.0,4523.0,709.0,18634.0,329.0,8658.0,1211.0,103763.0,1211.0,27763.0,1.8,52.2
post-use,11.5,12.65,0.0,165034.99376450005,0,76000,0,-4153,0.0,5259.0,0,21666,0.0,10067.0,0.0,108839.0,0.0,32839.0,0,76000,0.0,-4052.0,0.0,4523.0,0.0,18634.0,0.0,8658.0,0.0,103763.0,0.0,27763.0,0.0,52.2
