period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,11533.46302,11533.46302,,,-7500,-7500,368.0,368.0,1884.0,1884.0,704.0,704.0,-4545.0,71455.0,-4545.0,-4545.0,,,-7143.0,-7143.0,350.0,350.0,1794.0,1794.0,670.0,670.0,-4329.0,71671.0,-4329.0,-4329.0,3.0,12.8
2,2.0,2.0,11533.46302,23066.92604,,,,,368.0,735.0,1884.0,3768.0,704.0,1407.0,2955.0,74410.0,2955.0,-1590.0,,,,,333.0,683.0,1709.0,3503.0,638.0,1308.0,2680.0,74352.0,2680.0,-1648.0,3.0,15.7
3,3.0,3.0,11533.46302,34600.38906,,,,,368.0,1103.0,1884.0,5652.0,704.0,2111.0,2955.0,77365.0,2955.0,1365.0,,,,,317.0,1001.0,1627.0,5131.0,608.0,1916.0,2553.0,76905.0,2553.0,905.0,3.0,18.7
4,4.0,4.0,11533.46302,46133.85208,,,,,368.0,1470.0,1884.0,7536.0,704.0,2814.0,2955.0,80320.0,2955.0,4320.0,,,,,302.0,1303.0,1550.0,6681.0,579.0,2495.0,2431.0,79336.0,2431.0,3336.0,3.0,21.7
5,5.0,5.0,11533.46302,57667.31509999999,,,,,368.0,1838.0,1884.0,9420.0,704.0,3518.0,2955.0,83275.0,2955.0,7275.0,,,,,288.0,1591.0,1476.0,8157.0,551.0,3046.0,2315.0,81651.0,2315.0,5651.0,3.0,24.6
6,6.0,6.0,11533.46302,69200.77811999999,,,,,368.0,2205.0,1884.0,11304.0,704.0,4221.0,2955.0,86230.0,2955.0,10230.0,,,,,274.0,1865.0,1406.0,9563.0,525.0,3571.0,2205.0,83856.0,2205.0,7856.0,3.0,27.6
7,7.0,7.0,11533.46302,80734.24113999998,,,,,368.0,2573.0,1884.0,13188.0,704.0,4925.0,2955.0,89185.0,2955.0,13185.0,,,,,261.0,2127.0,1339.0,10902.0,500.0,4071.0,2100.0,85956.0,2100.0,9956.0,3.0,30.5
8,8.0,8.0,11533.46302,92267.70415999998,,,,,368.0,2940.0,1884.0,15072.0,704.0,5628.0,2955.0,92140.0,2955.0,16140.0,,,,,249.0,2375.0,1275.0,12177.0,476.0,4547.0,2000.0,87956.0,2000.0,11956.0,3.0,33.5
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,331.0,3271.0,1696.0,16768.0,633.0,6262.0,2660.0,94800.0,2660.0,18800.0,,,,,214.0,2590.0,1098.0,13275.0,410.0,4957.0,1723.0,89679.0,1723.0,13679.0,2.7,36.2
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,76000,0,-7500,0.0,3271.0,0.0,16768.0,0.0,6262.0,0.0,94800.0,0.0,18800.0,0,76000,0.0,-7143.0,0.0,2590.0,0.0,13275.0,0.0,4957.0,0.0,89679.0,0.0,13679.0,0.0,36.2
