period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.5,5.5
1,1.0,1.0,13821.181558,13821.181558,,,,,1786.0,1786.0,1788.0,1788.0,1396.0,1396.0,4970.0,47424.0,4970.0,4970.0,,,,,1701.0,1701.0,1703.0,1703.0,1329.0,1329.0,4733.0,47188.0,4733.0,4733.0,3.8,9.3
2,2.0,2.0,13821.181558,27642.363116,,,,,1786.0,3572.0,1788.0,3576.0,1396.0,2792.0,4970.0,52394.0,4970.0,9940.0,,,,,1620.0,3321.0,1622.0,3325.0,1266.0,2596.0,4508.0,51696.0,4508.0,9241.0,3.8,13.1
3,3.0,3.0,13821.181558,41463.544674000004,,,,,1786.0,5358.0,1788.0,5364.0,1396.0,4188.0,4970.0,57364.0,4970.0,14910.0,,,,,1543.0,4864.0,1545.0,4869.0,1206.0,3801.0,4293.0,55989.0,4293.0,13534.0,3.8,16.9
4,4.0,4.0,13821.181558,55284.726232,,,,,1786.0,7144.0,1788.0,7152.0,1396.0,5584.0,4970.0,62334.0,4970.0,19880.0,,,,,1469.0,6333.0,1471.0,6340.0,1148.0,4950.0,4089.0,60078.0,4089.0,17623.0,3.8,20.7
5,5.0,5.0,13821.181558,69105.90779,,,,,1786.0,8930.0,1788.0,8940.0,1396.0,6980.0,4970.0,67304.0,4970.0,24850.0,,,,,1399.0,7733.0,1401.0,7741.0,1094.0,6044.0,3894.0,63972.0,3894.0,21517.0,3.8,24.5
6,6.0,6.0,13821.181558,82927.089348,,,,,1786.0,10716.0,1788.0,10728.0,1396.0,8376.0,4970.0,72274.0,4970.0,29820.0,,,,,1333.0,9065.0,1334.0,9075.0,1042.0,7085.0,3709.0,67681.0,3709.0,25226.0,3.8,28.3
7,7.0,7.0,13821.181558,96748.27090599999,,,,,1786.0,12502.0,1788.0,12516.0,1396.0,9772.0,4970.0,77244.0,4970.0,34790.0,,,,,1269.0,10335.0,1271.0,10346.0,992.0,8077.0,3532.0,71213.0,3532.0,28758.0,3.8,32.1
8,8.0,8.0,13821.181558,110569.45246399999,,,,,1786.0,14288.0,1788.0,14304.0,1396.0,11168.0,4970.0,82214.0,4970.0,39760.0,,,,,1209.0,11543.0,1210.0,11556.0,945.0,9022.0,3364.0,74576.0,3364.0,32122.0,3.8,35.9
9,9.0,9.0,13821.181558,124390.63402199998,,,,,1786.0,16074.0,1788.0,16092.0,1396.0,12563.0,4970.0,87184.0,4970.0,44730.0,,,,,1151.0,12695.0,1153.0,12709.0,900.0,9922.0,3204.0,77780.0,3204.0,35326.0,3.8,39.7
10,10.0,10.0,13821.181558,138211.81558,,,,,1786.0,17860.0,1788.0,17880.0,1396.0,13959.0,4970.0,92154.0,4970.0,49700.0,,,,,1096.0,13791.0,1098.0,13806.0,857.0,10779.0,3051.0,80831.0,3051.0,38377.0,3.8,43.5
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,1250.0,19110.0,1252.0,19132.0,977.0,14937.0,3479.0,95633.0,3479.0,53179.0,,,,,742.0,14533.0,743.0,14549.0,580.0,11359.0,2064.0,82895.0,2064.0,40441.0,2.7,46.1
post-use,10.7,11.77,0.0,147886.64267059998,0.0,42454.0,0,0,0.0,19110.0,0.0,19132.0,0.0,14937.0,0.0,95633.0,0.0,53179.0,0.0,42454.0,0,0,0.0,14533.0,0.0,14549.0,0.0,11359.0,0.0,82895.0,0.0,40441.0,0.0,46.1
