period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,5.5,5.5
1,1.0,1.0,11576.0,11576.0,,,,,1972.0,1972.0,1788.0,1788.0,1169.0,1169.0,4930.0,47384.0,,,,,1924.0,1924.0,1744.0,1744.0,1141.0,1141.0,4809.0,47264.0,3.2,8.7
2,2.0,2.0,11576.0,23152.0,,,,,1972.0,3945.0,1788.0,3576.0,1169.0,2338.0,4930.0,52314.0,,,,,1877.0,3802.0,1702.0,3446.0,1113.0,2253.0,4692.0,51956.0,3.2,11.8
3,3.0,3.0,11576.0,34728.0,,,,,1972.0,5917.0,1788.0,5364.0,1169.0,3508.0,4930.0,57243.0,,,,,1832.0,5633.0,1660.0,5107.0,1086.0,3339.0,4578.0,56533.0,3.2,15.0
4,4.0,4.0,11576.0,46304.0,,,,,1972.0,7890.0,1788.0,7152.0,1169.0,4677.0,4930.0,62173.0,,,,,1787.0,7420.0,1620.0,6726.0,1059.0,4398.0,4466.0,60999.0,3.2,18.2
5,5.0,5.0,11576.0,57880.0,,,,,1972.0,9862.0,1788.0,8940.0,1169.0,5846.0,4930.0,67102.0,,,,,1743.0,9163.0,1580.0,8307.0,1033.0,5432.0,4357.0,65356.0,3.2,21.4
6,6.0,6.0,11576.0,69456.0,,,,,1972.0,11834.0,1788.0,10728.0,1169.0,7015.0,4930.0,72032.0,,,,,1701.0,10864.0,1542.0,9849.0,1008.0,6440.0,4251.0,69607.0,3.2,24.6
7,7.0,7.0,11576.0,81032.0,,,,,1972.0,13807.0,1788.0,12516.0,1169.0,8184.0,4930.0,76961.0,,,,,1659.0,12523.0,1504.0,11353.0,984.0,7424.0,4147.0,73754.0,3.2,27.7
8,8.0,8.0,11576.0,92608.0,,,,,1972.0,15779.0,1788.0,14304.0,1169.0,9353.0,4930.0,81891.0,,,,,1619.0,14142.0,1467.0,12820.0,960.0,8383.0,4046.0,77800.0,3.2,30.9
9,9.0,9.0,11576.0,104184.0,,,,,1972.0,17752.0,1788.0,16092.0,1169.0,10523.0,4930.0,86821.0,,,,,1579.0,15722.0,1432.0,14252.0,936.0,9319.0,3947.0,81747.0,3.2,34.1
10,10.0,10.0,11576.0,115760.0,,,,,1972.0,19724.0,1788.0,17880.0,1169.0,11692.0,4930.0,91750.0,,,,,1541.0,17262.0,1397.0,15649.0,913.0,10233.0,3851.0,85598.0,3.2,37.3
11,11.0,11.0,11576.0,127336.0,,,,,1972.0,21696.0,1788.0,19668.0,1169.0,12861.0,4930.0,96680.0,,,,,1503.0,18766.0,1363.0,17011.0,891.0,11124.0,3757.0,89355.0,3.2,40.5
12,12.0,12.0,11576.0,138912.0,,,,,1972.0,23669.0,1788.0,21456.0,1169.0,14030.0,4930.0,101609.0,,,,,1467.0,20232.0,1329.0,18341.0,869.0,11993.0,3665.0,93021.0,3.2,43.6
13,13.0,13.0,11576.0,150488.0,,,,,1972.0,25641.0,1788.0,23244.0,1169.0,15199.0,4930.0,106539.0,,,,,1431.0,21663.0,1297.0,19638.0,848.0,12841.0,3576.0,96597.0,3.2,46.8
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,276.0,25917.0,250.0,23494.0,164.0,15363.0,690.0,107229.0,,,,,200.0,21863.0,181.0,19819.0,118.0,12960.0,499.0,97096.0,0.4,47.3
post-use,13.14,14.454000000000002,0.0,152108.64,0.0,42454.0,0,0,0.0,25917.0,0.0,23494.0,0.0,15363.0,0.0,107229.0,0.0,42454.0,0,0,0.0,21863.0,0.0,19819.0,0.0,12960.0,0.0,97096.0,0.0,47.3
