period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1965.0,1965.0,1788.0,1788.0,1165.0,1165.0,4918.0,47373.0,4918.0,4918.0,,,,,1872.0,1872.0,1703.0,1703.0,1109.0,1109.0,4684.0,47138.0,4684.0,4684.0,3.2,8.6
2,2.0,2.0,11533.46302,23066.92604,,,,,1965.0,3930.0,1788.0,3576.0,1165.0,2330.0,4918.0,52291.0,4918.0,9836.0,,,,,1782.0,3654.0,1622.0,3325.0,1057.0,2166.0,4461.0,51599.0,4461.0,9145.0,3.2,11.8
3,3.0,3.0,11533.46302,34600.38906,,,,,1965.0,5895.0,1788.0,5364.0,1165.0,3495.0,4918.0,57209.0,4918.0,14754.0,,,,,1698.0,5352.0,1545.0,4869.0,1006.0,3172.0,4248.0,55847.0,4248.0,13393.0,3.2,15.0
4,4.0,4.0,11533.46302,46133.85208,,,,,1965.0,7861.0,1788.0,7152.0,1165.0,4660.0,4918.0,62127.0,4918.0,19672.0,,,,,1617.0,6968.0,1471.0,6340.0,958.0,4131.0,4046.0,59894.0,4046.0,17439.0,3.2,18.1
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1965.0,9826.0,1788.0,8940.0,1165.0,5824.0,4918.0,67045.0,4918.0,24590.0,,,,,1540.0,8508.0,1401.0,7741.0,913.0,5043.0,3853.0,63747.0,3853.0,21292.0,3.2,21.3
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1965.0,11791.0,1788.0,10728.0,1165.0,6989.0,4918.0,71963.0,4918.0,29508.0,,,,,1466.0,9974.0,1334.0,9075.0,869.0,5913.0,3670.0,67417.0,3670.0,24962.0,3.2,24.5
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1965.0,13756.0,1788.0,12516.0,1165.0,8154.0,4918.0,76881.0,4918.0,34426.0,,,,,1397.0,11371.0,1271.0,10346.0,828.0,6740.0,3495.0,70912.0,3495.0,28458.0,3.2,27.7
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1965.0,15721.0,1788.0,14304.0,1165.0,9319.0,4918.0,81799.0,4918.0,39344.0,,,,,1330.0,12701.0,1210.0,11556.0,788.0,7529.0,3329.0,74241.0,3329.0,31786.0,3.2,30.8
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1769.0,17490.0,1609.0,15913.0,1048.0,10367.0,4426.0,86225.0,4426.0,43770.0,,,,,1146.0,13847.0,1042.0,12599.0,679.0,8208.0,2867.0,77108.0,2867.0,34653.0,2.9,33.7
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,42454.0,0,0,0.0,17490.0,0.0,15913.0,0.0,10367.0,0.0,86225.0,0.0,43770.0,0.0,42454.0,0,0,0.0,13847.0,0.0,12599.0,0.0,8208.0,0.0,77108.0,0.0,34653.0,0.0,33.7
