period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,1615.0,1615.0,1788.0,1788.0,1275.0,1275.0,4678.0,47132.0,4678.0,4678.0,,,,,1538.0,1538.0,1703.0,1703.0,1214.0,1214.0,4455.0,46909.0,4455.0,4455.0,3.5,8.9
2,2.0,2.0,12622.201554,25244.403108,,,,,1615.0,3230.0,1788.0,3576.0,1275.0,2550.0,4678.0,51810.0,4678.0,9355.0,,,,,1465.0,3003.0,1622.0,3325.0,1156.0,2370.0,4243.0,51152.0,4243.0,8698.0,3.5,12.4
3,3.0,3.0,12622.201554,37866.604662,,,,,1615.0,4844.0,1788.0,5364.0,1275.0,3825.0,4678.0,56487.0,4678.0,14033.0,,,,,1395.0,4397.0,1545.0,4869.0,1101.0,3472.0,4041.0,55193.0,4041.0,12738.0,3.5,15.9
4,4.0,4.0,12622.201554,50488.806216,,,,,1615.0,6459.0,1788.0,7152.0,1275.0,5099.0,4678.0,61165.0,4678.0,18710.0,,,,,1328.0,5726.0,1471.0,6340.0,1049.0,4521.0,3848.0,59041.0,3848.0,16587.0,3.5,19.3
5,5.0,5.0,12622.201554,63111.00777,,,,,1615.0,8074.0,1788.0,8940.0,1275.0,6374.0,4678.0,65843.0,4678.0,23388.0,,,,,1265.0,6991.0,1401.0,7741.0,999.0,5519.0,3665.0,62706.0,3665.0,20252.0,3.5,22.8
6,6.0,6.0,12622.201554,75733.209324,,,,,1615.0,9689.0,1788.0,10728.0,1275.0,7649.0,4678.0,70520.0,4678.0,28066.0,,,,,1205.0,8196.0,1334.0,9075.0,951.0,6471.0,3491.0,66197.0,3491.0,23742.0,3.5,26.3
7,7.0,7.0,12622.201554,88355.410878,,,,,1615.0,11303.0,1788.0,12516.0,1275.0,8924.0,4678.0,75198.0,4678.0,32743.0,,,,,1148.0,9344.0,1271.0,10346.0,906.0,7377.0,3324.0,69521.0,3324.0,27066.0,3.5,29.8
8,8.0,8.0,12622.201554,100977.612432,,,,,1615.0,12918.0,1788.0,14304.0,1275.0,10199.0,4678.0,79875.0,4678.0,37421.0,,,,,1093.0,10437.0,1210.0,11556.0,863.0,8240.0,3166.0,72687.0,3166.0,30232.0,3.5,33.2
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,1453.0,14372.0,1609.0,15913.0,1147.0,11346.0,4210.0,84085.0,4210.0,41631.0,,,,,941.0,11378.0,1042.0,12599.0,743.0,8983.0,2727.0,75414.0,2727.0,32959.0,3.1,36.3
post-use,8.9,9.790000000000001,0.0,112337.5938306,0.0,42454.0,0,0,0.0,14372.0,0.0,15913.0,0.0,11346.0,0.0,84085.0,0.0,41631.0,0.0,42454.0,0,0,0.0,11378.0,0.0,12599.0,0.0,8983.0,0.0,75414.0,0.0,32959.0,0.0,36.3
