period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1475.0,1475.0,1788.0,1788.0,1165.0,1165.0,4428.0,46883.0,4428.0,4428.0,,,,,1440.0,1440.0,1744.0,1744.0,1136.0,1136.0,4320.0,46775.0,4320.0,4320.0,3.2,8.6
2,2.0,2.0,11533.46302,23066.92604,,,,,1475.0,2951.0,1788.0,3576.0,1165.0,2330.0,4428.0,51311.0,4428.0,8857.0,,,,,1404.0,2844.0,1702.0,3446.0,1109.0,2245.0,4215.0,50990.0,4215.0,8535.0,3.2,11.8
3,3.0,3.0,11533.46302,34600.38906,,,,,1475.0,4426.0,1788.0,5364.0,1165.0,3495.0,4428.0,55740.0,4428.0,13285.0,,,,,1370.0,4214.0,1660.0,5107.0,1082.0,3327.0,4112.0,55102.0,4112.0,12648.0,3.2,15.0
4,4.0,4.0,11533.46302,46133.85208,,,,,1475.0,5902.0,1788.0,7152.0,1165.0,4660.0,4428.0,60168.0,4428.0,17713.0,,,,,1337.0,5551.0,1620.0,6726.0,1055.0,4382.0,4012.0,59114.0,4012.0,16659.0,3.2,18.1
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1475.0,7377.0,1788.0,8940.0,1165.0,5824.0,4428.0,64596.0,4428.0,22142.0,,,,,1304.0,6855.0,1580.0,8307.0,1030.0,5412.0,3914.0,63028.0,3914.0,20573.0,3.2,21.3
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1475.0,8853.0,1788.0,10728.0,1165.0,6989.0,4428.0,69025.0,4428.0,26570.0,,,,,1272.0,8127.0,1542.0,9849.0,1004.0,6416.0,3819.0,66847.0,3819.0,24392.0,3.2,24.5
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1475.0,10328.0,1788.0,12516.0,1165.0,8154.0,4428.0,73453.0,4428.0,30999.0,,,,,1241.0,9368.0,1504.0,11353.0,980.0,7396.0,3725.0,70572.0,3725.0,28117.0,3.2,27.7
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1475.0,11804.0,1788.0,14304.0,1165.0,9319.0,4428.0,77881.0,4428.0,35427.0,,,,,1211.0,10579.0,1467.0,12820.0,956.0,8352.0,3635.0,74207.0,3635.0,31752.0,3.2,30.8
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1328.0,13132.0,1609.0,15913.0,1048.0,10367.0,3986.0,81867.0,3986.0,39413.0,,,,,1066.0,11645.0,1292.0,14112.0,842.0,9194.0,3199.0,77406.0,3199.0,34951.0,2.9,33.7
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,42454.0,0,0,0.0,13132.0,0.0,15913.0,0.0,10367.0,0.0,81867.0,0.0,39413.0,0.0,42454.0,0,0,0.0,11645.0,0.0,14112.0,0.0,9194.0,0.0,77406.0,0.0,34951.0,0.0,33.7
