period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1280.0,1280.0,1788.0,1788.0,1165.0,1165.0,4232.0,46687.0,4232.0,4232.0,,,,,1219.0,1219.0,1703.0,1703.0,1109.0,1109.0,4031.0,46485.0,4031.0,4031.0,3.2,8.6
2,2.0,2.0,11533.46302,23066.92604,,,,,1280.0,2559.0,1788.0,3576.0,1165.0,2330.0,4232.0,50919.0,4232.0,8465.0,,,,,1161.0,2379.0,1622.0,3325.0,1057.0,2166.0,3839.0,50324.0,3839.0,7870.0,3.2,11.8
3,3.0,3.0,11533.46302,34600.38906,,,,,1280.0,3839.0,1788.0,5364.0,1165.0,3495.0,4232.0,55152.0,4232.0,12697.0,,,,,1105.0,3485.0,1545.0,4869.0,1006.0,3172.0,3656.0,53980.0,3656.0,11526.0,3.2,15.0
4,4.0,4.0,11533.46302,46133.85208,,,,,1280.0,5118.0,1788.0,7152.0,1165.0,4660.0,4232.0,59384.0,4232.0,16930.0,,,,,1053.0,4537.0,1471.0,6340.0,958.0,4131.0,3482.0,57463.0,3482.0,15008.0,3.2,18.1
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1280.0,6398.0,1788.0,8940.0,1165.0,5824.0,4232.0,63617.0,4232.0,21162.0,,,,,1003.0,5540.0,1401.0,7741.0,913.0,5043.0,3316.0,60779.0,3316.0,18324.0,3.2,21.3
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1280.0,7677.0,1788.0,10728.0,1165.0,6989.0,4232.0,67849.0,4232.0,25395.0,,,,,955.0,6495.0,1334.0,9075.0,869.0,5913.0,3158.0,63937.0,3158.0,21483.0,3.2,24.5
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1280.0,8957.0,1788.0,12516.0,1165.0,8154.0,4232.0,72082.0,4232.0,29627.0,,,,,909.0,7404.0,1271.0,10346.0,828.0,6740.0,3008.0,66945.0,3008.0,24490.0,3.2,27.7
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1280.0,10236.0,1788.0,14304.0,1165.0,9319.0,4232.0,76314.0,4232.0,33860.0,,,,,866.0,8270.0,1210.0,11556.0,788.0,7529.0,2865.0,69810.0,2865.0,27355.0,3.2,30.8
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1152.0,11388.0,1609.0,15913.0,1048.0,10367.0,3809.0,80123.0,3809.0,37669.0,,,,,746.0,9016.0,1042.0,12599.0,679.0,8208.0,2467.0,72277.0,2467.0,29823.0,2.9,33.7
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,42454.0,0,0,0.0,11388.0,0.0,15913.0,0.0,10367.0,0.0,80123.0,0.0,37669.0,0.0,42454.0,0,0,0.0,9016.0,0.0,12599.0,0.0,8208.0,0.0,72277.0,0.0,29823.0,0.0,33.7
