period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,1853.0,1853.0,1788.0,1788.0,1275.0,1275.0,4916.0,47371.0,4916.0,4916.0,,,,,1808.0,1808.0,1744.0,1744.0,1244.0,1244.0,4796.0,47251.0,4796.0,4796.0,3.5,8.9
2,2.0,2.0,12622.201554,25244.403108,,,,,1853.0,3707.0,1788.0,3576.0,1275.0,2550.0,4916.0,52287.0,4916.0,9833.0,,,,,1764.0,3572.0,1702.0,3446.0,1213.0,2457.0,4679.0,51930.0,4679.0,9476.0,3.5,12.4
3,3.0,3.0,12622.201554,37866.604662,,,,,1853.0,5560.0,1788.0,5364.0,1275.0,3825.0,4916.0,57203.0,4916.0,14749.0,,,,,1721.0,5294.0,1660.0,5107.0,1184.0,3641.0,4565.0,56496.0,4565.0,14041.0,3.5,15.9
4,4.0,4.0,12622.201554,50488.806216,,,,,1853.0,7414.0,1788.0,7152.0,1275.0,5099.0,4916.0,62120.0,4916.0,19665.0,,,,,1679.0,6973.0,1620.0,6726.0,1155.0,4796.0,4454.0,60950.0,4454.0,18495.0,3.5,19.3
5,5.0,5.0,12622.201554,63111.00777,,,,,1853.0,9267.0,1788.0,8940.0,1275.0,6374.0,4916.0,67036.0,4916.0,24582.0,,,,,1638.0,8611.0,1580.0,8307.0,1127.0,5923.0,4345.0,65295.0,4345.0,22840.0,3.5,22.8
6,6.0,6.0,12622.201554,75733.209324,,,,,1853.0,11121.0,1788.0,10728.0,1275.0,7649.0,4916.0,71952.0,4916.0,29498.0,,,,,1598.0,10209.0,1542.0,9849.0,1099.0,7022.0,4239.0,69534.0,4239.0,27080.0,3.5,26.3
7,7.0,7.0,12622.201554,88355.410878,,,,,1853.0,12974.0,1788.0,12516.0,1275.0,8924.0,4916.0,76869.0,4916.0,34414.0,,,,,1559.0,11768.0,1504.0,11353.0,1072.0,8094.0,4136.0,73670.0,4136.0,31216.0,3.5,29.8
8,8.0,8.0,12622.201554,100977.612432,,,,,1853.0,14828.0,1788.0,14304.0,1275.0,10199.0,4916.0,81785.0,4916.0,39331.0,,,,,1521.0,13290.0,1467.0,12820.0,1046.0,9141.0,4035.0,77705.0,4035.0,35251.0,3.5,33.2
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,1668.0,16496.0,1609.0,15913.0,1147.0,11346.0,4425.0,86210.0,4425.0,43755.0,,,,,1339.0,14629.0,1292.0,14112.0,921.0,10062.0,3552.0,81257.0,3552.0,38802.0,3.1,36.3
post-use,8.9,9.790000000000001,0.0,112337.5938306,0.0,42454.0,0,0,0.0,16496.0,0.0,15913.0,0.0,11346.0,0.0,86210.0,0.0,43755.0,0.0,42454.0,0,0,0.0,14629.0,0.0,14112.0,0.0,10062.0,0.0,81257.0,0.0,38802.0,0.0,36.3
