period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,5.5,5.5
1,1.0,1.0,11576.0,11576.0,,,,,1064.0,1064.0,1788.0,1788.0,1169.0,1169.0,4021.0,46475.0,,,,,1038.0,1038.0,1744.0,1744.0,1141.0,1141.0,3923.0,46377.0,3.2,8.7
2,2.0,2.0,11576.0,23152.0,,,,,1064.0,2127.0,1788.0,3576.0,1169.0,2338.0,4021.0,50496.0,,,,,1012.0,2050.0,1702.0,3446.0,1113.0,2253.0,3827.0,50204.0,3.2,11.8
3,3.0,3.0,11576.0,34728.0,,,,,1064.0,3191.0,1788.0,5364.0,1169.0,3508.0,4021.0,54517.0,,,,,988.0,3038.0,1660.0,5107.0,1086.0,3339.0,3734.0,53938.0,3.2,15.0
4,4.0,4.0,11576.0,46304.0,,,,,1064.0,4254.0,1788.0,7152.0,1169.0,4677.0,4021.0,58537.0,,,,,964.0,4001.0,1620.0,6726.0,1059.0,4398.0,3643.0,57580.0,3.2,18.2
5,5.0,5.0,11576.0,57880.0,,,,,1064.0,5318.0,1788.0,8940.0,1169.0,5846.0,4021.0,62558.0,,,,,940.0,4941.0,1580.0,8307.0,1033.0,5432.0,3554.0,61134.0,3.2,21.4
6,6.0,6.0,11576.0,69456.0,,,,,1064.0,6381.0,1788.0,10728.0,1169.0,7015.0,4021.0,66579.0,,,,,917.0,5858.0,1542.0,9849.0,1008.0,6440.0,3467.0,64601.0,3.2,24.6
7,7.0,7.0,11576.0,81032.0,,,,,1064.0,7445.0,1788.0,12516.0,1169.0,8184.0,4021.0,70600.0,,,,,895.0,6753.0,1504.0,11353.0,984.0,7424.0,3382.0,67984.0,3.2,27.7
8,8.0,8.0,11576.0,92608.0,,,,,1064.0,8508.0,1788.0,14304.0,1169.0,9353.0,4021.0,74620.0,,,,,873.0,7626.0,1467.0,12820.0,960.0,8383.0,3300.0,71284.0,3.2,30.9
9,9.0,9.0,11576.0,104184.0,,,,,1064.0,9572.0,1788.0,16092.0,1169.0,10523.0,4021.0,78641.0,,,,,852.0,8477.0,1432.0,14252.0,936.0,9319.0,3220.0,74503.0,3.2,34.1
10,10.0,10.0,11576.0,115760.0,,,,,1064.0,10635.0,1788.0,17880.0,1169.0,11692.0,4021.0,82662.0,,,,,831.0,9308.0,1397.0,15649.0,913.0,10233.0,3141.0,77644.0,3.2,37.3
11,11.0,11.0,11576.0,127336.0,,,,,1064.0,11699.0,1788.0,19668.0,1169.0,12861.0,4021.0,86682.0,,,,,811.0,10119.0,1363.0,17011.0,891.0,11124.0,3064.0,80708.0,3.2,40.5
12,12.0,12.0,11576.0,138912.0,,,,,1064.0,12763.0,1788.0,21456.0,1169.0,14030.0,4021.0,90703.0,,,,,791.0,10910.0,1329.0,18341.0,869.0,11993.0,2990.0,83698.0,3.2,43.6
13,13.0,13.0,11576.0,150488.0,,,,,1064.0,13826.0,1788.0,23244.0,1169.0,15199.0,4021.0,94724.0,,,,,772.0,11681.0,1297.0,19638.0,848.0,12841.0,2917.0,86615.0,3.2,46.8
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,149.0,13975.0,250.0,23494.0,164.0,15363.0,563.0,95287.0,,,,,108.0,11789.0,181.0,19819.0,118.0,12960.0,407.0,87022.0,0.4,47.3
post-use,13.14,14.454000000000002,0.0,152108.64,0.0,42454.0,0,0,0.0,13975.0,0.0,23494.0,0.0,15363.0,0.0,95287.0,0.0,42454.0,0,0,0.0,11789.0,0.0,19819.0,0.0,12960.0,0.0,87022.0,0.0,47.3
