period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12954.19509,12954.19509,,,,,1528.0,1528.0,1788.0,1788.0,1308.0,1308.0,4625.0,47079.0,4625.0,4625.0,,,,,1491.0,1491.0,1744.0,1744.0,1276.0,1276.0,4512.0,46966.0,4512.0,4512.0,3.6,9.0
2,2.0,2.0,12954.19509,25908.39018,,,,,1528.0,3056.0,1788.0,3576.0,1308.0,2617.0,4625.0,51704.0,4625.0,9249.0,,,,,1455.0,2946.0,1702.0,3446.0,1245.0,2522.0,4402.0,51368.0,4402.0,8914.0,3.6,12.6
3,3.0,3.0,12954.19509,38862.585269999996,,,,,1528.0,4585.0,1788.0,5364.0,1308.0,3925.0,4625.0,56328.0,4625.0,13874.0,,,,,1419.0,4365.0,1660.0,5107.0,1215.0,3737.0,4294.0,55662.0,4294.0,13208.0,3.6,16.2
4,4.0,4.0,12954.19509,51816.78036,,,,,1528.0,6113.0,1788.0,7152.0,1308.0,5233.0,4625.0,60953.0,4625.0,18498.0,,,,,1385.0,5749.0,1620.0,6726.0,1185.0,4922.0,4190.0,59852.0,4190.0,17398.0,3.6,19.7
5,5.0,5.0,12954.19509,64770.97545,,,,,1528.0,7641.0,1788.0,8940.0,1308.0,6542.0,4625.0,65578.0,4625.0,23123.0,,,,,1351.0,7100.0,1580.0,8307.0,1156.0,6078.0,4087.0,63940.0,4087.0,21485.0,3.6,23.3
6,6.0,6.0,12954.19509,77725.17053999999,,,,,1528.0,9169.0,1788.0,10728.0,1308.0,7850.0,4625.0,70202.0,4625.0,27748.0,,,,,1318.0,8418.0,1542.0,9849.0,1128.0,7207.0,3988.0,67927.0,3988.0,25473.0,3.6,26.8
7,7.0,7.0,12954.19509,90679.36562999999,,,,,1528.0,10698.0,1788.0,12516.0,1308.0,9159.0,4625.0,74827.0,4625.0,32372.0,,,,,1286.0,9703.0,1504.0,11353.0,1101.0,8307.0,3891.0,71818.0,3891.0,29363.0,3.6,30.4
8,8.0,8.0,12954.19509,103633.56071999998,,,,,1528.0,12226.0,1788.0,14304.0,1308.0,10467.0,4625.0,79451.0,4625.0,36997.0,,,,,1254.0,10958.0,1467.0,12820.0,1074.0,9381.0,3796.0,75614.0,3796.0,33159.0,3.6,33.9
9,9.0,9.0,12954.19509,116587.75580999997,,,,,1528.0,13754.0,1788.0,16092.0,1308.0,11775.0,4625.0,84076.0,4625.0,41621.0,,,,,1224.0,12181.0,1432.0,14252.0,1048.0,10429.0,3703.0,79317.0,3703.0,36862.0,3.6,37.5
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,1375.0,15129.0,1609.0,17701.0,1178.0,12953.0,4162.0,88238.0,4162.0,45784.0,,,,,1077.0,13258.0,1260.0,15512.0,922.0,11351.0,3259.0,82576.0,3259.0,40122.0,3.2,40.7
post-use,9.9,10.89,0.0,128246.53139099998,0.0,42454.0,0,0,0.0,15129.0,0.0,17701.0,0.0,12953.0,0.0,88238.0,0.0,45784.0,0.0,42454.0,0,0,0.0,13258.0,0.0,15512.0,0.0,11351.0,0.0,82576.0,0.0,40122.0,0.0,40.7
