period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1433.0,1433.0,1788.0,1788.0,1165.0,1165.0,4386.0,26086.0,4386.0,4386.0,,,,,1365.0,1365.0,1703.0,1703.0,1109.0,1109.0,4177.0,25877.0,4177.0,4177.0,3.1,8.5
2,2.0,2.0,11533.46302,23066.92604,,,,,1433.0,2866.0,1788.0,3576.0,1165.0,2330.0,4386.0,30472.0,4386.0,8772.0,,,,,1300.0,2664.0,1622.0,3325.0,1057.0,2166.0,3978.0,29855.0,3978.0,8155.0,3.1,11.6
3,3.0,3.0,11533.46302,34600.38906,,,,,1433.0,4299.0,1788.0,5364.0,1165.0,3495.0,4386.0,34857.0,4386.0,13157.0,,,,,1238.0,3902.0,1545.0,4869.0,1006.0,3172.0,3789.0,33644.0,3789.0,11944.0,3.1,14.7
4,4.0,4.0,11533.46302,46133.85208,,,,,1433.0,5732.0,1788.0,7152.0,1165.0,4660.0,4386.0,39243.0,4386.0,17543.0,,,,,1179.0,5081.0,1471.0,6340.0,958.0,4131.0,3608.0,37252.0,3608.0,15552.0,3.1,17.7
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1433.0,7165.0,1788.0,8940.0,1165.0,5824.0,4386.0,43629.0,4386.0,21929.0,,,,,1123.0,6204.0,1401.0,7741.0,913.0,5043.0,3436.0,40688.0,3436.0,18988.0,3.1,20.8
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1433.0,8598.0,1788.0,10728.0,1165.0,6989.0,4386.0,48015.0,4386.0,26315.0,,,,,1069.0,7273.0,1334.0,9075.0,869.0,5913.0,3273.0,43961.0,3273.0,22261.0,3.1,23.9
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1433.0,10031.0,1788.0,12516.0,1165.0,8154.0,4386.0,52401.0,4386.0,30701.0,,,,,1018.0,8292.0,1271.0,10346.0,828.0,6740.0,3117.0,47078.0,3117.0,25378.0,3.1,27.0
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1433.0,11464.0,1788.0,14304.0,1165.0,9319.0,4386.0,56787.0,4386.0,35087.0,,,,,970.0,9261.0,1210.0,11556.0,788.0,7529.0,2968.0,50047.0,2968.0,28347.0,3.1,30.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1290.0,12753.0,1609.0,15913.0,1048.0,10367.0,3947.0,60734.0,3947.0,39034.0,,,,,835.0,10097.0,1042.0,12599.0,679.0,8208.0,2557.0,52603.0,2557.0,30903.0,2.8,32.8
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,21700,0,0,0.0,12753.0,0.0,15913.0,0.0,10367.0,0.0,60734.0,0.0,39034.0,0,21700,0,0,0.0,10097.0,0.0,12599.0,0.0,8208.0,0.0,52603.0,0.0,30903.0,0.0,32.8
