period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,5.5,5.5
1,1.0,1.0,11576.0,11576.0,,,,,1089.0,1089.0,1788.0,1788.0,1169.0,1169.0,4046.0,25746.0,,,,,1063.0,1063.0,1744.0,1744.0,1141.0,1141.0,3948.0,25648.0,3.1,8.6
2,2.0,2.0,11576.0,23152.0,,,,,1089.0,2178.0,1788.0,3576.0,1169.0,2338.0,4046.0,29793.0,,,,,1037.0,2099.0,1702.0,3446.0,1113.0,2253.0,3851.0,29499.0,3.1,11.6
3,3.0,3.0,11576.0,34728.0,,,,,1089.0,3268.0,1788.0,5364.0,1169.0,3508.0,4046.0,33839.0,,,,,1011.0,3111.0,1660.0,5107.0,1086.0,3339.0,3757.0,33257.0,3.1,14.7
4,4.0,4.0,11576.0,46304.0,,,,,1089.0,4357.0,1788.0,7152.0,1169.0,4677.0,4046.0,37885.0,,,,,987.0,4098.0,1620.0,6726.0,1059.0,4398.0,3666.0,36922.0,3.1,17.8
5,5.0,5.0,11576.0,57880.0,,,,,1089.0,5446.0,1788.0,8940.0,1169.0,5846.0,4046.0,41932.0,,,,,963.0,5060.0,1580.0,8307.0,1033.0,5432.0,3576.0,40499.0,3.1,20.9
6,6.0,6.0,11576.0,69456.0,,,,,1089.0,6535.0,1788.0,10728.0,1169.0,7015.0,4046.0,45978.0,,,,,939.0,5999.0,1542.0,9849.0,1008.0,6440.0,3489.0,43988.0,3.1,24.0
7,7.0,7.0,11576.0,81032.0,,,,,1089.0,7624.0,1788.0,12516.0,1169.0,8184.0,4046.0,50025.0,,,,,916.0,6916.0,1504.0,11353.0,984.0,7424.0,3404.0,47392.0,3.1,27.0
8,8.0,8.0,11576.0,92608.0,,,,,1089.0,8714.0,1788.0,14304.0,1169.0,9353.0,4046.0,54071.0,,,,,894.0,7810.0,1467.0,12820.0,960.0,8383.0,3321.0,50713.0,3.1,30.1
9,9.0,9.0,11576.0,104184.0,,,,,1089.0,9803.0,1788.0,16092.0,1169.0,10523.0,4046.0,58117.0,,,,,872.0,8682.0,1432.0,14252.0,936.0,9319.0,3240.0,53953.0,3.1,33.2
10,10.0,10.0,11576.0,115760.0,,,,,1089.0,10892.0,1788.0,17880.0,1169.0,11692.0,4046.0,62164.0,,,,,851.0,9533.0,1397.0,15649.0,913.0,10233.0,3161.0,57114.0,3.1,36.3
11,11.0,11.0,11576.0,127336.0,,,,,1089.0,11981.0,1788.0,19668.0,1169.0,12861.0,4046.0,66210.0,,,,,830.0,10363.0,1363.0,17011.0,891.0,11124.0,3084.0,60198.0,3.1,39.4
12,12.0,12.0,11576.0,138912.0,,,,,1089.0,13070.0,1788.0,21456.0,1169.0,14030.0,4046.0,70256.0,,,,,810.0,11173.0,1329.0,18341.0,869.0,11993.0,3009.0,63207.0,3.1,42.4
13,13.0,13.0,11576.0,150488.0,,,,,1089.0,14160.0,1788.0,23244.0,1169.0,15199.0,4046.0,74303.0,,,,,790.0,11963.0,1297.0,19638.0,848.0,12841.0,2935.0,66142.0,3.1,45.5
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,152.0,14312.0,250.0,23494.0,164.0,15363.0,566.0,74869.0,,,,,110.0,12073.0,181.0,19819.0,118.0,12960.0,410.0,66552.0,0.4,45.9
post-use,13.14,14.454000000000002,0.0,152108.64,0,21700,0,0,0.0,14312.0,0.0,23494.0,0.0,15363.0,0.0,74869.0,0,21700,0,0,0.0,12073.0,0.0,19819.0,0.0,12960.0,0.0,66552.0,0.0,45.9
