period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,21700,21700,,,0.0,0.0,0,0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.5,5.5
1,1.0,1.0,14350.869023,14350.869023,,,,,1348.0,1348.0,1788,1788,1449.0,1449.0,4586.0,26286.0,4586.0,4586.0,,,,,1284.0,1284.0,1703.0,1703.0,1380.0,1380.0,4367.0,26067.0,4367.0,4367.0,3.8,9.3
2,2.0,2.0,14350.869023,28701.738046,,,,,1348.0,2696.0,1788,3576,1449.0,2899.0,4586.0,30871.0,4586.0,9171.0,,,,,1223.0,2507.0,1622.0,3325.0,1315.0,2695.0,4159.0,30226.0,4159.0,8526.0,3.8,13.1
3,3.0,3.0,14350.869023,43052.607069,,,,,1348.0,4044.0,1788,5364,1449.0,4348.0,4586.0,35457.0,4586.0,13757.0,,,,,1165.0,3671.0,1545.0,4869.0,1252.0,3947.0,3961.0,34188.0,3961.0,12488.0,3.8,16.9
4,4.0,4.0,14350.869023,57403.476092,,,,,1348.0,5392.0,1788,7152,1449.0,5798.0,4586.0,40042.0,4586.0,18342.0,,,,,1109.0,4780.0,1471.0,6340.0,1192.0,5140.0,3773.0,37960.0,3773.0,16260.0,3.8,20.7
5,5.0,5.0,14350.869023,71754.345115,,,,,1348.0,6741.0,1788,8940,1449.0,7247.0,4586.0,44628.0,4586.0,22928.0,,,,,1056.0,5837.0,1401.0,7741.0,1136.0,6275.0,3593.0,41553.0,3593.0,19853.0,3.8,24.6
6,6.0,6.0,14350.869023,86105.21413800001,,,,,1348.0,8089.0,1788,10728,1449.0,8697.0,4586.0,49213.0,4586.0,27513.0,,,,,1006.0,6843.0,1334.0,9075.0,1082.0,7357.0,3422.0,44975.0,3422.0,23275.0,3.8,28.4
7,7.0,7.0,14350.869023,100456.08316100002,,,,,1348.0,9437.0,1788,12516,1449.0,10146.0,4586.0,53799.0,4586.0,32099.0,,,,,958.0,7801.0,1271.0,10346.0,1030.0,8387.0,3259.0,48234.0,3259.0,26534.0,3.8,32.2
8,8.0,8.0,14350.869023,114806.95218400002,,,,,1348.0,10785.0,1788,14304,1449.0,11596.0,4586.0,58384.0,4586.0,36684.0,,,,,912.0,8713.0,1210.0,11556.0,981.0,9368.0,3104.0,51337.0,3104.0,29637.0,3.8,36.0
9,9.0,9.0,14350.869023,129157.82120700003,,,,,1348.0,12133.0,1788,16092,1449.0,13045.0,4586.0,62970.0,4586.0,41270.0,,,,,869.0,9582.0,1153.0,12709.0,934.0,10302.0,2956.0,54293.0,2956.0,32593.0,3.8,39.8
10,10.0,10.0,14350.869023,143508.69023000004,,,,,1348.0,13481.0,1788,17880,1449.0,14494.0,4586.0,67555.0,4586.0,45855.0,,,,,828.0,10410.0,1098.0,13806.0,890.0,11192.0,2815.0,57108.0,2815.0,35408.0,3.8,43.7
11,11.0,11.0,14350.869023,157859.55925300004,,,,,1348.0,14829.0,1788,19668,1449.0,15944.0,4586.0,72141.0,4586.0,50441.0,,,,,788.0,11198.0,1045.0,14852.0,847.0,12040.0,2681.0,59789.0,2681.0,38089.0,3.8,47.5
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,674.0,15503.0,894,20562,725.0,16669.0,2293.0,74434.0,2293.0,52734.0,,,,,385.0,11583.0,510.0,15362.0,414.0,12453.0,1308.0,61098.0,1308.0,39398.0,1.9,49.4
post-use,11.5,12.65,0.0,165034.99376450005,0,21700,0,0,0.0,15503.0,0,20562,0.0,16669.0,0.0,74434.0,0.0,52734.0,0,21700,0,0,0.0,11583.0,0.0,15362.0,0.0,12453.0,0.0,61098.0,0.0,39398.0,0.0,49.4
