period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1419.0,1419.0,1788.0,1788.0,1165.0,1165.0,4371.0,26071.0,4371.0,4371.0,,,,,1351.0,1351.0,1703.0,1703.0,1109.0,1109.0,4163.0,25863.0,4163.0,4163.0,3.1,8.5
2,2.0,2.0,11533.46302,23066.92604,,,,,1419.0,2837.0,1788.0,3576.0,1165.0,2330.0,4371.0,30443.0,4371.0,8743.0,,,,,1287.0,2638.0,1622.0,3325.0,1057.0,2166.0,3965.0,29828.0,3965.0,8128.0,3.1,11.6
3,3.0,3.0,11533.46302,34600.38906,,,,,1419.0,4256.0,1788.0,5364.0,1165.0,3495.0,4371.0,34814.0,4371.0,13114.0,,,,,1225.0,3863.0,1545.0,4869.0,1006.0,3172.0,3776.0,33605.0,3776.0,11905.0,3.1,14.7
4,4.0,4.0,11533.46302,46133.85208,,,,,1419.0,5674.0,1788.0,7152.0,1165.0,4660.0,4371.0,39186.0,4371.0,17486.0,,,,,1167.0,5030.0,1471.0,6340.0,958.0,4131.0,3596.0,37201.0,3596.0,15501.0,3.1,17.7
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1419.0,7093.0,1788.0,8940.0,1165.0,5824.0,4371.0,43557.0,4371.0,21857.0,,,,,1112.0,6142.0,1401.0,7741.0,913.0,5043.0,3425.0,40626.0,3425.0,18926.0,3.1,20.8
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1419.0,8512.0,1788.0,10728.0,1165.0,6989.0,4371.0,47929.0,4371.0,26229.0,,,,,1059.0,7200.0,1334.0,9075.0,869.0,5913.0,3262.0,43888.0,3262.0,22188.0,3.1,23.9
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1419.0,9930.0,1788.0,12516.0,1165.0,8154.0,4371.0,52300.0,4371.0,30600.0,,,,,1008.0,8209.0,1271.0,10346.0,828.0,6740.0,3107.0,46995.0,3107.0,25295.0,3.1,27.0
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1419.0,11349.0,1788.0,14304.0,1165.0,9319.0,4371.0,56672.0,4371.0,34972.0,,,,,960.0,9169.0,1210.0,11556.0,788.0,7529.0,2959.0,49954.0,2959.0,28254.0,3.1,30.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1277.0,12626.0,1609.0,15913.0,1048.0,10367.0,3934.0,60606.0,3934.0,38906.0,,,,,827.0,9996.0,1042.0,12599.0,679.0,8208.0,2549.0,52502.0,2549.0,30802.0,2.8,32.8
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,21700,0,0,0.0,12626.0,0.0,15913.0,0.0,10367.0,0.0,60606.0,0.0,38906.0,0,21700,0,0,0.0,9996.0,0.0,12599.0,0.0,8208.0,0.0,52502.0,0.0,30802.0,0.0,32.8
