period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.5,5.5
1,1.0,1.0,13821.181558,13821.181558,,,,,1951.0,1951.0,1788.0,1788.0,1396.0,1396.0,5135.0,26835.0,5135.0,5135.0,,,,,1904.0,1904.0,1744.0,1744.0,1362.0,1362.0,5010.0,26710.0,5010.0,5010.0,3.7,9.1
2,2.0,2.0,13821.181558,27642.363116,,,,,1951.0,3903.0,1788.0,3576.0,1396.0,2792.0,5135.0,31970.0,5135.0,10270.0,,,,,1857.0,3761.0,1702.0,3446.0,1329.0,2691.0,4888.0,31598.0,4888.0,9898.0,3.7,12.8
3,3.0,3.0,13821.181558,41463.544674000004,,,,,1951.0,5854.0,1788.0,5364.0,1396.0,4188.0,5135.0,37106.0,5135.0,15406.0,,,,,1812.0,5573.0,1660.0,5107.0,1296.0,3987.0,4769.0,36366.0,4769.0,14666.0,3.7,16.5
4,4.0,4.0,13821.181558,55284.726232,,,,,1951.0,7805.0,1788.0,7152.0,1396.0,5584.0,5135.0,42241.0,5135.0,20541.0,,,,,1768.0,7341.0,1620.0,6726.0,1265.0,5251.0,4652.0,41019.0,4652.0,19319.0,3.7,20.2
5,5.0,5.0,13821.181558,69105.90779,,,,,1951.0,9756.0,1788.0,8940.0,1396.0,6980.0,5135.0,47376.0,5135.0,25676.0,,,,,1725.0,9065.0,1580.0,8307.0,1234.0,6485.0,4539.0,45557.0,4539.0,23857.0,3.7,23.9
6,6.0,6.0,13821.181558,82927.089348,,,,,1951.0,11708.0,1788.0,10728.0,1396.0,8376.0,5135.0,52511.0,5135.0,30811.0,,,,,1683.0,10748.0,1542.0,9849.0,1204.0,7689.0,4428.0,49986.0,4428.0,28286.0,3.7,27.5
7,7.0,7.0,13821.181558,96748.27090599999,,,,,1951.0,13659.0,1788.0,12516.0,1396.0,9772.0,5135.0,57647.0,5135.0,35947.0,,,,,1642.0,12390.0,1504.0,11353.0,1174.0,8863.0,4320.0,54306.0,4320.0,32606.0,3.7,31.2
8,8.0,8.0,13821.181558,110569.45246399999,,,,,1951.0,15610.0,1788.0,14304.0,1396.0,11168.0,5135.0,62782.0,5135.0,41082.0,,,,,1602.0,13991.0,1467.0,12820.0,1146.0,10009.0,4215.0,58520.0,4215.0,36820.0,3.7,34.9
9,9.0,9.0,13821.181558,124390.63402199998,,,,,1951.0,17562.0,1788.0,16092.0,1396.0,12563.0,5135.0,67917.0,5135.0,46217.0,,,,,1562.0,15554.0,1432.0,14252.0,1118.0,11127.0,4112.0,62632.0,4112.0,40932.0,3.7,38.6
10,10.0,10.0,13821.181558,138211.81558,,,,,1951.0,19513.0,1788.0,17880.0,1396.0,13959.0,5135.0,73052.0,5135.0,51352.0,,,,,1524.0,17078.0,1397.0,15649.0,1091.0,12217.0,4012.0,66644.0,4012.0,44944.0,3.7,42.2
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,1366.0,20879.0,1252.0,19132.0,977.0,14937.0,3595.0,76647.0,3595.0,54947.0,,,,,1049.0,18127.0,961.0,16610.0,750.0,12968.0,2760.0,69404.0,2760.0,47704.0,2.6,44.8
post-use,10.7,11.77,0.0,147886.64267059998,0,21700,0,0,0.0,20879.0,0.0,19132.0,0.0,14937.0,0.0,76647.0,0.0,54947.0,0,21700,0,0,0.0,18127.0,0.0,16610.0,0.0,12968.0,0.0,69404.0,0.0,47704.0,0.0,44.8
