period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,21700,21700,,,0.0,0.0,0,0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,1887.0,1887.0,1788,1788,1350.0,1350.0,5024.0,26724.0,5024.0,5024.0,,,,,1841.0,1841.0,1744.0,1744.0,1317.0,1317.0,4902.0,26602.0,4902.0,4902.0,3.6,9.0
2,2,2.0,13363.34444,26726.68888,,,,,1887.0,3773.0,1788,3576,1350.0,2699.0,5024.0,31749.0,5024.0,10049.0,,,,,1796.0,3636.0,1702.0,3446.0,1285.0,2601.0,4782.0,31384.0,4782.0,9684.0,3.6,12.6
3,3,3.0,13363.34444,40090.03332,,,,,1887.0,5660.0,1788,5364,1350.0,4049.0,5024.0,36773.0,5024.0,15073.0,,,,,1752.0,5388.0,1660.0,5107.0,1253.0,3855.0,4666.0,36050.0,4666.0,14350.0,3.6,16.1
4,4,4.0,13363.34444,53453.37776,,,,,1887.0,7547.0,1788,7152,1350.0,5399.0,5024.0,41797.0,5024.0,20097.0,,,,,1709.0,7098.0,1620.0,6726.0,1223.0,5078.0,4552.0,40602.0,4552.0,18902.0,3.6,19.7
5,5,5.0,13363.34444,66816.7222,,,,,1887.0,9433.0,1788,8940,1350.0,6748.0,5024.0,46822.0,5024.0,25122.0,,,,,1668.0,8765.0,1580.0,8307.0,1193.0,6270.0,4441.0,45042.0,4441.0,23342.0,3.6,23.3
6,6,6.0,13363.34444,80180.06664,,,,,1887.0,11320.0,1788,10728,1350.0,8098.0,5024.0,51846.0,5024.0,30146.0,,,,,1627.0,10392.0,1542.0,9849.0,1164.0,7434.0,4332.0,49375.0,4332.0,27675.0,3.6,26.8
7,7,7.0,13363.34444,93543.41108,,,,,1887.0,13207.0,1788,12516,1350.0,9448.0,5024.0,56871.0,5024.0,35171.0,,,,,1587.0,11979.0,1504.0,11353.0,1135.0,8570.0,4227.0,53602.0,4227.0,31902.0,3.6,30.4
8,8,8.0,13363.34444,106906.75552,,,,,1887.0,15093.0,1788,14304,1350.0,10798.0,5024.0,61895.0,5024.0,40195.0,,,,,1548.0,13528.0,1467.0,12820.0,1108.0,9678.0,4124.0,57725.0,4124.0,36025.0,3.6,33.9
9,9,9.0,13363.34444,120270.09996,,,,,1887.0,16980.0,1788,16092,1350.0,12147.0,5024.0,66919.0,5024.0,45219.0,,,,,1511.0,15038.0,1432.0,14252.0,1081.0,10758.0,4023.0,61748.0,4023.0,40048.0,3.6,37.5
10,10,10.0,13363.34444,133633.4444,,,,,1887.0,18867.0,1788,17880,1350.0,13497.0,5024.0,71944.0,5024.0,50244.0,,,,,1474.0,16512.0,1397.0,15649.0,1054.0,11813.0,3925.0,65674.0,3925.0,43974.0,3.6,41.0
11,11,11.0,13363.34444,146996.78884,,,,,1887.0,20753.0,1788,19668,1350.0,14847.0,5024.0,76968.0,5024.0,55268.0,,,,,1438.0,17950.0,1363.0,17011.0,1029.0,12841.0,3829.0,69503.0,3829.0,47803.0,3.6,44.6
12,12,12.0,13363.34444,160360.13328,,,,,1887.0,22640.0,1788,21456,1350.0,16196.0,5024.0,81992.0,5024.0,60292.0,,,,,1403.0,19353.0,1329.0,18341.0,1004.0,13845.0,3736.0,73239.0,3736.0,51539.0,3.6,48.1
13,13,13.0,13363.34444,173723.47772000002,,,,,1887.0,24527.0,1788,23244,1350.0,17546.0,5024.0,87017.0,5024.0,65317.0,,,,,1369.0,20722.0,1297.0,19638.0,979.0,14824.0,3645.0,76883.0,3645.0,55183.0,3.6,51.7
post-use,13,14.3,0.0,173723.47772000002,0,21700,0,0,0.0,24527.0,0,23244,0.0,17546.0,0.0,87017.0,0.0,65317.0,0,21700,0,0,0.0,20722.0,0.0,19638.0,0.0,14824.0,0.0,76883.0,0.0,55183.0,0.0,51.7
