period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12954.19509,12954.19509,,,,,1469.0,1469.0,1788.0,1788.0,1308.0,1308.0,4566.0,26266.0,4566.0,4566.0,,,,,1399.0,1399.0,1703.0,1703.0,1246.0,1246.0,4348.0,26048.0,4348.0,4348.0,3.4,8.9
2,2.0,2.0,12954.19509,25908.39018,,,,,1469.0,2939.0,1788.0,3576.0,1308.0,2617.0,4566.0,30831.0,4566.0,9131.0,,,,,1333.0,2732.0,1622.0,3325.0,1187.0,2433.0,4141.0,30189.0,4141.0,8489.0,3.4,12.4
3,3.0,3.0,12954.19509,38862.585269999996,,,,,1469.0,4408.0,1788.0,5364.0,1308.0,3925.0,4566.0,35397.0,4566.0,13697.0,,,,,1269.0,4001.0,1545.0,4869.0,1130.0,3563.0,3944.0,34134.0,3944.0,12434.0,3.4,15.8
4,4.0,4.0,12954.19509,51816.78036,,,,,1469.0,5877.0,1788.0,7152.0,1308.0,5233.0,4566.0,39963.0,4566.0,18263.0,,,,,1209.0,5210.0,1471.0,6340.0,1076.0,4639.0,3756.0,37890.0,3756.0,16190.0,3.4,19.3
5,5.0,5.0,12954.19509,64770.97545,,,,,1469.0,7347.0,1788.0,8940.0,1308.0,6542.0,4566.0,44528.0,4566.0,22828.0,,,,,1151.0,6361.0,1401.0,7741.0,1025.0,5665.0,3577.0,41467.0,3577.0,19767.0,3.4,22.7
6,6.0,6.0,12954.19509,77725.17053999999,,,,,1469.0,8816.0,1788.0,10728.0,1308.0,7850.0,4566.0,49094.0,4566.0,27394.0,,,,,1096.0,7458.0,1334.0,9075.0,976.0,6641.0,3407.0,44874.0,3407.0,23174.0,3.4,26.2
7,7.0,7.0,12954.19509,90679.36562999999,,,,,1469.0,10285.0,1788.0,12516.0,1308.0,9159.0,4566.0,53660.0,4566.0,31960.0,,,,,1044.0,8502.0,1271.0,10346.0,930.0,7571.0,3245.0,48119.0,3245.0,26419.0,3.4,29.6
8,8.0,8.0,12954.19509,103633.56071999998,,,,,1469.0,11755.0,1788.0,14304.0,1308.0,10467.0,4566.0,58226.0,4566.0,36526.0,,,,,994.0,9497.0,1210.0,11556.0,886.0,8456.0,3090.0,51209.0,3090.0,29509.0,3.4,33.0
9,9.0,9.0,12954.19509,116587.75580999997,,,,,1469.0,13224.0,1788.0,16092.0,1308.0,11775.0,4566.0,62791.0,4566.0,41091.0,,,,,947.0,10444.0,1153.0,12709.0,843.0,9300.0,2943.0,54152.0,2943.0,32452.0,3.4,36.5
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,1322.0,14546.0,1609.0,17701.0,1178.0,12953.0,4109.0,66900.0,4109.0,45200.0,,,,,816.0,11259.0,993.0,13702.0,726.0,10026.0,2535.0,56687.0,2535.0,34987.0,3.1,39.6
post-use,9.9,10.89,0.0,128246.53139099998,0,21700,0,0,0.0,14546.0,0.0,17701.0,0.0,12953.0,0.0,66900.0,0.0,45200.0,0,21700,0,0,0.0,11259.0,0.0,13702.0,0.0,10026.0,0.0,56687.0,0.0,34987.0,0.0,39.6
