period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1308.0,1308.0,1788.0,1788.0,1165.0,1165.0,4261.0,25961.0,4261.0,4261.0,,,,,1246.0,1246.0,1703.0,1703.0,1109.0,1109.0,4058.0,25758.0,4058.0,4058.0,3.1,8.5
2,2.0,2.0,11533.46302,23066.92604,,,,,1308.0,2616.0,1788.0,3576.0,1165.0,2330.0,4261.0,30222.0,4261.0,8522.0,,,,,1187.0,2432.0,1622.0,3325.0,1057.0,2166.0,3865.0,29623.0,3865.0,7923.0,3.1,11.6
3,3.0,3.0,11533.46302,34600.38906,,,,,1308.0,3925.0,1788.0,5364.0,1165.0,3495.0,4261.0,34483.0,4261.0,12783.0,,,,,1130.0,3562.0,1545.0,4869.0,1006.0,3172.0,3681.0,33304.0,3681.0,11604.0,3.1,14.7
4,4.0,4.0,11533.46302,46133.85208,,,,,1308.0,5233.0,1788.0,7152.0,1165.0,4660.0,4261.0,38744.0,4261.0,17044.0,,,,,1076.0,4639.0,1471.0,6340.0,958.0,4131.0,3506.0,36809.0,3506.0,15109.0,3.1,17.7
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1308.0,6541.0,1788.0,8940.0,1165.0,5824.0,4261.0,43005.0,4261.0,21305.0,,,,,1025.0,5664.0,1401.0,7741.0,913.0,5043.0,3339.0,40148.0,3339.0,18448.0,3.1,20.8
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1308.0,7849.0,1788.0,10728.0,1165.0,6989.0,4261.0,47266.0,4261.0,25566.0,,,,,976.0,6640.0,1334.0,9075.0,869.0,5913.0,3180.0,43328.0,3180.0,21628.0,3.1,23.9
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1308.0,9157.0,1788.0,12516.0,1165.0,8154.0,4261.0,51527.0,4261.0,29827.0,,,,,930.0,7570.0,1271.0,10346.0,828.0,6740.0,3028.0,46356.0,3028.0,24656.0,3.1,27.0
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1308.0,10465.0,1788.0,14304.0,1165.0,9319.0,4261.0,55788.0,4261.0,34088.0,,,,,885.0,8455.0,1210.0,11556.0,788.0,7529.0,2884.0,49240.0,2884.0,27540.0,3.1,30.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1177.0,11643.0,1609.0,15913.0,1048.0,10367.0,3835.0,59623.0,3835.0,37923.0,,,,,763.0,9218.0,1042.0,12599.0,679.0,8208.0,2484.0,51724.0,2484.0,30024.0,2.8,32.8
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,21700,0,0,0.0,11643.0,0.0,15913.0,0.0,10367.0,0.0,59623.0,0.0,37923.0,0,21700,0,0,0.0,9218.0,0.0,12599.0,0.0,8208.0,0.0,51724.0,0.0,30024.0,0.0,32.8
