period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12954.19509,12954.19509,,,-7500,-7500,1098.0,1098.0,1884.0,1884.0,790.0,790.0,-3728.0,68272.0,-3728.0,-3728.0,,,-7143.0,-7143.0,1045.0,1045.0,1794.0,1794.0,753.0,753.0,-3551.0,68449.0,-3551.0,-3551.0,1.2,11.1
2,2.0,2.0,12954.19509,25908.39018,,,,,1098.0,2195.0,1884.0,3768.0,790.0,1580.0,3772.0,72044.0,3772.0,44.0,,,,,996.0,2041.0,1709.0,3503.0,717.0,1469.0,3421.0,71871.0,3421.0,-129.0,1.2,12.3
3,3.0,3.0,12954.19509,38862.585269999996,,,,,1098.0,3293.0,1884.0,5652.0,790.0,2371.0,3772.0,75816.0,3772.0,3816.0,,,,,948.0,2989.0,1627.0,5131.0,683.0,2152.0,3258.0,75129.0,3258.0,3129.0,1.2,13.6
4,4.0,4.0,12954.19509,51816.78036,,,,,1098.0,4391.0,1884.0,7536.0,790.0,3161.0,3772.0,79588.0,3772.0,7588.0,,,,,903.0,3893.0,1550.0,6681.0,650.0,2802.0,3103.0,78232.0,3103.0,6232.0,1.2,14.8
5,5.0,5.0,12954.19509,64770.97545,,,,,1098.0,5489.0,1884.0,9420.0,790.0,3951.0,3772.0,83360.0,3772.0,11360.0,,,,,860.0,4753.0,1476.0,8157.0,619.0,3421.0,2955.0,81188.0,2955.0,9188.0,1.2,16.1
6,6.0,6.0,12954.19509,77725.17053999999,,,,,1098.0,6586.0,1884.0,11304.0,790.0,4741.0,3772.0,87132.0,3772.0,15132.0,,,,,819.0,5572.0,1406.0,9563.0,590.0,4011.0,2815.0,84002.0,2815.0,12002.0,1.2,17.3
7,7.0,7.0,12954.19509,90679.36562999999,,,,,1098.0,7684.0,1884.0,13188.0,790.0,5531.0,3772.0,90904.0,3772.0,18904.0,,,,,780.0,6352.0,1339.0,10902.0,562.0,4572.0,2681.0,86683.0,2681.0,14683.0,1.2,18.6
8,8.0,8.0,12954.19509,103633.56071999998,,,,,1098.0,8782.0,1884.0,15072.0,790.0,6322.0,3772.0,94676.0,3772.0,22676.0,,,,,743.0,7095.0,1275.0,12177.0,535.0,5107.0,2553.0,89236.0,2553.0,17236.0,1.2,19.8
9,9.0,9.0,12954.19509,116587.75580999997,,,,,1098.0,9880.0,1884.0,16956.0,790.0,7112.0,3772.0,98447.0,3772.0,26447.0,,,,,708.0,7803.0,1214.0,13391.0,509.0,5617.0,2431.0,91667.0,2431.0,19667.0,1.2,21.0
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,988.0,10868.0,1696.0,18652.0,711.0,7823.0,3395.0,101842.0,3395.0,29842.0,,,,,609.0,8412.0,1046.0,14437.0,439.0,6055.0,2094.0,93762.0,2094.0,21762.0,1.1,22.2
post-use,9.9,10.89,0.0,128246.53139099998,0,72000,0,-7500,0.0,10868.0,0.0,18652.0,0.0,7823.0,0.0,101842.0,0.0,29842.0,0,72000,0.0,-7143.0,0.0,8412.0,0.0,14437.0,0.0,6055.0,0.0,93762.0,0.0,21762.0,0.0,22.2
