period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,9.8,9.8
1,1.0,1.0,11687.0,11687.0,,,-7500,-7500,630.0,630.0,1884.0,1884.0,713.0,713.0,-4273.0,55727.0,,,-7317.0,-7317.0,614.0,614.0,1838.0,1838.0,696.0,696.0,-4169.0,55831.0,1.9,11.7
2,2.0,2.0,11687.0,23374.0,,,,,630.0,1260.0,1884.0,3768.0,713.0,1426.0,3227.0,58953.0,,,,,599.0,1214.0,1793.0,3631.0,679.0,1374.0,3071.0,58902.0,1.9,13.7
3,3.0,3.0,11687.0,35061.0,,,,,630.0,1889.0,1884.0,5652.0,713.0,2139.0,3227.0,62180.0,,,,,585.0,1799.0,1749.0,5381.0,662.0,2036.0,2996.0,61898.0,1.9,15.6
4,4.0,4.0,11687.0,46748.0,,,,,630.0,2519.0,1884.0,7536.0,713.0,2852.0,3227.0,65407.0,,,,,571.0,2369.0,1707.0,7088.0,646.0,2682.0,2923.0,64822.0,1.9,17.5
5,5.0,5.0,11687.0,58435.0,,,,,630.0,3149.0,1884.0,9420.0,713.0,3565.0,3227.0,68633.0,,,,,557.0,2926.0,1665.0,8753.0,630.0,3312.0,2852.0,67674.0,1.9,19.5
6,6.0,6.0,11687.0,70122.0,,,,,630.0,3779.0,1884.0,11304.0,713.0,4277.0,3227.0,71860.0,,,,,543.0,3469.0,1625.0,10377.0,615.0,3927.0,2782.0,70456.0,1.9,21.4
7,7.0,7.0,11687.0,81809.0,,,,,630.0,4409.0,1884.0,13188.0,713.0,4990.0,3227.0,75087.0,,,,,530.0,3999.0,1585.0,11962.0,600.0,4527.0,2715.0,73170.0,1.9,23.3
8,8.0,8.0,11687.0,93496.0,,,,,630.0,5038.0,1884.0,15072.0,713.0,5703.0,3227.0,78314.0,,,,,517.0,4516.0,1546.0,13509.0,585.0,5112.0,2648.0,75819.0,1.9,25.2
9,9.0,9.0,11687.0,105183.0,,,,,630.0,5668.0,1884.0,16956.0,713.0,6416.0,3227.0,81540.0,,,,,504.0,5020.0,1509.0,15017.0,571.0,5682.0,2584.0,78402.0,1.9,27.2
10,10.0,10.0,11687.0,116870.0,,,,,630.0,6298.0,1884.0,18840.0,713.0,7129.0,3227.0,84767.0,,,,,492.0,5512.0,1472.0,16489.0,557.0,6239.0,2521.0,80923.0,1.9,29.1
11,11.0,11.0,11687.0,128557.0,,,,,630.0,6928.0,1884.0,20724.0,713.0,7842.0,3227.0,87994.0,,,,,480.0,5992.0,1436.0,17925.0,543.0,6783.0,2459.0,83382.0,1.9,31.0
12,12.0,12.0,11687.0,140244.0,,,,,630.0,7557.0,1884.0,22608.0,713.0,8555.0,3227.0,91220.0,,,,,468.0,6460.0,1401.0,19326.0,530.0,7313.0,2399.0,85782.0,1.9,32.9
13,13.0,13.0,11687.0,151931.0,,,,,630.0,8187.0,1884.0,24492.0,713.0,9268.0,3227.0,94447.0,,,,,457.0,6917.0,1367.0,20692.0,517.0,7830.0,2341.0,88122.0,1.9,34.9
14,14.0,14.0,11687.0,163618.0,,,,,630.0,8817.0,1884.0,26376.0,713.0,9981.0,3227.0,97674.0,,,,,446.0,7363.0,1333.0,22026.0,505.0,8335.0,2284.0,90406.0,1.9,36.8
15,15.0,15.0,11687.0,175305.0,,,,,630.0,9447.0,1884.0,28260.0,713.0,10694.0,3227.0,100900.0,,,,,435.0,7798.0,1301.0,23327.0,492.0,8827.0,2228.0,92634.0,1.9,38.7
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,252.0,9699.0,754.0,29014.0,285.0,10979.0,1291.0,102191.0,,,,,172.0,7970.0,515.0,23842.0,195.0,9022.0,882.0,93516.0,0.8,39.5
post-use,15.4,16.94,0.0,179979.80000000002,0,60000,0,-7500,0.0,9699.0,0.0,29014.0,0.0,10979.0,0.0,102191.0,0,60000,0.0,-7317.0,0.0,7970.0,0.0,23842.0,0.0,9022.0,0.0,93516.0,0.0,39.5
