period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,9.8,9.8
1,1.0,1.0,11687.0,11687.0,,,-7500,-7500,548.0,548.0,1884.0,1884.0,713.0,713.0,-4355.0,55645.0,,,-7317.0,-7317.0,535.0,535.0,1838.0,1838.0,696.0,696.0,-4249.0,55751.0,2.1,11.9
2,2.0,2.0,11687.0,23374.0,,,,,548.0,1096.0,1884.0,3768.0,713.0,1426.0,3145.0,58790.0,,,,,522.0,1057.0,1793.0,3631.0,679.0,1374.0,2994.0,58745.0,2.1,14.0
3,3.0,3.0,11687.0,35061.0,,,,,548.0,1645.0,1884.0,5652.0,713.0,2139.0,3145.0,61935.0,,,,,509.0,1566.0,1749.0,5381.0,662.0,2036.0,2921.0,61665.0,2.1,16.1
4,4.0,4.0,11687.0,46748.0,,,,,548.0,2193.0,1884.0,7536.0,713.0,2852.0,3145.0,65080.0,,,,,497.0,2062.0,1707.0,7088.0,646.0,2682.0,2849.0,64515.0,2.1,18.2
5,5.0,5.0,11687.0,58435.0,,,,,548.0,2741.0,1884.0,9420.0,713.0,3565.0,3145.0,68225.0,,,,,484.0,2547.0,1665.0,8753.0,630.0,3312.0,2780.0,67294.0,2.1,20.3
6,6.0,6.0,11687.0,70122.0,,,,,548.0,3289.0,1884.0,11304.0,713.0,4277.0,3145.0,71370.0,,,,,473.0,3019.0,1625.0,10377.0,615.0,3927.0,2712.0,70006.0,2.1,22.5
7,7.0,7.0,11687.0,81809.0,,,,,548.0,3837.0,1884.0,13188.0,713.0,4990.0,3145.0,74516.0,,,,,461.0,3481.0,1585.0,11962.0,600.0,4527.0,2646.0,72652.0,2.1,24.6
8,8.0,8.0,11687.0,93496.0,,,,,548.0,4385.0,1884.0,15072.0,713.0,5703.0,3145.0,77661.0,,,,,450.0,3930.0,1546.0,13509.0,585.0,5112.0,2581.0,75234.0,2.1,26.7
9,9.0,9.0,11687.0,105183.0,,,,,548.0,4934.0,1884.0,16956.0,713.0,6416.0,3145.0,80806.0,,,,,439.0,4369.0,1509.0,15017.0,571.0,5682.0,2518.0,77752.0,2.1,28.8
10,10.0,10.0,11687.0,116870.0,,,,,548.0,5482.0,1884.0,18840.0,713.0,7129.0,3145.0,83951.0,,,,,428.0,4798.0,1472.0,16489.0,557.0,6239.0,2457.0,80209.0,2.1,30.9
11,11.0,11.0,11687.0,128557.0,,,,,548.0,6030.0,1884.0,20724.0,713.0,7842.0,3145.0,87096.0,,,,,418.0,5215.0,1436.0,17925.0,543.0,6783.0,2397.0,82606.0,2.1,33.0
12,12.0,12.0,11687.0,140244.0,,,,,548.0,6578.0,1884.0,22608.0,713.0,8555.0,3145.0,90241.0,,,,,408.0,5623.0,1401.0,19326.0,530.0,7313.0,2339.0,84944.0,2.1,35.1
13,13.0,13.0,11687.0,151931.0,,,,,548.0,7126.0,1884.0,24492.0,713.0,9268.0,3145.0,93386.0,,,,,398.0,6021.0,1367.0,20692.0,517.0,7830.0,2282.0,87226.0,2.1,37.2
14,14.0,14.0,11687.0,163618.0,,,,,548.0,7674.0,1884.0,26376.0,713.0,9981.0,3145.0,96531.0,,,,,388.0,6409.0,1333.0,22026.0,505.0,8335.0,2226.0,89452.0,2.1,39.3
15,15.0,15.0,11687.0,175305.0,,,,,548.0,8223.0,1884.0,28260.0,713.0,10694.0,3145.0,99676.0,,,,,378.0,6787.0,1301.0,23327.0,492.0,8827.0,2172.0,91623.0,2.1,41.4
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,219.0,8442.0,754.0,29014.0,285.0,10979.0,1258.0,100934.0,,,,,150.0,6937.0,515.0,23842.0,195.0,9022.0,860.0,92483.0,0.8,42.2
post-use,15.4,16.94,0.0,179979.80000000002,0,60000,0,-7500,0.0,8442.0,0.0,29014.0,0.0,10979.0,0.0,100934.0,0,60000,0.0,-7317.0,0.0,6937.0,0.0,23842.0,0.0,9022.0,0.0,92483.0,0.0,42.2
