period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,13821.181558,13821.181558,,,-7500,-7500,746.0,746.0,1884.0,1884.0,843.0,843.0,-4027.0,67973.0,-4027.0,-4027.0,,,-7143.0,-7143.0,710.0,710.0,1794.0,1794.0,803.0,803.0,-3835.0,68165.0,-3835.0,-3835.0,2.3,12.2
2,2.0,2.0,13821.181558,27642.363116,,,,,746.0,1492.0,1884.0,3768.0,843.0,1686.0,3473.0,71446.0,3473.0,-554.0,,,,,676.0,1387.0,1709.0,3503.0,765.0,1568.0,3150.0,71315.0,3150.0,-685.0,2.3,14.5
3,3.0,3.0,13821.181558,41463.544674000004,,,,,746.0,2237.0,1884.0,5652.0,843.0,2529.0,3473.0,74919.0,3473.0,2919.0,,,,,644.0,2031.0,1627.0,5131.0,728.0,2296.0,3000.0,74315.0,3000.0,2315.0,2.3,16.8
4,4.0,4.0,13821.181558,55284.726232,,,,,746.0,2983.0,1884.0,7536.0,843.0,3372.0,3473.0,78392.0,3473.0,6392.0,,,,,614.0,2645.0,1550.0,6681.0,694.0,2990.0,2857.0,77172.0,2857.0,5172.0,2.3,19.2
5,5.0,5.0,13821.181558,69105.90779,,,,,746.0,3729.0,1884.0,9420.0,843.0,4215.0,3473.0,81864.0,3473.0,9864.0,,,,,584.0,3229.0,1476.0,8157.0,661.0,3650.0,2721.0,79893.0,2721.0,7893.0,2.3,21.5
6,6.0,6.0,13821.181558,82927.089348,,,,,746.0,4475.0,1884.0,11304.0,843.0,5059.0,3473.0,85337.0,3473.0,13337.0,,,,,557.0,3785.0,1406.0,9563.0,629.0,4279.0,2592.0,82484.0,2592.0,10484.0,2.3,23.9
7,7.0,7.0,13821.181558,96748.27090599999,,,,,746.0,5221.0,1884.0,13188.0,843.0,5902.0,3473.0,88810.0,3473.0,16810.0,,,,,530.0,4315.0,1339.0,10902.0,599.0,4878.0,2468.0,84953.0,2468.0,12953.0,2.3,26.2
8,8.0,8.0,13821.181558,110569.45246399999,,,,,746.0,5966.0,1884.0,15072.0,843.0,6745.0,3473.0,92283.0,3473.0,20283.0,,,,,505.0,4820.0,1275.0,12177.0,571.0,5449.0,2351.0,87303.0,2351.0,15303.0,2.3,28.5
9,9.0,9.0,13821.181558,124390.63402199998,,,,,746.0,6712.0,1884.0,16956.0,843.0,7588.0,3473.0,95756.0,3473.0,23756.0,,,,,481.0,5301.0,1214.0,13391.0,543.0,5993.0,2239.0,89542.0,2239.0,17542.0,2.3,30.9
10,10.0,10.0,13821.181558,138211.81558,,,,,746.0,7458.0,1884.0,18840.0,843.0,8431.0,3473.0,99229.0,3473.0,27229.0,,,,,458.0,5759.0,1157.0,14548.0,518.0,6510.0,2132.0,91674.0,2132.0,19674.0,2.3,33.2
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,522.0,7980.0,1319.0,20159.0,590.0,9021.0,2431.0,101660.0,2431.0,29660.0,,,,,310.0,6069.0,782.0,15330.0,350.0,6860.0,1442.0,93116.0,1442.0,21116.0,1.6,34.9
post-use,10.7,11.77,0.0,147886.64267059998,0,72000,0,-7500,0.0,7980.0,0.0,20159.0,0.0,9021.0,0.0,101660.0,0.0,29660.0,0,72000,0.0,-7143.0,0.0,6069.0,0.0,15330.0,0.0,6860.0,0.0,93116.0,0.0,21116.0,0.0,34.9
