period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,14350.869023,14350.869023,,,-4153,-4153,653.0,653.0,1884,1884,875.0,875.0,-741.0,71259.0,-741.0,-741.0,,,-4052.0,-4052.0,637.0,637.0,1838.0,1838.0,854.0,854.0,-723.0,71277.0,-723.0,-723.0,0.6,10.4
2,2.0,2.0,14350.869023,28701.738046,,,,,653.0,1306.0,1884,3768,875.0,1751.0,3412.0,74672.0,3412.0,2672.0,,,,,622.0,1259.0,1793.0,3631.0,833.0,1687.0,3248.0,74525.0,3248.0,2525.0,0.6,11.0
3,3.0,3.0,14350.869023,43052.607069,,,,,653.0,1959.0,1884,5652,875.0,2626.0,3412.0,78084.0,3412.0,6084.0,,,,,606.0,1865.0,1749.0,5381.0,813.0,2500.0,3169.0,77694.0,3169.0,5694.0,0.6,11.6
4,4.0,4.0,14350.869023,57403.476092,,,,,653.0,2612.0,1884,7536,875.0,3502.0,3412.0,81496.0,3412.0,9496.0,,,,,592.0,2456.0,1707.0,7088.0,793.0,3293.0,3091.0,80786.0,3091.0,8786.0,0.6,12.2
5,5.0,5.0,14350.869023,71754.345115,,,,,653.0,3265.0,1884,9420,875.0,4377.0,3412.0,84909.0,3412.0,12909.0,,,,,577.0,3034.0,1665.0,8753.0,774.0,4067.0,3016.0,83802.0,3016.0,11802.0,0.6,12.8
6,6.0,6.0,14350.869023,86105.21413800001,,,,,653.0,3918.0,1884,11304,875.0,5252.0,3412.0,88321.0,3412.0,16321.0,,,,,563.0,3597.0,1625.0,10377.0,755.0,4822.0,2942.0,86744.0,2942.0,14744.0,0.6,13.4
7,7.0,7.0,14350.869023,100456.08316100002,,,,,653.0,4571.0,1884,13188,875.0,6128.0,3412.0,91734.0,3412.0,19734.0,,,,,549.0,4146.0,1585.0,11962.0,736.0,5558.0,2871.0,89615.0,2871.0,17615.0,0.6,14.0
8,8.0,8.0,14350.869023,114806.95218400002,,,,,653.0,5224.0,1884,15072,875.0,7003.0,3412.0,95146.0,3412.0,23146.0,,,,,536.0,4682.0,1546.0,13509.0,718.0,6277.0,2801.0,92415.0,2801.0,20415.0,0.6,14.6
9,9.0,9.0,14350.869023,129157.82120700003,,,,,653.0,5877.0,1884,16956,875.0,7879.0,3412.0,98558.0,3412.0,26558.0,,,,,523.0,5205.0,1509.0,15017.0,701.0,6978.0,2732.0,95148.0,2732.0,23148.0,0.6,15.2
10,10.0,10.0,14350.869023,143508.69023000004,,,,,653.0,6530.0,1884,18840,875.0,8754.0,3412.0,101971.0,3412.0,29971.0,,,,,510.0,5715.0,1472.0,16489.0,684.0,7662.0,2666.0,97814.0,2666.0,25814.0,0.6,15.8
11,11.0,11.0,14350.869023,157859.55925300004,,,,,653.0,7183.0,1884,20724,875.0,9629.0,3412.0,105383.0,3412.0,33383.0,,,,,498.0,6212.0,1436.0,17925.0,667.0,8329.0,2601.0,100414.0,2601.0,28414.0,0.6,16.4
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,326.0,7509.0,942,21666,438.0,10067.0,1706.0,107089.0,1706.0,35089.0,,,,,246.0,6458.0,709.0,18634.0,329.0,8658.0,1284.0,101699.0,1284.0,29699.0,0.3,16.8
post-use,11.5,12.65,0.0,165034.99376450005,0,72000,0,-4153,0.0,7509.0,0,21666,0.0,10067.0,0.0,107089.0,0.0,35089.0,0,72000,0.0,-4052.0,0.0,6458.0,0.0,18634.0,0.0,8658.0,0.0,101699.0,0.0,29699.0,0.0,16.8
