period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,14350.869023,14350.869023,,,-4153,-4153,659.0,659.0,1884,1884,875.0,875.0,-734.0,71266.0,-734.0,-734.0,,,-3955.0,-3955.0,628.0,628.0,1794.0,1794.0,834.0,834.0,-699.0,71301.0,-699.0,-699.0,5.3,15.1
2,2.0,2.0,14350.869023,28701.738046,,,,,659.0,1318.0,1884,3768,875.0,1751.0,3419.0,74684.0,3419.0,2684.0,,,,,598.0,1226.0,1709.0,3503.0,794.0,1628.0,3101.0,74401.0,3101.0,2401.0,5.3,20.4
3,3.0,3.0,14350.869023,43052.607069,,,,,659.0,1977.0,1884,5652,875.0,2626.0,3419.0,78103.0,3419.0,6103.0,,,,,569.0,1795.0,1627.0,5131.0,756.0,2384.0,2953.0,77354.0,2953.0,5354.0,5.3,25.7
4,4.0,4.0,14350.869023,57403.476092,,,,,659.0,2637.0,1884,7536,875.0,3502.0,3419.0,81521.0,3419.0,9521.0,,,,,542.0,2337.0,1550.0,6681.0,720.0,3104.0,2812.0,80167.0,2812.0,8167.0,5.3,31.1
5,5.0,5.0,14350.869023,71754.345115,,,,,659.0,3296.0,1884,9420,875.0,4377.0,3419.0,84940.0,3419.0,12940.0,,,,,516.0,2854.0,1476.0,8157.0,686.0,3790.0,2679.0,82845.0,2679.0,10845.0,5.3,36.4
6,6.0,6.0,14350.869023,86105.21413800001,,,,,659.0,3955.0,1884,11304,875.0,5252.0,3419.0,88358.0,3419.0,16358.0,,,,,492.0,3346.0,1406.0,9563.0,653.0,4443.0,2551.0,85396.0,2551.0,13396.0,5.3,41.7
7,7.0,7.0,14350.869023,100456.08316100002,,,,,659.0,4614.0,1884,13188,875.0,6128.0,3419.0,91777.0,3419.0,19777.0,,,,,468.0,3814.0,1339.0,10902.0,622.0,5065.0,2430.0,87826.0,2430.0,15826.0,5.3,47.0
8,8.0,8.0,14350.869023,114806.95218400002,,,,,659.0,5273.0,1884,15072,875.0,7003.0,3419.0,95196.0,3419.0,23196.0,,,,,446.0,4260.0,1275.0,12177.0,593.0,5658.0,2314.0,90140.0,2314.0,18140.0,5.3,52.3
9,9.0,9.0,14350.869023,129157.82120700003,,,,,659.0,5932.0,1884,16956,875.0,7879.0,3419.0,98614.0,3419.0,26614.0,,,,,425.0,4685.0,1214.0,13391.0,564.0,6222.0,2204.0,92343.0,2204.0,20343.0,5.3,57.6
10,10.0,10.0,14350.869023,143508.69023000004,,,,,659.0,6592.0,1884,18840,875.0,8754.0,3419.0,102033.0,3419.0,30033.0,,,,,405.0,5090.0,1157.0,14548.0,537.0,6760.0,2099.0,94442.0,2099.0,22442.0,5.3,62.9
11,11.0,11.0,14350.869023,157859.55925300004,,,,,659.0,7251.0,1884,20724,875.0,9629.0,3419.0,105451.0,3419.0,33451.0,,,,,385.0,5475.0,1102.0,15649.0,512.0,7271.0,1999.0,96441.0,1999.0,24441.0,5.3,68.2
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,330.0,7580.0,942,21666,438.0,10067.0,1709.0,107161.0,1709.0,35161.0,,,,,188.0,5663.0,537.0,16187.0,250.0,7521.0,975.0,97416.0,975.0,25416.0,2.7,70.9
post-use,11.5,12.65,0.0,165034.99376450005,0,72000,0,-4153,0.0,7580.0,0,21666,0.0,10067.0,0.0,107161.0,0.0,35161.0,0,72000,0.0,-3955.0,0.0,5663.0,0.0,16187.0,0.0,7521.0,0.0,97416.0,0.0,25416.0,0.0,70.9
