period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,2633.0,2633.0,1788.0,1788.0,1180.0,1180.0,5601.0,79521.0,,,,,2569.0,2569.0,1744.0,1744.0,1152.0,1152.0,5465.0,79385.0,4.3,9.8
2,2.0,2.0,11687.0,23374.0,,,,,2633.0,5266.0,1788.0,3576.0,1180.0,2361.0,5601.0,85122.0,,,,,2506.0,5075.0,1702.0,3446.0,1124.0,2275.0,5331.0,84716.0,4.3,14.1
3,3.0,3.0,11687.0,35061.0,,,,,2633.0,7898.0,1788.0,5364.0,1180.0,3541.0,5601.0,90724.0,,,,,2445.0,7519.0,1660.0,5107.0,1096.0,3371.0,5201.0,89917.0,4.3,18.4
4,4.0,4.0,11687.0,46748.0,,,,,2633.0,10531.0,1788.0,7152.0,1180.0,4722.0,5601.0,96325.0,,,,,2385.0,9905.0,1620.0,6726.0,1069.0,4441.0,5074.0,94992.0,4.3,22.7
5,5.0,5.0,11687.0,58435.0,,,,,2633.0,13164.0,1788.0,8940.0,1180.0,5902.0,5601.0,101926.0,,,,,2327.0,12232.0,1580.0,8307.0,1043.0,5484.0,4951.0,99942.0,4.3,27.1
6,6.0,6.0,11687.0,70122.0,,,,,2633.0,15797.0,1788.0,10728.0,1180.0,7082.0,5601.0,107527.0,,,,,2270.0,14502.0,1542.0,9849.0,1018.0,6502.0,4830.0,104772.0,4.3,31.4
7,7.0,7.0,11687.0,81809.0,,,,,2633.0,18430.0,1788.0,12516.0,1180.0,8263.0,5601.0,113128.0,,,,,2215.0,16717.0,1504.0,11353.0,993.0,7495.0,4712.0,109484.0,4.3,35.7
8,8.0,8.0,11687.0,93496.0,,,,,2633.0,21063.0,1788.0,14304.0,1180.0,9443.0,5601.0,118730.0,,,,,2161.0,18878.0,1467.0,12820.0,969.0,8464.0,4597.0,114081.0,4.3,40.0
9,9.0,9.0,11687.0,105183.0,,,,,2633.0,23695.0,1788.0,16092.0,1180.0,10623.0,5601.0,124331.0,,,,,2108.0,20986.0,1432.0,14252.0,945.0,9409.0,4485.0,118566.0,4.3,44.3
10,10.0,10.0,11687.0,116870.0,,,,,2633.0,26328.0,1788.0,17880.0,1180.0,11804.0,5601.0,129932.0,,,,,2057.0,23043.0,1397.0,15649.0,922.0,10331.0,4376.0,122942.0,4.3,48.7
11,11.0,11.0,11687.0,128557.0,,,,,2633.0,28961.0,1788.0,19668.0,1180.0,12984.0,5601.0,135533.0,,,,,2007.0,25049.0,1363.0,17011.0,900.0,11230.0,4269.0,127211.0,4.3,53.0
12,12.0,12.0,11687.0,140244.0,,,,,2633.0,31594.0,1788.0,21456.0,1180.0,14165.0,5601.0,141135.0,,,,,1958.0,27007.0,1329.0,18341.0,878.0,12108.0,4165.0,131376.0,4.3,57.3
13,13.0,13.0,11687.0,151931.0,,,,,2633.0,34227.0,1788.0,23244.0,1180.0,15345.0,5601.0,146736.0,,,,,1910.0,28917.0,1297.0,19638.0,856.0,12964.0,4063.0,135439.0,4.3,61.6
14,14.0,14.0,11687.0,163618.0,,,,,2633.0,36860.0,1788.0,25032.0,1180.0,16525.0,5601.0,152337.0,,,,,1863.0,30780.0,1265.0,20903.0,835.0,13800.0,3964.0,139403.0,4.3,65.9
15,15.0,15.0,11687.0,175305.0,,,,,2633.0,39492.0,1788.0,26820.0,1180.0,17706.0,5601.0,157938.0,,,,,1818.0,32598.0,1235.0,22138.0,815.0,14615.0,3867.0,143271.0,4.3,70.3
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,1053.0,40545.0,715.0,27535.0,472.0,18178.0,2240.0,160179.0,,,,,720.0,33318.0,489.0,22627.0,323.0,14938.0,1532.0,144802.0,1.7,72.0
post-use,15.4,16.94,0.0,179979.80000000002,0,73920,0,0,0.0,40545.0,0.0,27535.0,0.0,18178.0,0.0,160179.0,0,73920,0,0,0.0,33318.0,0.0,22627.0,0.0,14938.0,0.0,144802.0,0.0,72.0
