period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12954.19509,12954.19509,,,,,2918.0,2918.0,1788.0,1788.0,1308.0,1308.0,6015.0,79935.0,6015.0,6015.0,,,,,2779.0,2779.0,1703.0,1703.0,1246.0,1246.0,5728.0,79648.0,5728.0,5728.0,4.8,10.3
2,2.0,2.0,12954.19509,25908.39018,,,,,2918.0,5837.0,1788.0,3576.0,1308.0,2617.0,6015.0,85949.0,6015.0,12029.0,,,,,2647.0,5426.0,1622.0,3325.0,1187.0,2433.0,5455.0,85104.0,5455.0,11184.0,4.8,15.0
3,3.0,3.0,12954.19509,38862.585269999996,,,,,2918.0,8755.0,1788.0,5364.0,1308.0,3925.0,6015.0,91964.0,6015.0,18044.0,,,,,2521.0,7947.0,1545.0,4869.0,1130.0,3563.0,5196.0,90299.0,5196.0,16379.0,4.8,19.8
4,4.0,4.0,12954.19509,51816.78036,,,,,2918.0,11673.0,1788.0,7152.0,1308.0,5233.0,6015.0,97979.0,6015.0,24059.0,,,,,2401.0,10348.0,1471.0,6340.0,1076.0,4639.0,4948.0,95248.0,4948.0,21328.0,4.8,24.6
5,5.0,5.0,12954.19509,64770.97545,,,,,2918.0,14591.0,1788.0,8940.0,1308.0,6542.0,6015.0,103993.0,6015.0,30073.0,,,,,2287.0,12635.0,1401.0,7741.0,1025.0,5665.0,4713.0,99960.0,4713.0,26040.0,4.8,29.4
6,6.0,6.0,12954.19509,77725.17053999999,,,,,2918.0,17510.0,1788.0,10728.0,1308.0,7850.0,6015.0,110008.0,6015.0,36088.0,,,,,2178.0,14812.0,1334.0,9075.0,976.0,6641.0,4488.0,104449.0,4488.0,30529.0,4.8,34.2
7,7.0,7.0,12954.19509,90679.36562999999,,,,,2918.0,20428.0,1788.0,12516.0,1308.0,9159.0,6015.0,116023.0,6015.0,42103.0,,,,,2074.0,16886.0,1271.0,10346.0,930.0,7571.0,4275.0,108723.0,4275.0,34803.0,4.8,39.0
8,8.0,8.0,12954.19509,103633.56071999998,,,,,2918.0,23346.0,1788.0,14304.0,1308.0,10467.0,6015.0,122037.0,6015.0,48117.0,,,,,1975.0,18862.0,1210.0,11556.0,886.0,8456.0,4071.0,112794.0,4071.0,38874.0,4.8,43.8
9,9.0,9.0,12954.19509,116587.75580999997,,,,,2918.0,26265.0,1788.0,16092.0,1308.0,11775.0,6015.0,128052.0,6015.0,54132.0,,,,,1881.0,20743.0,1153.0,12709.0,843.0,9300.0,3877.0,116671.0,3877.0,42751.0,4.8,48.6
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,2626.0,28891.0,1609.0,17701.0,1178.0,12953.0,5413.0,133465.0,5413.0,59545.0,,,,,1620.0,22363.0,993.0,13702.0,726.0,10026.0,3339.0,120011.0,3339.0,46091.0,4.3,52.9
post-use,9.9,10.89,0.0,128246.53139099998,0,73920,0,0,0.0,28891.0,0.0,17701.0,0.0,12953.0,0.0,133465.0,0.0,59545.0,0,73920,0,0,0.0,22363.0,0.0,13702.0,0.0,10026.0,0.0,120011.0,0.0,46091.0,0.0,52.9
