period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,1510.0,1510.0,1788.0,1788.0,1180.0,1180.0,4478.0,78398.0,,,,,1473.0,1473.0,1744.0,1744.0,1152.0,1152.0,4369.0,78289.0,4.3,9.8
2,2.0,2.0,11687.0,23374.0,,,,,1510.0,3020.0,1788.0,3576.0,1180.0,2361.0,4478.0,82876.0,,,,,1437.0,2910.0,1702.0,3446.0,1124.0,2275.0,4262.0,82551.0,4.3,14.1
3,3.0,3.0,11687.0,35061.0,,,,,1510.0,4529.0,1788.0,5364.0,1180.0,3541.0,4478.0,87354.0,,,,,1402.0,4312.0,1660.0,5107.0,1096.0,3371.0,4158.0,86710.0,4.3,18.4
4,4.0,4.0,11687.0,46748.0,,,,,1510.0,6039.0,1788.0,7152.0,1180.0,4722.0,4478.0,91833.0,,,,,1368.0,5680.0,1620.0,6726.0,1069.0,4441.0,4057.0,90767.0,4.3,22.7
5,5.0,5.0,11687.0,58435.0,,,,,1510.0,7549.0,1788.0,8940.0,1180.0,5902.0,4478.0,96311.0,,,,,1334.0,7014.0,1580.0,8307.0,1043.0,5484.0,3958.0,94725.0,4.3,27.1
6,6.0,6.0,11687.0,70122.0,,,,,1510.0,9059.0,1788.0,10728.0,1180.0,7082.0,4478.0,100789.0,,,,,1302.0,8316.0,1542.0,9849.0,1018.0,6502.0,3861.0,98586.0,4.3,31.4
7,7.0,7.0,11687.0,81809.0,,,,,1510.0,10568.0,1788.0,12516.0,1180.0,8263.0,4478.0,105267.0,,,,,1270.0,9586.0,1504.0,11353.0,993.0,7495.0,3767.0,102353.0,4.3,35.7
8,8.0,8.0,11687.0,93496.0,,,,,1510.0,12078.0,1788.0,14304.0,1180.0,9443.0,4478.0,109745.0,,,,,1239.0,10825.0,1467.0,12820.0,969.0,8464.0,3675.0,106029.0,4.3,40.0
9,9.0,9.0,11687.0,105183.0,,,,,1510.0,13588.0,1788.0,16092.0,1180.0,10623.0,4478.0,114223.0,,,,,1209.0,12034.0,1432.0,14252.0,945.0,9409.0,3586.0,109615.0,4.3,44.3
10,10.0,10.0,11687.0,116870.0,,,,,1510.0,15098.0,1788.0,17880.0,1180.0,11804.0,4478.0,118701.0,,,,,1179.0,13214.0,1397.0,15649.0,922.0,10331.0,3498.0,113113.0,4.3,48.7
11,11.0,11.0,11687.0,128557.0,,,,,1510.0,16607.0,1788.0,19668.0,1180.0,12984.0,4478.0,123180.0,,,,,1151.0,14364.0,1363.0,17011.0,900.0,11230.0,3413.0,116526.0,4.3,53.0
12,12.0,12.0,11687.0,140244.0,,,,,1510.0,18117.0,1788.0,21456.0,1180.0,14165.0,4478.0,127658.0,,,,,1123.0,15487.0,1329.0,18341.0,878.0,12108.0,3330.0,119856.0,4.3,57.3
13,13.0,13.0,11687.0,151931.0,,,,,1510.0,19627.0,1788.0,23244.0,1180.0,15345.0,4478.0,132136.0,,,,,1095.0,16582.0,1297.0,19638.0,856.0,12964.0,3249.0,123104.0,4.3,61.6
14,14.0,14.0,11687.0,163618.0,,,,,1510.0,21137.0,1788.0,25032.0,1180.0,16525.0,4478.0,136614.0,,,,,1068.0,17650.0,1265.0,20903.0,835.0,13800.0,3169.0,126274.0,4.3,65.9
15,15.0,15.0,11687.0,175305.0,,,,,1510.0,22646.0,1788.0,26820.0,1180.0,17706.0,4478.0,141092.0,,,,,1042.0,18693.0,1235.0,22138.0,815.0,14615.0,3092.0,129366.0,4.3,70.3
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,604.0,23250.0,715.0,27535.0,472.0,18178.0,1791.0,142883.0,,,,,413.0,19106.0,489.0,22627.0,323.0,14938.0,1225.0,130590.0,1.7,72.0
post-use,15.4,16.94,0.0,179979.80000000002,0,73920,0,0,0.0,23250.0,0.0,27535.0,0.0,18178.0,0.0,142883.0,0,73920,0,0,0.0,19106.0,0.0,22627.0,0.0,14938.0,0.0,130590.0,0.0,72.0
