period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,1512.0,1512.0,1788.0,1788.0,1180.0,1180.0,4481.0,78401.0,,,,,1475.0,1475.0,1744.0,1744.0,1152.0,1152.0,4371.0,78291.0,4.3,9.8
2,2.0,2.0,11687.0,23374.0,,,,,1512.0,3024.0,1788.0,3576.0,1180.0,2361.0,4481.0,82881.0,,,,,1439.0,2915.0,1702.0,3446.0,1124.0,2275.0,4265.0,82556.0,4.3,14.1
3,3.0,3.0,11687.0,35061.0,,,,,1512.0,4537.0,1788.0,5364.0,1180.0,3541.0,4481.0,87362.0,,,,,1404.0,4319.0,1660.0,5107.0,1096.0,3371.0,4161.0,86717.0,4.3,18.4
4,4.0,4.0,11687.0,46748.0,,,,,1512.0,6049.0,1788.0,7152.0,1180.0,4722.0,4481.0,91842.0,,,,,1370.0,5689.0,1620.0,6726.0,1069.0,4441.0,4059.0,90776.0,4.3,22.7
5,5.0,5.0,11687.0,58435.0,,,,,1512.0,7561.0,1788.0,8940.0,1180.0,5902.0,4481.0,96323.0,,,,,1337.0,7025.0,1580.0,8307.0,1043.0,5484.0,3960.0,94736.0,4.3,27.1
6,6.0,6.0,11687.0,70122.0,,,,,1512.0,9073.0,1788.0,10728.0,1180.0,7082.0,4481.0,100803.0,,,,,1304.0,8329.0,1542.0,9849.0,1018.0,6502.0,3864.0,98600.0,4.3,31.4
7,7.0,7.0,11687.0,81809.0,,,,,1512.0,10585.0,1788.0,12516.0,1180.0,8263.0,4481.0,105284.0,,,,,1272.0,9602.0,1504.0,11353.0,993.0,7495.0,3769.0,102369.0,4.3,35.7
8,8.0,8.0,11687.0,93496.0,,,,,1512.0,12098.0,1788.0,14304.0,1180.0,9443.0,4481.0,109765.0,,,,,1241.0,10843.0,1467.0,12820.0,969.0,8464.0,3677.0,106046.0,4.3,40.0
9,9.0,9.0,11687.0,105183.0,,,,,1512.0,13610.0,1788.0,16092.0,1180.0,10623.0,4481.0,114245.0,,,,,1211.0,12053.0,1432.0,14252.0,945.0,9409.0,3588.0,109634.0,4.3,44.3
10,10.0,10.0,11687.0,116870.0,,,,,1512.0,15122.0,1788.0,17880.0,1180.0,11804.0,4481.0,118726.0,,,,,1181.0,13235.0,1397.0,15649.0,922.0,10331.0,3500.0,113134.0,4.3,48.7
11,11.0,11.0,11687.0,128557.0,,,,,1512.0,16634.0,1788.0,19668.0,1180.0,12984.0,4481.0,123206.0,,,,,1153.0,14387.0,1363.0,17011.0,900.0,11230.0,3415.0,116549.0,4.3,53.0
12,12.0,12.0,11687.0,140244.0,,,,,1512.0,18146.0,1788.0,21456.0,1180.0,14165.0,4481.0,127687.0,,,,,1124.0,15512.0,1329.0,18341.0,878.0,12108.0,3332.0,119881.0,4.3,57.3
13,13.0,13.0,11687.0,151931.0,,,,,1512.0,19659.0,1788.0,23244.0,1180.0,15345.0,4481.0,132168.0,,,,,1097.0,16609.0,1297.0,19638.0,856.0,12964.0,3250.0,123131.0,4.3,61.6
14,14.0,14.0,11687.0,163618.0,,,,,1512.0,21171.0,1788.0,25032.0,1180.0,16525.0,4481.0,136648.0,,,,,1070.0,17679.0,1265.0,20903.0,835.0,13800.0,3171.0,126302.0,4.3,65.9
15,15.0,15.0,11687.0,175305.0,,,,,1512.0,22683.0,1788.0,26820.0,1180.0,17706.0,4481.0,141129.0,,,,,1044.0,18723.0,1235.0,22138.0,815.0,14615.0,3094.0,129396.0,4.3,70.3
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,605.0,23288.0,715.0,27535.0,472.0,18178.0,1792.0,142921.0,,,,,414.0,19137.0,489.0,22627.0,323.0,14938.0,1225.0,130621.0,1.7,72.0
post-use,15.4,16.94,0.0,179979.80000000002,0,73920,0,0,0.0,23288.0,0.0,27535.0,0.0,18178.0,0.0,142921.0,0,73920,0,0,0.0,19137.0,0.0,22627.0,0.0,14938.0,0.0,130621.0,0.0,72.0
