period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,1730.0,1730.0,1788.0,1788.0,1180.0,1180.0,4699.0,78619.0,,,,,1688.0,1688.0,1744.0,1744.0,1152.0,1152.0,4584.0,78504.0,4.3,9.8
2,2.0,2.0,11687.0,23374.0,,,,,1730.0,3461.0,1788.0,3576.0,1180.0,2361.0,4699.0,83318.0,,,,,1647.0,3335.0,1702.0,3446.0,1124.0,2275.0,4472.0,82977.0,4.3,14.1
3,3.0,3.0,11687.0,35061.0,,,,,1730.0,5191.0,1788.0,5364.0,1180.0,3541.0,4699.0,88016.0,,,,,1607.0,4942.0,1660.0,5107.0,1096.0,3371.0,4363.0,87340.0,4.3,18.4
4,4.0,4.0,11687.0,46748.0,,,,,1730.0,6922.0,1788.0,7152.0,1180.0,4722.0,4699.0,92715.0,,,,,1568.0,6510.0,1620.0,6726.0,1069.0,4441.0,4257.0,91597.0,4.3,22.7
5,5.0,5.0,11687.0,58435.0,,,,,1730.0,8652.0,1788.0,8940.0,1180.0,5902.0,4699.0,97414.0,,,,,1529.0,8039.0,1580.0,8307.0,1043.0,5484.0,4153.0,95750.0,4.3,27.1
6,6.0,6.0,11687.0,70122.0,,,,,1730.0,10382.0,1788.0,10728.0,1180.0,7082.0,4699.0,102113.0,,,,,1492.0,9531.0,1542.0,9849.0,1018.0,6502.0,4052.0,99801.0,4.3,31.4
7,7.0,7.0,11687.0,81809.0,,,,,1730.0,12113.0,1788.0,12516.0,1180.0,8263.0,4699.0,106811.0,,,,,1456.0,10987.0,1504.0,11353.0,993.0,7495.0,3953.0,103754.0,4.3,35.7
8,8.0,8.0,11687.0,93496.0,,,,,1730.0,13843.0,1788.0,14304.0,1180.0,9443.0,4699.0,111510.0,,,,,1420.0,12407.0,1467.0,12820.0,969.0,8464.0,3856.0,107611.0,4.3,40.0
9,9.0,9.0,11687.0,105183.0,,,,,1730.0,15573.0,1788.0,16092.0,1180.0,10623.0,4699.0,116209.0,,,,,1386.0,13793.0,1432.0,14252.0,945.0,9409.0,3762.0,111373.0,4.3,44.3
10,10.0,10.0,11687.0,116870.0,,,,,1730.0,17304.0,1788.0,17880.0,1180.0,11804.0,4699.0,120908.0,,,,,1352.0,15144.0,1397.0,15649.0,922.0,10331.0,3671.0,115044.0,4.3,48.7
11,11.0,11.0,11687.0,128557.0,,,,,1730.0,19034.0,1788.0,19668.0,1180.0,12984.0,4699.0,125606.0,,,,,1319.0,16463.0,1363.0,17011.0,900.0,11230.0,3581.0,118625.0,4.3,53.0
12,12.0,12.0,11687.0,140244.0,,,,,1730.0,20765.0,1788.0,21456.0,1180.0,14165.0,4699.0,130305.0,,,,,1287.0,17750.0,1329.0,18341.0,878.0,12108.0,3494.0,122119.0,4.3,57.3
13,13.0,13.0,11687.0,151931.0,,,,,1730.0,22495.0,1788.0,23244.0,1180.0,15345.0,4699.0,135004.0,,,,,1255.0,19005.0,1297.0,19638.0,856.0,12964.0,3409.0,125527.0,4.3,61.6
14,14.0,14.0,11687.0,163618.0,,,,,1730.0,24225.0,1788.0,25032.0,1180.0,16525.0,4699.0,139703.0,,,,,1225.0,20230.0,1265.0,20903.0,835.0,13800.0,3325.0,128853.0,4.3,65.9
15,15.0,15.0,11687.0,175305.0,,,,,1730.0,25956.0,1788.0,26820.0,1180.0,17706.0,4699.0,144401.0,,,,,1195.0,21424.0,1235.0,22138.0,815.0,14615.0,3244.0,132097.0,4.3,70.3
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,692.0,26648.0,715.0,27535.0,472.0,18178.0,1880.0,146281.0,,,,,473.0,21898.0,489.0,22627.0,323.0,14938.0,1285.0,133382.0,1.7,72.0
post-use,15.4,16.94,0.0,179979.80000000002,0,73920,0,0,0.0,26648.0,0.0,27535.0,0.0,18178.0,0.0,146281.0,0,73920,0,0,0.0,21898.0,0.0,22627.0,0.0,14938.0,0.0,133382.0,0.0,72.0
