period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12954.19509,12954.19509,,,,,2191.0,2191.0,1788.0,1788.0,1308.0,1308.0,5288.0,79208.0,5288.0,5288.0,,,,,2087.0,2087.0,1703.0,1703.0,1246.0,1246.0,5036.0,78956.0,5036.0,5036.0,4.8,10.3
2,2.0,2.0,12954.19509,25908.39018,,,,,2191.0,4382.0,1788.0,3576.0,1308.0,2617.0,5288.0,84495.0,5288.0,10575.0,,,,,1987.0,4074.0,1622.0,3325.0,1187.0,2433.0,4796.0,83752.0,4796.0,9832.0,4.8,15.0
3,3.0,3.0,12954.19509,38862.585269999996,,,,,2191.0,6573.0,1788.0,5364.0,1308.0,3925.0,5288.0,89783.0,5288.0,15863.0,,,,,1893.0,5967.0,1545.0,4869.0,1130.0,3563.0,4568.0,88319.0,4568.0,14399.0,4.8,19.8
4,4.0,4.0,12954.19509,51816.78036,,,,,2191.0,8765.0,1788.0,7152.0,1308.0,5233.0,5288.0,95070.0,5288.0,21150.0,,,,,1803.0,7770.0,1471.0,6340.0,1076.0,4639.0,4350.0,92669.0,4350.0,18749.0,4.8,24.6
5,5.0,5.0,12954.19509,64770.97545,,,,,2191.0,10956.0,1788.0,8940.0,1308.0,6542.0,5288.0,100358.0,5288.0,26438.0,,,,,1717.0,9487.0,1401.0,7741.0,1025.0,5665.0,4143.0,96812.0,4143.0,22892.0,4.8,29.4
6,6.0,6.0,12954.19509,77725.17053999999,,,,,2191.0,13147.0,1788.0,10728.0,1308.0,7850.0,5288.0,105645.0,5288.0,31725.0,,,,,1635.0,11122.0,1334.0,9075.0,976.0,6641.0,3946.0,100758.0,3946.0,26838.0,4.8,34.2
7,7.0,7.0,12954.19509,90679.36562999999,,,,,2191.0,15338.0,1788.0,12516.0,1308.0,9159.0,5288.0,110933.0,5288.0,37013.0,,,,,1557.0,12679.0,1271.0,10346.0,930.0,7571.0,3758.0,104516.0,3758.0,30596.0,4.8,39.0
8,8.0,8.0,12954.19509,103633.56071999998,,,,,2191.0,17529.0,1788.0,14304.0,1308.0,10467.0,5288.0,116220.0,5288.0,42300.0,,,,,1483.0,14162.0,1210.0,11556.0,886.0,8456.0,3579.0,108094.0,3579.0,34174.0,4.8,43.8
9,9.0,9.0,12954.19509,116587.75580999997,,,,,2191.0,19720.0,1788.0,16092.0,1308.0,11775.0,5288.0,121508.0,5288.0,47588.0,,,,,1412.0,15574.0,1153.0,12709.0,843.0,9300.0,3408.0,111503.0,3408.0,37583.0,4.8,48.6
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,1972.0,21692.0,1609.0,17701.0,1178.0,12953.0,4759.0,126266.0,4759.0,52346.0,,,,,1217.0,16791.0,993.0,13702.0,726.0,10026.0,2936.0,114439.0,2936.0,40519.0,4.3,52.9
post-use,9.9,10.89,0.0,128246.53139099998,0,73920,0,0,0.0,21692.0,0.0,17701.0,0.0,12953.0,0.0,126266.0,0.0,52346.0,0,73920,0,0,0.0,16791.0,0.0,13702.0,0.0,10026.0,0.0,114439.0,0.0,40519.0,0.0,52.9
