period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1951.0,1951.0,1788.0,1788.0,1165.0,1165.0,4904.0,78824.0,4904.0,4904.0,,,,,1858.0,1858.0,1703.0,1703.0,1109.0,1109.0,4670.0,78590.0,4670.0,4670.0,4.3,9.7
2,2.0,2.0,11533.46302,23066.92604,,,,,1951.0,3902.0,1788.0,3576.0,1165.0,2330.0,4904.0,83727.0,4904.0,9807.0,,,,,1769.0,3627.0,1622.0,3325.0,1057.0,2166.0,4448.0,83038.0,4448.0,9118.0,4.3,14.0
3,3.0,3.0,11533.46302,34600.38906,,,,,1951.0,5853.0,1788.0,5364.0,1165.0,3495.0,4904.0,88631.0,4904.0,14711.0,,,,,1685.0,5313.0,1545.0,4869.0,1006.0,3172.0,4236.0,87274.0,4236.0,13354.0,4.3,18.3
4,4.0,4.0,11533.46302,46133.85208,,,,,1951.0,7803.0,1788.0,7152.0,1165.0,4660.0,4904.0,93535.0,4904.0,19615.0,,,,,1605.0,6918.0,1471.0,6340.0,958.0,4131.0,4034.0,91308.0,4034.0,17388.0,4.3,22.5
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1951.0,9754.0,1788.0,8940.0,1165.0,5824.0,4904.0,98439.0,4904.0,24519.0,,,,,1529.0,8446.0,1401.0,7741.0,913.0,5043.0,3842.0,95151.0,3842.0,21231.0,4.3,26.8
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1951.0,11705.0,1788.0,10728.0,1165.0,6989.0,4904.0,103342.0,4904.0,29422.0,,,,,1456.0,9902.0,1334.0,9075.0,869.0,5913.0,3659.0,98810.0,3659.0,24890.0,4.3,31.0
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1951.0,13656.0,1788.0,12516.0,1165.0,8154.0,4904.0,108246.0,4904.0,34326.0,,,,,1386.0,11288.0,1271.0,10346.0,828.0,6740.0,3485.0,102295.0,3485.0,28375.0,4.3,35.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1951.0,15607.0,1788.0,14304.0,1165.0,9319.0,4904.0,113150.0,4904.0,39230.0,,,,,1320.0,12609.0,1210.0,11556.0,788.0,7529.0,3319.0,105614.0,3319.0,31694.0,4.3,39.6
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1756.0,17362.0,1609.0,15913.0,1048.0,10367.0,4413.0,117563.0,4413.0,43643.0,,,,,1137.0,13746.0,1042.0,12599.0,679.0,8208.0,2859.0,108473.0,2859.0,34553.0,3.8,43.4
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,73920,0,0,0.0,17362.0,0.0,15913.0,0.0,10367.0,0.0,117563.0,0.0,43643.0,0,73920,0,0,0.0,13746.0,0.0,12599.0,0.0,8208.0,0.0,108473.0,0.0,34553.0,0.0,43.4
