period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0,0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,1960.0,1960.0,1788,1788,1350.0,1350.0,5098.0,79018.0,5098.0,5098.0,,,,,1867.0,1867.0,1703.0,1703.0,1285.0,1285.0,4855.0,78775.0,4855.0,4855.0,4.9,10.4
2,2,2.0,13363.34444,26726.68888,,,,,1960.0,3920.0,1788,3576,1350.0,2699.0,5098.0,84116.0,5098.0,10196.0,,,,,1778.0,3645.0,1622.0,3325.0,1224.0,2510.0,4624.0,83399.0,4624.0,9479.0,4.9,15.3
3,3,3.0,13363.34444,40090.03332,,,,,1960.0,5881.0,1788,5364,1350.0,4049.0,5098.0,89214.0,5098.0,15294.0,,,,,1693.0,5338.0,1545.0,4869.0,1166.0,3676.0,4404.0,87803.0,4404.0,13883.0,4.9,20.3
4,4,4.0,13363.34444,53453.37776,,,,,1960.0,7841.0,1788,7152,1350.0,5399.0,5098.0,94312.0,5098.0,20392.0,,,,,1613.0,6951.0,1471.0,6340.0,1110.0,4786.0,4194.0,91997.0,4194.0,18077.0,4.9,25.2
5,5,5.0,13363.34444,66816.7222,,,,,1960.0,9801.0,1788,8940,1350.0,6748.0,5098.0,99409.0,5098.0,25489.0,,,,,1536.0,8487.0,1401.0,7741.0,1058.0,5843.0,3994.0,95991.0,3994.0,22071.0,4.9,30.2
6,6,6.0,13363.34444,80180.06664,,,,,1960.0,11761.0,1788,10728,1350.0,8098.0,5098.0,104507.0,5098.0,30587.0,,,,,1463.0,9949.0,1334.0,9075.0,1007.0,6851.0,3804.0,99795.0,3804.0,25875.0,4.9,35.1
7,7,7.0,13363.34444,93543.41108,,,,,1960.0,13721.0,1788,12516,1350.0,9448.0,5098.0,109605.0,5098.0,35685.0,,,,,1393.0,11342.0,1271.0,10346.0,959.0,7810.0,3623.0,103418.0,3623.0,29498.0,4.9,40.0
8,8,8.0,13363.34444,106906.75552,,,,,1960.0,15682.0,1788,14304,1350.0,10798.0,5098.0,114703.0,5098.0,40783.0,,,,,1327.0,12669.0,1210.0,11556.0,914.0,8723.0,3450.0,106869.0,3450.0,32949.0,4.9,45.0
9,9,9.0,13363.34444,120270.09996,,,,,1960.0,17642.0,1788,16092,1350.0,12147.0,5098.0,119801.0,5098.0,45881.0,,,,,1264.0,13933.0,1153.0,12709.0,870.0,9593.0,3286.0,110155.0,3286.0,36235.0,4.9,49.9
10,10,10.0,13363.34444,133633.4444,,,,,1960.0,19602.0,1788,17880,1350.0,13497.0,5098.0,124899.0,5098.0,50979.0,,,,,1203.0,15136.0,1098.0,13806.0,829.0,10422.0,3130.0,113285.0,3130.0,39365.0,4.9,54.9
11,11,11.0,13363.34444,146996.78884,,,,,1960.0,21562.0,1788,19668,1350.0,14847.0,5098.0,129997.0,5098.0,56077.0,,,,,1146.0,16282.0,1045.0,14852.0,789.0,11211.0,2981.0,116265.0,2981.0,42345.0,4.9,59.8
12,12,12.0,13363.34444,160360.13328,,,,,1960.0,23522.0,1788,21456,1350.0,16196.0,5098.0,135095.0,5098.0,61175.0,,,,,1092.0,17374.0,996.0,15847.0,752.0,11963.0,2839.0,119104.0,2839.0,45184.0,4.9,64.7
13,13,13.0,13363.34444,173723.47772000002,,,,,1960.0,25483.0,1788,23244,1350.0,17546.0,5098.0,140193.0,5098.0,66273.0,,,,,1040.0,18413.0,948.0,16796.0,716.0,12678.0,2704.0,121807.0,2704.0,47887.0,4.9,69.7
post-use,13,14.3,0.0,173723.47772000002,0,73920,0,0,0.0,25483.0,0,23244,0.0,17546.0,0.0,140193.0,0.0,66273.0,0,73920,0,0,0.0,18413.0,0.0,16796.0,0.0,12678.0,0.0,121807.0,0.0,47887.0,0.0,69.7
