period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0,0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.5,5.5
1,1.0,1.0,14350.869023,14350.869023,,,,,2786.0,2786.0,1788,1788,1449.0,1449.0,6024.0,79944.0,6024.0,6024.0,,,,,2654.0,2654.0,1703.0,1703.0,1380.0,1380.0,5737.0,79657.0,5737.0,5737.0,5.3,10.8
2,2.0,2.0,14350.869023,28701.738046,,,,,2786.0,5572.0,1788,3576,1449.0,2899.0,6024.0,85967.0,6024.0,12047.0,,,,,2527.0,5181.0,1622.0,3325.0,1315.0,2695.0,5464.0,85120.0,5464.0,11200.0,5.3,16.1
3,3.0,3.0,14350.869023,43052.607069,,,,,2786.0,8359.0,1788,5364,1449.0,4348.0,6024.0,91991.0,6024.0,18071.0,,,,,2407.0,7588.0,1545.0,4869.0,1252.0,3947.0,5203.0,90324.0,5203.0,16404.0,5.3,21.4
4,4.0,4.0,14350.869023,57403.476092,,,,,2786.0,11145.0,1788,7152,1449.0,5798.0,6024.0,98015.0,6024.0,24095.0,,,,,2292.0,9880.0,1471.0,6340.0,1192.0,5140.0,4956.0,95280.0,4956.0,21360.0,5.3,26.7
5,5.0,5.0,14350.869023,71754.345115,,,,,2786.0,13931.0,1788,8940,1449.0,7247.0,6024.0,104038.0,6024.0,30118.0,,,,,2183.0,12063.0,1401.0,7741.0,1136.0,6275.0,4720.0,99999.0,4720.0,26079.0,5.3,32.0
6,6.0,6.0,14350.869023,86105.21413800001,,,,,2786.0,16717.0,1788,10728,1449.0,8697.0,6024.0,110062.0,6024.0,36142.0,,,,,2079.0,14142.0,1334.0,9075.0,1082.0,7357.0,4495.0,104494.0,4495.0,30574.0,5.3,37.3
7,7.0,7.0,14350.869023,100456.08316100002,,,,,2786.0,19503.0,1788,12516,1449.0,10146.0,6024.0,116086.0,6024.0,42166.0,,,,,1980.0,16122.0,1271.0,10346.0,1030.0,8387.0,4281.0,108775.0,4281.0,34855.0,5.3,42.6
8,8.0,8.0,14350.869023,114806.95218400002,,,,,2786.0,22290.0,1788,14304,1449.0,11596.0,6024.0,122109.0,6024.0,48189.0,,,,,1886.0,18008.0,1210.0,11556.0,981.0,9368.0,4077.0,112852.0,4077.0,38932.0,5.3,47.9
9,9.0,9.0,14350.869023,129157.82120700003,,,,,2786.0,25076.0,1788,16092,1449.0,13045.0,6024.0,128133.0,6024.0,54213.0,,,,,1796.0,19804.0,1153.0,12709.0,934.0,10302.0,3883.0,116735.0,3883.0,42815.0,5.3,53.2
10,10.0,10.0,14350.869023,143508.69023000004,,,,,2786.0,27862.0,1788,17880,1449.0,14494.0,6024.0,134156.0,6024.0,60236.0,,,,,1710.0,21514.0,1098.0,13806.0,890.0,11192.0,3698.0,120433.0,3698.0,46513.0,5.3,58.5
11,11.0,11.0,14350.869023,157859.55925300004,,,,,2786.0,30648.0,1788,19668,1449.0,15944.0,6024.0,140180.0,6024.0,66260.0,,,,,1629.0,23143.0,1045.0,14852.0,847.0,12040.0,3522.0,123955.0,3522.0,50035.0,5.3,63.8
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,1393.0,32041.0,894,20562,725.0,16669.0,3012.0,143192.0,3012.0,69272.0,,,,,795.0,23938.0,510.0,15362.0,414.0,12453.0,1719.0,125673.0,1719.0,51753.0,2.7,66.5
post-use,11.5,12.65,0.0,165034.99376450005,0,73920,0,0,0.0,32041.0,0,20562,0.0,16669.0,0.0,143192.0,0.0,69272.0,0,73920,0,0,0.0,23938.0,0.0,15362.0,0.0,12453.0,0.0,125673.0,0.0,51753.0,0.0,66.5
