period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,2239.0,2239.0,1788.0,1788.0,1165.0,1165.0,5192.0,79112.0,5192.0,5192.0,,,,,2133.0,2133.0,1703.0,1703.0,1109.0,1109.0,4945.0,78865.0,4945.0,4945.0,4.3,9.7
2,2.0,2.0,11533.46302,23066.92604,,,,,2239.0,4478.0,1788.0,3576.0,1165.0,2330.0,5192.0,84304.0,5192.0,10384.0,,,,,2031.0,4164.0,1622.0,3325.0,1057.0,2166.0,4709.0,83574.0,4709.0,9654.0,4.3,14.0
3,3.0,3.0,11533.46302,34600.38906,,,,,2239.0,6718.0,1788.0,5364.0,1165.0,3495.0,5192.0,89496.0,5192.0,15576.0,,,,,1934.0,6098.0,1545.0,4869.0,1006.0,3172.0,4485.0,88059.0,4485.0,14139.0,4.3,18.3
4,4.0,4.0,11533.46302,46133.85208,,,,,2239.0,8957.0,1788.0,7152.0,1165.0,4660.0,5192.0,94688.0,5192.0,20768.0,,,,,1842.0,7940.0,1471.0,6340.0,958.0,4131.0,4272.0,92331.0,4272.0,18411.0,4.3,22.5
5,5.0,5.0,11533.46302,57667.31509999999,,,,,2239.0,11196.0,1788.0,8940.0,1165.0,5824.0,5192.0,99880.0,5192.0,25960.0,,,,,1754.0,9695.0,1401.0,7741.0,913.0,5043.0,4068.0,96399.0,4068.0,22479.0,4.3,26.8
6,6.0,6.0,11533.46302,69200.77811999999,,,,,2239.0,13435.0,1788.0,10728.0,1165.0,6989.0,5192.0,105073.0,5192.0,31153.0,,,,,1671.0,11366.0,1334.0,9075.0,869.0,5913.0,3874.0,100273.0,3874.0,26353.0,4.3,31.0
7,7.0,7.0,11533.46302,80734.24113999998,,,,,2239.0,15674.0,1788.0,12516.0,1165.0,8154.0,5192.0,110265.0,5192.0,36345.0,,,,,1591.0,12957.0,1271.0,10346.0,828.0,6740.0,3690.0,103963.0,3690.0,30043.0,4.3,35.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,2239.0,17914.0,1788.0,14304.0,1165.0,9319.0,5192.0,115457.0,5192.0,41537.0,,,,,1516.0,14473.0,1210.0,11556.0,788.0,7529.0,3514.0,107478.0,3514.0,33558.0,4.3,39.6
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,2015.0,19929.0,1609.0,15913.0,1048.0,10367.0,4673.0,120130.0,4673.0,46210.0,,,,,1305.0,15778.0,1042.0,12599.0,679.0,8208.0,3027.0,110505.0,3027.0,36585.0,3.8,43.4
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,73920,0,0,0.0,19929.0,0.0,15913.0,0.0,10367.0,0.0,120130.0,0.0,46210.0,0,73920,0,0,0.0,15778.0,0.0,12599.0,0.0,8208.0,0.0,110505.0,0.0,36585.0,0.0,43.4
