period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,1823.0,1823.0,1788.0,1788.0,1180.0,1180.0,4791.0,78711.0,,,,,1778.0,1778.0,1744.0,1744.0,1152.0,1152.0,4674.0,78594.0,4.3,9.8
2,2.0,2.0,11687.0,23374.0,,,,,1823.0,3646.0,1788.0,3576.0,1180.0,2361.0,4791.0,83503.0,,,,,1735.0,3514.0,1702.0,3446.0,1124.0,2275.0,4560.0,83155.0,4.3,14.1
3,3.0,3.0,11687.0,35061.0,,,,,1823.0,5469.0,1788.0,5364.0,1180.0,3541.0,4791.0,88294.0,,,,,1693.0,5206.0,1660.0,5107.0,1096.0,3371.0,4449.0,87604.0,4.3,18.4
4,4.0,4.0,11687.0,46748.0,,,,,1823.0,7292.0,1788.0,7152.0,1180.0,4722.0,4791.0,93085.0,,,,,1651.0,6858.0,1620.0,6726.0,1069.0,4441.0,4341.0,91945.0,4.3,22.7
5,5.0,5.0,11687.0,58435.0,,,,,1823.0,9115.0,1788.0,8940.0,1180.0,5902.0,4791.0,97876.0,,,,,1611.0,8469.0,1580.0,8307.0,1043.0,5484.0,4235.0,96180.0,4.3,27.1
6,6.0,6.0,11687.0,70122.0,,,,,1823.0,10937.0,1788.0,10728.0,1180.0,7082.0,4791.0,102668.0,,,,,1572.0,10041.0,1542.0,9849.0,1018.0,6502.0,4132.0,100311.0,4.3,31.4
7,7.0,7.0,11687.0,81809.0,,,,,1823.0,12760.0,1788.0,12516.0,1180.0,8263.0,4791.0,107459.0,,,,,1534.0,11574.0,1504.0,11353.0,993.0,7495.0,4031.0,104342.0,4.3,35.7
8,8.0,8.0,11687.0,93496.0,,,,,1823.0,14583.0,1788.0,14304.0,1180.0,9443.0,4791.0,112250.0,,,,,1496.0,13071.0,1467.0,12820.0,969.0,8464.0,3932.0,108274.0,4.3,40.0
9,9.0,9.0,11687.0,105183.0,,,,,1823.0,16406.0,1788.0,16092.0,1180.0,10623.0,4791.0,117042.0,,,,,1460.0,14530.0,1432.0,14252.0,945.0,9409.0,3837.0,112111.0,4.3,44.3
10,10.0,10.0,11687.0,116870.0,,,,,1823.0,18229.0,1788.0,17880.0,1180.0,11804.0,4791.0,121833.0,,,,,1424.0,15954.0,1397.0,15649.0,922.0,10331.0,3743.0,115854.0,4.3,48.7
11,11.0,11.0,11687.0,128557.0,,,,,1823.0,20052.0,1788.0,19668.0,1180.0,12984.0,4791.0,126624.0,,,,,1389.0,17344.0,1363.0,17011.0,900.0,11230.0,3652.0,119505.0,4.3,53.0
12,12.0,12.0,11687.0,140244.0,,,,,1823.0,21875.0,1788.0,21456.0,1180.0,14165.0,4791.0,131416.0,,,,,1355.0,18699.0,1329.0,18341.0,878.0,12108.0,3563.0,123068.0,4.3,57.3
13,13.0,13.0,11687.0,151931.0,,,,,1823.0,23698.0,1788.0,23244.0,1180.0,15345.0,4791.0,136207.0,,,,,1322.0,20021.0,1297.0,19638.0,856.0,12964.0,3476.0,126544.0,4.3,61.6
14,14.0,14.0,11687.0,163618.0,,,,,1823.0,25521.0,1788.0,25032.0,1180.0,16525.0,4791.0,140998.0,,,,,1290.0,21311.0,1265.0,20903.0,835.0,13800.0,3391.0,129935.0,4.3,65.9
15,15.0,15.0,11687.0,175305.0,,,,,1823.0,27344.0,1788.0,26820.0,1180.0,17706.0,4791.0,145789.0,,,,,1259.0,22570.0,1235.0,22138.0,815.0,14615.0,3308.0,133243.0,4.3,70.3
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,729.0,28073.0,715.0,27535.0,472.0,18178.0,1917.0,147706.0,,,,,499.0,23069.0,489.0,22627.0,323.0,14938.0,1310.0,134553.0,1.7,72.0
post-use,15.4,16.94,0.0,179979.80000000002,0,73920,0,0,0.0,28073.0,0.0,27535.0,0.0,18178.0,0.0,147706.0,0,73920,0,0,0.0,23069.0,0.0,22627.0,0.0,14938.0,0.0,134553.0,0.0,72.0
