period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0,0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.5,5.5
1,1.0,1.0,14350.869023,14350.869023,,,,,2238.0,2238.0,1788,1788,1449.0,1449.0,5476.0,79396.0,5476.0,5476.0,,,,,2132.0,2132.0,1703.0,1703.0,1380.0,1380.0,5215.0,79135.0,5215.0,5215.0,5.3,10.8
2,2.0,2.0,14350.869023,28701.738046,,,,,2238.0,4477.0,1788,3576,1449.0,2899.0,5476.0,84872.0,5476.0,10952.0,,,,,2030.0,4162.0,1622.0,3325.0,1315.0,2695.0,4967.0,84102.0,4967.0,10182.0,5.3,16.1
3,3.0,3.0,14350.869023,43052.607069,,,,,2238.0,6715.0,1788,5364,1449.0,4348.0,5476.0,90348.0,5476.0,16428.0,,,,,1934.0,6096.0,1545.0,4869.0,1252.0,3947.0,4730.0,88832.0,4730.0,14912.0,5.3,21.4
4,4.0,4.0,14350.869023,57403.476092,,,,,2238.0,8954.0,1788,7152,1449.0,5798.0,5476.0,95823.0,5476.0,21903.0,,,,,1842.0,7937.0,1471.0,6340.0,1192.0,5140.0,4505.0,93337.0,4505.0,19417.0,5.3,26.7
5,5.0,5.0,14350.869023,71754.345115,,,,,2238.0,11192.0,1788,8940,1449.0,7247.0,5476.0,101299.0,5476.0,27379.0,,,,,1754.0,9691.0,1401.0,7741.0,1136.0,6275.0,4290.0,97628.0,4290.0,23708.0,5.3,32.0
6,6.0,6.0,14350.869023,86105.21413800001,,,,,2238.0,13430.0,1788,10728,1449.0,8697.0,5476.0,106775.0,5476.0,32855.0,,,,,1670.0,11362.0,1334.0,9075.0,1082.0,7357.0,4086.0,101714.0,4086.0,27794.0,5.3,37.3
7,7.0,7.0,14350.869023,100456.08316100002,,,,,2238.0,15669.0,1788,12516,1449.0,10146.0,5476.0,112251.0,5476.0,38331.0,,,,,1591.0,12952.0,1271.0,10346.0,1030.0,8387.0,3892.0,105605.0,3892.0,31685.0,5.3,42.6
8,8.0,8.0,14350.869023,114806.95218400002,,,,,2238.0,17907.0,1788,14304,1449.0,11596.0,5476.0,117727.0,5476.0,43807.0,,,,,1515.0,14467.0,1210.0,11556.0,981.0,9368.0,3706.0,109312.0,3706.0,35392.0,5.3,47.9
9,9.0,9.0,14350.869023,129157.82120700003,,,,,2238.0,20146.0,1788,16092,1449.0,13045.0,5476.0,123203.0,5476.0,49283.0,,,,,1443.0,15910.0,1153.0,12709.0,934.0,10302.0,3530.0,112841.0,3530.0,38921.0,5.3,53.2
10,10.0,10.0,14350.869023,143508.69023000004,,,,,2238.0,22384.0,1788,17880,1449.0,14494.0,5476.0,128679.0,5476.0,54759.0,,,,,1374.0,17284.0,1098.0,13806.0,890.0,11192.0,3362.0,116203.0,3362.0,42283.0,5.3,58.5
11,11.0,11.0,14350.869023,157859.55925300004,,,,,2238.0,24623.0,1788,19668,1449.0,15944.0,5476.0,134154.0,5476.0,60234.0,,,,,1309.0,18593.0,1045.0,14852.0,847.0,12040.0,3202.0,119405.0,3202.0,45485.0,5.3,63.8
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,1119.0,25742.0,894,20562,725.0,16669.0,2738.0,136892.0,2738.0,62972.0,,,,,639.0,19232.0,510.0,15362.0,414.0,12453.0,1562.0,120967.0,1562.0,47047.0,2.7,66.5
post-use,11.5,12.65,0.0,165034.99376450005,0,73920,0,0,0.0,25742.0,0,20562,0.0,16669.0,0.0,136892.0,0.0,62972.0,0,73920,0,0,0.0,19232.0,0.0,15362.0,0.0,12453.0,0.0,120967.0,0.0,47047.0,0.0,66.5
