period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1799.0,1799.0,1788.0,1788.0,1165.0,1165.0,4752.0,78672.0,4752.0,4752.0,,,,,1755.0,1755.0,1744.0,1744.0,1136.0,1136.0,4636.0,78556.0,4636.0,4636.0,4.3,9.7
2,2.0,2.0,11533.46302,23066.92604,,,,,1799.0,3598.0,1788.0,3576.0,1165.0,2330.0,4752.0,83424.0,4752.0,9504.0,,,,,1712.0,3467.0,1702.0,3446.0,1109.0,2245.0,4523.0,83079.0,4523.0,9159.0,4.3,14.0
3,3.0,3.0,11533.46302,34600.38906,,,,,1799.0,5397.0,1788.0,5364.0,1165.0,3495.0,4752.0,88176.0,4752.0,14256.0,,,,,1671.0,5138.0,1660.0,5107.0,1082.0,3327.0,4413.0,87491.0,4413.0,13571.0,4.3,18.3
4,4.0,4.0,11533.46302,46133.85208,,,,,1799.0,7196.0,1788.0,7152.0,1165.0,4660.0,4752.0,92927.0,4752.0,19007.0,,,,,1630.0,6768.0,1620.0,6726.0,1055.0,4382.0,4305.0,91796.0,4305.0,17876.0,4.3,22.5
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1799.0,8995.0,1788.0,8940.0,1165.0,5824.0,4752.0,97679.0,4752.0,23759.0,,,,,1590.0,8358.0,1580.0,8307.0,1030.0,5412.0,4200.0,95996.0,4200.0,22076.0,4.3,26.8
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1799.0,10794.0,1788.0,10728.0,1165.0,6989.0,4752.0,102431.0,4752.0,28511.0,,,,,1551.0,9909.0,1542.0,9849.0,1004.0,6416.0,4097.0,100094.0,4097.0,26174.0,4.3,31.0
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1799.0,12593.0,1788.0,12516.0,1165.0,8154.0,4752.0,107183.0,4752.0,33263.0,,,,,1513.0,11422.0,1504.0,11353.0,980.0,7396.0,3998.0,104091.0,3998.0,30171.0,4.3,35.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1799.0,14392.0,1788.0,14304.0,1165.0,9319.0,4752.0,111935.0,4752.0,38015.0,,,,,1476.0,12899.0,1467.0,12820.0,956.0,8352.0,3900.0,107991.0,3900.0,34071.0,4.3,39.6
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1619.0,16011.0,1609.0,15913.0,1048.0,10367.0,4277.0,116211.0,4277.0,42291.0,,,,,1300.0,14198.0,1292.0,14112.0,842.0,9194.0,3433.0,111424.0,3433.0,37504.0,3.8,43.4
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,73920,0,0,0.0,16011.0,0.0,15913.0,0.0,10367.0,0.0,116211.0,0.0,42291.0,0,73920,0,0,0.0,14198.0,0.0,14112.0,0.0,9194.0,0.0,111424.0,0.0,37504.0,0.0,43.4
