period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.428,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,9.8,9.8
1,1.0,1.0,11631.0,11631.0,,,-7500,-7500,916.0,916.0,1884.0,1884.0,709.0,709.0,-3990.0,57458.0,,,-7317.0,-7317.0,894.0,894.0,1838.0,1838.0,692.0,692.0,-3893.0,57555.0,1.0,10.9
2,2.0,2.0,11631.0,23262.0,,,,,916.0,1833.0,1884.0,3768.0,709.0,1419.0,3510.0,60968.0,,,,,872.0,1766.0,1793.0,3631.0,675.0,1367.0,3341.0,60896.0,1.0,11.9
3,3.0,3.0,11631.0,34893.0,,,,,916.0,2749.0,1884.0,5652.0,709.0,2128.0,3510.0,64477.0,,,,,851.0,2617.0,1749.0,5381.0,659.0,2026.0,3259.0,64155.0,1.0,12.9
4,4.0,4.0,11631.0,46524.0,,,,,916.0,3665.0,1884.0,7536.0,709.0,2838.0,3510.0,67987.0,,,,,830.0,3447.0,1707.0,7088.0,643.0,2669.0,3180.0,67335.0,1.0,14.0
5,5.0,5.0,11631.0,58155.0,,,,,916.0,4582.0,1884.0,9420.0,709.0,3547.0,3510.0,71497.0,,,,,810.0,4257.0,1665.0,8753.0,627.0,3296.0,3102.0,70437.0,1.0,15.0
6,6.0,6.0,11631.0,69786.0,,,,,916.0,5498.0,1884.0,11304.0,709.0,4257.0,3510.0,75007.0,,,,,790.0,5047.0,1625.0,10377.0,612.0,3908.0,3026.0,73463.0,1.0,16.1
7,7.0,7.0,11631.0,81417.0,,,,,916.0,6414.0,1884.0,13188.0,709.0,4966.0,3510.0,78517.0,,,,,771.0,5818.0,1585.0,11962.0,597.0,4505.0,2953.0,76416.0,1.0,17.1
8,8.0,8.0,11631.0,93048.0,,,,,916.0,7330.0,1884.0,15072.0,709.0,5676.0,3510.0,82026.0,,,,,752.0,6570.0,1546.0,13509.0,582.0,5087.0,2881.0,79297.0,1.0,18.1
9,9.0,9.0,11631.0,104679.0,,,,,916.0,8247.0,1884.0,16956.0,709.0,6385.0,3510.0,85536.0,,,,,734.0,7304.0,1509.0,15017.0,568.0,5655.0,2810.0,82107.0,1.0,19.2
10,10.0,10.0,11631.0,116310.0,,,,,916.0,9163.0,1884.0,18840.0,709.0,7095.0,3510.0,89046.0,,,,,716.0,8020.0,1472.0,16489.0,554.0,6210.0,2742.0,84849.0,1.0,20.2
11,11.0,11.0,11631.0,127941.0,,,,,916.0,10079.0,1884.0,20724.0,709.0,7804.0,3510.0,92556.0,,,,,698.0,8718.0,1436.0,17925.0,541.0,6750.0,2675.0,87524.0,1.0,21.3
12,12.0,12.0,11631.0,139572.0,,,,,916.0,10996.0,1884.0,22608.0,709.0,8514.0,3510.0,96066.0,,,,,681.0,9399.0,1401.0,19326.0,528.0,7278.0,2610.0,90134.0,1.0,22.3
13,13.0,13.0,11631.0,151203.0,,,,,916.0,11912.0,1884.0,24492.0,709.0,9223.0,3510.0,99575.0,,,,,665.0,10064.0,1367.0,20692.0,515.0,7792.0,2546.0,92680.0,1.0,23.4
14,14.0,14.0,11631.0,162834.0,,,,,916.0,12828.0,1884.0,26376.0,709.0,9933.0,3510.0,103085.0,,,,,648.0,10713.0,1333.0,22026.0,502.0,8295.0,2484.0,95164.0,1.0,24.4
14.28,14.28,14.28,3256.6799999999926,166090.68,,,,,257.0,13085.0,528.0,26904.0,199.0,10132.0,983.0,104068.0,,,,,180.0,10893.0,371.0,22396.0,140.0,8434.0,691.0,95854.0,0.3,24.7
post-use,14.28,15.708,0.0,166090.68,0,61448,0,-7500,0.0,13085.0,0.0,26904.0,0.0,10132.0,0.0,104068.0,0,61448,0.0,-7317.0,0.0,10893.0,0.0,22396.0,0.0,8434.0,0.0,95854.0,0.0,24.7
