period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.428,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,9.8,9.8
1,1.0,1.0,11631.0,11631.0,,,-7500,-7500,563.0,563.0,1884.0,1884.0,709.0,709.0,-4344.0,57104.0,,,-7317.0,-7317.0,549.0,549.0,1838.0,1838.0,692.0,692.0,-4238.0,57210.0,1.8,11.6
2,2.0,2.0,11631.0,23262.0,,,,,563.0,1126.0,1884.0,3768.0,709.0,1419.0,3156.0,60261.0,,,,,536.0,1085.0,1793.0,3631.0,675.0,1367.0,3004.0,60215.0,1.8,13.4
3,3.0,3.0,11631.0,34893.0,,,,,563.0,1689.0,1884.0,5652.0,709.0,2128.0,3156.0,63417.0,,,,,523.0,1608.0,1749.0,5381.0,659.0,2026.0,2931.0,63146.0,1.8,15.2
4,4.0,4.0,11631.0,46524.0,,,,,563.0,2251.0,1884.0,7536.0,709.0,2838.0,3156.0,66573.0,,,,,510.0,2117.0,1707.0,7088.0,643.0,2669.0,2859.0,66005.0,1.8,17.0
5,5.0,5.0,11631.0,58155.0,,,,,563.0,2814.0,1884.0,9420.0,709.0,3547.0,3156.0,69730.0,,,,,497.0,2615.0,1665.0,8753.0,627.0,3296.0,2790.0,68795.0,1.8,18.7
6,6.0,6.0,11631.0,69786.0,,,,,563.0,3377.0,1884.0,11304.0,709.0,4257.0,3156.0,72886.0,,,,,485.0,3100.0,1625.0,10377.0,612.0,3908.0,2722.0,71516.0,1.8,20.5
7,7.0,7.0,11631.0,81417.0,,,,,563.0,3940.0,1884.0,13188.0,709.0,4966.0,3156.0,76042.0,,,,,474.0,3574.0,1585.0,11962.0,597.0,4505.0,2655.0,74172.0,1.8,22.3
8,8.0,8.0,11631.0,93048.0,,,,,563.0,4503.0,1884.0,15072.0,709.0,5676.0,3156.0,79199.0,,,,,462.0,4036.0,1546.0,13509.0,582.0,5087.0,2591.0,76762.0,1.8,24.1
9,9.0,9.0,11631.0,104679.0,,,,,563.0,5066.0,1884.0,16956.0,709.0,6385.0,3156.0,82355.0,,,,,451.0,4486.0,1509.0,15017.0,568.0,5655.0,2527.0,79290.0,1.8,25.9
10,10.0,10.0,11631.0,116310.0,,,,,563.0,5628.0,1884.0,18840.0,709.0,7095.0,3156.0,85511.0,,,,,440.0,4926.0,1472.0,16489.0,554.0,6210.0,2466.0,81755.0,1.8,27.6
11,11.0,11.0,11631.0,127941.0,,,,,563.0,6191.0,1884.0,20724.0,709.0,7804.0,3156.0,88668.0,,,,,429.0,5355.0,1436.0,17925.0,541.0,6750.0,2406.0,84161.0,1.8,29.4
12,12.0,12.0,11631.0,139572.0,,,,,563.0,6754.0,1884.0,22608.0,709.0,8514.0,3156.0,91824.0,,,,,419.0,5774.0,1401.0,19326.0,528.0,7278.0,2347.0,86508.0,1.8,31.2
13,13.0,13.0,11631.0,151203.0,,,,,563.0,7317.0,1884.0,24492.0,709.0,9223.0,3156.0,94980.0,,,,,408.0,6182.0,1367.0,20692.0,515.0,7792.0,2290.0,88798.0,1.8,33.0
14,14.0,14.0,11631.0,162834.0,,,,,563.0,7880.0,1884.0,26376.0,709.0,9933.0,3156.0,98137.0,,,,,398.0,6580.0,1333.0,22026.0,502.0,8295.0,2234.0,91031.0,1.8,34.8
14.28,14.28,14.28,3256.6799999999926,166090.68,,,,,158.0,8037.0,528.0,26904.0,199.0,10132.0,884.0,99021.0,,,,,111.0,6691.0,371.0,22396.0,140.0,8434.0,621.0,91653.0,0.5,35.3
post-use,14.28,15.708,0.0,166090.68,0,61448,0,-7500,0.0,8037.0,0.0,26904.0,0.0,10132.0,0.0,99021.0,0,61448,0.0,-7317.0,0.0,6691.0,0.0,22396.0,0.0,8434.0,0.0,91653.0,0.0,35.3
