period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.428,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,9.8,9.8
1,1.0,1.0,11631.0,11631.0,,,-7500,-7500,730.0,730.0,1884.0,1884.0,709.0,709.0,-4176.0,57272.0,,,-7317.0,-7317.0,712.0,712.0,1838.0,1838.0,692.0,692.0,-4074.0,57374.0,1.0,10.9
2,2.0,2.0,11631.0,23262.0,,,,,730.0,1460.0,1884.0,3768.0,709.0,1419.0,3324.0,60595.0,,,,,695.0,1407.0,1793.0,3631.0,675.0,1367.0,3164.0,60537.0,1.0,11.9
3,3.0,3.0,11631.0,34893.0,,,,,730.0,2191.0,1884.0,5652.0,709.0,2128.0,3324.0,63919.0,,,,,678.0,2086.0,1749.0,5381.0,659.0,2026.0,3086.0,63624.0,1.0,12.9
4,4.0,4.0,11631.0,46524.0,,,,,730.0,2921.0,1884.0,7536.0,709.0,2838.0,3324.0,67243.0,,,,,662.0,2747.0,1707.0,7088.0,643.0,2669.0,3011.0,66635.0,1.0,14.0
5,5.0,5.0,11631.0,58155.0,,,,,730.0,3651.0,1884.0,9420.0,709.0,3547.0,3324.0,70567.0,,,,,645.0,3393.0,1665.0,8753.0,627.0,3296.0,2938.0,69572.0,1.0,15.0
6,6.0,6.0,11631.0,69786.0,,,,,730.0,4381.0,1884.0,11304.0,709.0,4257.0,3324.0,73890.0,,,,,630.0,4022.0,1625.0,10377.0,612.0,3908.0,2866.0,72438.0,1.0,16.0
7,7.0,7.0,11631.0,81417.0,,,,,730.0,5112.0,1884.0,13188.0,709.0,4966.0,3324.0,77214.0,,,,,614.0,4637.0,1585.0,11962.0,597.0,4505.0,2796.0,75235.0,1.0,17.1
8,8.0,8.0,11631.0,93048.0,,,,,730.0,5842.0,1884.0,15072.0,709.0,5676.0,3324.0,80538.0,,,,,599.0,5236.0,1546.0,13509.0,582.0,5087.0,2728.0,77963.0,1.0,18.1
9,9.0,9.0,11631.0,104679.0,,,,,730.0,6572.0,1884.0,16956.0,709.0,6385.0,3324.0,83862.0,,,,,585.0,5821.0,1509.0,15017.0,568.0,5655.0,2661.0,80624.0,1.0,19.1
10,10.0,10.0,11631.0,116310.0,,,,,730.0,7302.0,1884.0,18840.0,709.0,7095.0,3324.0,87185.0,,,,,570.0,6391.0,1472.0,16489.0,554.0,6210.0,2596.0,83220.0,1.0,20.2
11,11.0,11.0,11631.0,127941.0,,,,,730.0,8033.0,1884.0,20724.0,709.0,7804.0,3324.0,90509.0,,,,,557.0,6948.0,1436.0,17925.0,541.0,6750.0,2533.0,85754.0,1.0,21.2
12,12.0,12.0,11631.0,139572.0,,,,,730.0,8763.0,1884.0,22608.0,709.0,8514.0,3324.0,93833.0,,,,,543.0,7491.0,1401.0,19326.0,528.0,7278.0,2471.0,88225.0,1.0,22.2
13,13.0,13.0,11631.0,151203.0,,,,,730.0,9493.0,1884.0,24492.0,709.0,9223.0,3324.0,97156.0,,,,,530.0,8020.0,1367.0,20692.0,515.0,7792.0,2411.0,90636.0,1.0,23.3
14,14.0,14.0,11631.0,162834.0,,,,,730.0,10223.0,1884.0,26376.0,709.0,9933.0,3324.0,100480.0,,,,,517.0,8537.0,1333.0,22026.0,502.0,8295.0,2352.0,92988.0,1.0,24.3
14.28,14.28,14.28,3256.6799999999926,166090.68,,,,,204.0,10428.0,528.0,26904.0,199.0,10132.0,931.0,101411.0,,,,,144.0,8681.0,371.0,22396.0,140.0,8434.0,654.0,93642.0,0.3,24.6
post-use,14.28,15.708,0.0,166090.68,0,61448,0,-7500,0.0,10428.0,0.0,26904.0,0.0,10132.0,0.0,101411.0,0,61448,0.0,-7317.0,0.0,8681.0,0.0,22396.0,0.0,8434.0,0.0,93642.0,0.0,24.6
