period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.428,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,9.8,9.8
1,1.0,1.0,11631.0,11631.0,,,-7500,-7500,507.0,507.0,1884.0,1884.0,709.0,709.0,-4399.0,57049.0,,,-7317.0,-7317.0,495.0,495.0,1838.0,1838.0,692.0,692.0,-4292.0,57156.0,1.9,11.8
2,2.0,2.0,11631.0,23262.0,,,,,507.0,1014.0,1884.0,3768.0,709.0,1419.0,3101.0,60149.0,,,,,483.0,978.0,1793.0,3631.0,675.0,1367.0,2951.0,60107.0,1.9,13.7
3,3.0,3.0,11631.0,34893.0,,,,,507.0,1522.0,1884.0,5652.0,709.0,2128.0,3101.0,63250.0,,,,,471.0,1449.0,1749.0,5381.0,659.0,2026.0,2879.0,62987.0,1.9,15.7
4,4.0,4.0,11631.0,46524.0,,,,,507.0,2029.0,1884.0,7536.0,709.0,2838.0,3101.0,66351.0,,,,,459.0,1908.0,1707.0,7088.0,643.0,2669.0,2809.0,65796.0,1.9,17.6
5,5.0,5.0,11631.0,58155.0,,,,,507.0,2536.0,1884.0,9420.0,709.0,3547.0,3101.0,69451.0,,,,,448.0,2356.0,1665.0,8753.0,627.0,3296.0,2741.0,68536.0,1.9,19.6
6,6.0,6.0,11631.0,69786.0,,,,,507.0,3043.0,1884.0,11304.0,709.0,4257.0,3101.0,72552.0,,,,,437.0,2794.0,1625.0,10377.0,612.0,3908.0,2674.0,71210.0,1.9,21.5
7,7.0,7.0,11631.0,81417.0,,,,,507.0,3550.0,1884.0,13188.0,709.0,4966.0,3101.0,75653.0,,,,,427.0,3220.0,1585.0,11962.0,597.0,4505.0,2608.0,73818.0,1.9,23.5
8,8.0,8.0,11631.0,93048.0,,,,,507.0,4057.0,1884.0,15072.0,709.0,5676.0,3101.0,78753.0,,,,,416.0,3637.0,1546.0,13509.0,582.0,5087.0,2545.0,76363.0,1.9,25.4
9,9.0,9.0,11631.0,104679.0,,,,,507.0,4565.0,1884.0,16956.0,709.0,6385.0,3101.0,81854.0,,,,,406.0,4043.0,1509.0,15017.0,568.0,5655.0,2483.0,78846.0,1.9,27.4
10,10.0,10.0,11631.0,116310.0,,,,,507.0,5072.0,1884.0,18840.0,709.0,7095.0,3101.0,84955.0,,,,,396.0,4439.0,1472.0,16489.0,554.0,6210.0,2422.0,81268.0,1.9,29.3
11,11.0,11.0,11631.0,127941.0,,,,,507.0,5579.0,1884.0,20724.0,709.0,7804.0,3101.0,88055.0,,,,,387.0,4825.0,1436.0,17925.0,541.0,6750.0,2363.0,83631.0,1.9,31.3
12,12.0,12.0,11631.0,139572.0,,,,,507.0,6086.0,1884.0,22608.0,709.0,8514.0,3101.0,91156.0,,,,,377.0,5203.0,1401.0,19326.0,528.0,7278.0,2306.0,85937.0,1.9,33.2
13,13.0,13.0,11631.0,151203.0,,,,,507.0,6593.0,1884.0,24492.0,709.0,9223.0,3101.0,94257.0,,,,,368.0,5570.0,1367.0,20692.0,515.0,7792.0,2249.0,88186.0,1.9,35.1
14,14.0,14.0,11631.0,162834.0,,,,,507.0,7101.0,1884.0,26376.0,709.0,9933.0,3101.0,97357.0,,,,,359.0,5929.0,1333.0,22026.0,502.0,8295.0,2194.0,90381.0,1.9,37.1
14.28,14.28,14.28,3256.6799999999926,166090.68,,,,,142.0,7243.0,528.0,26904.0,199.0,10132.0,868.0,98226.0,,,,,100.0,6029.0,371.0,22396.0,140.0,8434.0,610.0,90991.0,0.5,37.6
post-use,14.28,15.708,0.0,166090.68,0,61448,0,-7500,0.0,7243.0,0.0,26904.0,0.0,10132.0,0.0,98226.0,0,61448,0.0,-7317.0,0.0,6029.0,0.0,22396.0,0.0,8434.0,0.0,90991.0,0.0,37.6
