period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.428,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,9.8,9.8
1,1.0,1.0,11631.0,11631.0,,,-7500,-7500,583.0,583.0,1884.0,1884.0,709.0,709.0,-4323.0,57125.0,,,-7317.0,-7317.0,569.0,569.0,1838.0,1838.0,692.0,692.0,-4218.0,57230.0,1.8,11.7
2,2.0,2.0,11631.0,23262.0,,,,,583.0,1167.0,1884.0,3768.0,709.0,1419.0,3177.0,60302.0,,,,,555.0,1125.0,1793.0,3631.0,675.0,1367.0,3024.0,60254.0,1.8,13.5
3,3.0,3.0,11631.0,34893.0,,,,,583.0,1750.0,1884.0,5652.0,709.0,2128.0,3177.0,63479.0,,,,,542.0,1666.0,1749.0,5381.0,659.0,2026.0,2950.0,63204.0,1.8,15.3
4,4.0,4.0,11631.0,46524.0,,,,,583.0,2334.0,1884.0,7536.0,709.0,2838.0,3177.0,66656.0,,,,,529.0,2195.0,1707.0,7088.0,643.0,2669.0,2878.0,66083.0,1.8,17.1
5,5.0,5.0,11631.0,58155.0,,,,,583.0,2917.0,1884.0,9420.0,709.0,3547.0,3177.0,69833.0,,,,,516.0,2711.0,1665.0,8753.0,627.0,3296.0,2808.0,68891.0,1.8,19.0
6,6.0,6.0,11631.0,69786.0,,,,,583.0,3501.0,1884.0,11304.0,709.0,4257.0,3177.0,73010.0,,,,,503.0,3214.0,1625.0,10377.0,612.0,3908.0,2739.0,71630.0,1.8,20.8
7,7.0,7.0,11631.0,81417.0,,,,,583.0,4084.0,1884.0,13188.0,709.0,4966.0,3177.0,76187.0,,,,,491.0,3705.0,1585.0,11962.0,597.0,4505.0,2673.0,74303.0,1.8,22.6
8,8.0,8.0,11631.0,93048.0,,,,,583.0,4668.0,1884.0,15072.0,709.0,5676.0,3177.0,79364.0,,,,,479.0,4184.0,1546.0,13509.0,582.0,5087.0,2607.0,76910.0,1.8,24.5
9,9.0,9.0,11631.0,104679.0,,,,,583.0,5251.0,1884.0,16956.0,709.0,6385.0,3177.0,82541.0,,,,,467.0,4651.0,1509.0,15017.0,568.0,5655.0,2544.0,79454.0,1.8,26.3
10,10.0,10.0,11631.0,116310.0,,,,,583.0,5835.0,1884.0,18840.0,709.0,7095.0,3177.0,85718.0,,,,,456.0,5107.0,1472.0,16489.0,554.0,6210.0,2482.0,81936.0,1.8,28.1
11,11.0,11.0,11631.0,127941.0,,,,,583.0,6418.0,1884.0,20724.0,709.0,7804.0,3177.0,88895.0,,,,,445.0,5551.0,1436.0,17925.0,541.0,6750.0,2421.0,84357.0,1.8,30.0
12,12.0,12.0,11631.0,139572.0,,,,,583.0,7002.0,1884.0,22608.0,709.0,8514.0,3177.0,92072.0,,,,,434.0,5985.0,1401.0,19326.0,528.0,7278.0,2362.0,86720.0,1.8,31.8
13,13.0,13.0,11631.0,151203.0,,,,,583.0,7585.0,1884.0,24492.0,709.0,9223.0,3177.0,95249.0,,,,,423.0,6408.0,1367.0,20692.0,515.0,7792.0,2305.0,89024.0,1.8,33.6
14,14.0,14.0,11631.0,162834.0,,,,,583.0,8169.0,1884.0,26376.0,709.0,9933.0,3177.0,98426.0,,,,,413.0,6821.0,1333.0,22026.0,502.0,8295.0,2248.0,91273.0,1.8,35.5
14.28,14.28,14.28,3256.6799999999926,166090.68,,,,,163.0,8332.0,528.0,26904.0,199.0,10132.0,890.0,99315.0,,,,,115.0,6936.0,371.0,22396.0,140.0,8434.0,625.0,91898.0,0.5,36.0
post-use,14.28,15.708,0.0,166090.68,0,61448,0,-7500,0.0,8332.0,0.0,26904.0,0.0,10132.0,0.0,99315.0,0,61448,0.0,-7317.0,0.0,6936.0,0.0,22396.0,0.0,8434.0,0.0,91898.0,0.0,36.0
