period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1.0,1.0,13821.181558,13821.181558,,,-7500,-7500,693.0,693.0,1884.0,1884.0,843.0,843.0,-4080.0,57368.0,-4080.0,-4080.0,,,-7143.0,-7143.0,660.0,660.0,1794.0,1794.0,803.0,803.0,-3885.0,57563.0,-3885.0,-3885.0,2.2,12.0
2,2.0,2.0,13821.181558,27642.363116,,,,,693.0,1387.0,1884.0,3768.0,843.0,1686.0,3420.0,60789.0,3420.0,-659.0,,,,,629.0,1289.0,1709.0,3503.0,765.0,1568.0,3102.0,60665.0,3102.0,-783.0,2.2,14.2
3,3.0,3.0,13821.181558,41463.544674000004,,,,,693.0,2080.0,1884.0,5652.0,843.0,2529.0,3420.0,64209.0,3420.0,2761.0,,,,,599.0,1888.0,1627.0,5131.0,728.0,2296.0,2955.0,63620.0,2955.0,2172.0,2.2,16.3
4,4.0,4.0,13821.181558,55284.726232,,,,,693.0,2773.0,1884.0,7536.0,843.0,3372.0,3420.0,67630.0,3420.0,6182.0,,,,,570.0,2459.0,1550.0,6681.0,694.0,2990.0,2814.0,66434.0,2814.0,4986.0,2.2,18.5
5,5.0,5.0,13821.181558,69105.90779,,,,,693.0,3467.0,1884.0,9420.0,843.0,4215.0,3420.0,71050.0,3420.0,9602.0,,,,,543.0,3002.0,1476.0,8157.0,661.0,3650.0,2680.0,69114.0,2680.0,7666.0,2.2,20.7
6,6.0,6.0,13821.181558,82927.089348,,,,,693.0,4160.0,1884.0,11304.0,843.0,5059.0,3420.0,74471.0,3420.0,13023.0,,,,,517.0,3519.0,1406.0,9563.0,629.0,4279.0,2552.0,71666.0,2552.0,10218.0,2.2,22.9
7,7.0,7.0,13821.181558,96748.27090599999,,,,,693.0,4853.0,1884.0,13188.0,843.0,5902.0,3420.0,77891.0,3420.0,16443.0,,,,,493.0,4012.0,1339.0,10902.0,599.0,4878.0,2431.0,74097.0,2431.0,12649.0,2.2,25.0
8,8.0,8.0,13821.181558,110569.45246399999,,,,,693.0,5547.0,1884.0,15072.0,843.0,6745.0,3420.0,81312.0,3420.0,19864.0,,,,,469.0,4481.0,1275.0,12177.0,571.0,5449.0,2315.0,76412.0,2315.0,14964.0,2.2,27.2
9,9.0,9.0,13821.181558,124390.63402199998,,,,,693.0,6240.0,1884.0,16956.0,843.0,7588.0,3420.0,84732.0,3420.0,23284.0,,,,,447.0,4928.0,1214.0,13391.0,543.0,5993.0,2205.0,78617.0,2205.0,17169.0,2.2,29.4
10,10.0,10.0,13821.181558,138211.81558,,,,,693.0,6934.0,1884.0,18840.0,843.0,8431.0,3420.0,88152.0,3420.0,26704.0,,,,,426.0,5354.0,1157.0,14548.0,518.0,6510.0,2100.0,80717.0,2100.0,19269.0,2.2,31.6
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,485.0,7419.0,1319.0,20159.0,590.0,9021.0,2394.0,90547.0,2394.0,29099.0,,,,,288.0,5642.0,782.0,15330.0,350.0,6860.0,1421.0,82137.0,1421.0,20689.0,1.5,33.1
post-use,10.7,11.77,0.0,147886.64267059998,0,61448,0,-7500,0.0,7419.0,0.0,20159.0,0.0,9021.0,0.0,90547.0,0.0,29099.0,0,61448,0.0,-7143.0,0.0,5642.0,0.0,15330.0,0.0,6860.0,0.0,82137.0,0.0,20689.0,0.0,33.1
