period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12622.201554,12622.201554,,,-7500,-7500,534.0,534.0,1884.0,1884.0,770.0,770.0,-4312.0,57136.0,-4312.0,-4312.0,,,-7317.0,-7317.0,521.0,521.0,1838.0,1838.0,751.0,751.0,-4207.0,57241.0,-4207.0,-4207.0,0.5,10.3
2,2.0,2.0,12622.201554,25244.403108,,,,,534.0,1068.0,1884.0,3768.0,770.0,1540.0,3188.0,60324.0,3188.0,-1124.0,,,,,508.0,1029.0,1793.0,3631.0,733.0,1484.0,3034.0,60275.0,3034.0,-1173.0,0.5,10.8
3,3.0,3.0,12622.201554,37866.604662,,,,,534.0,1602.0,1884.0,5652.0,770.0,2310.0,3188.0,63512.0,3188.0,2064.0,,,,,496.0,1525.0,1749.0,5381.0,715.0,2199.0,2960.0,63236.0,2960.0,1788.0,0.5,11.3
4,4.0,4.0,12622.201554,50488.806216,,,,,534.0,2136.0,1884.0,7536.0,770.0,3080.0,3188.0,66700.0,3188.0,5252.0,,,,,484.0,2009.0,1707.0,7088.0,698.0,2897.0,2888.0,66124.0,2888.0,4676.0,0.5,11.8
5,5.0,5.0,12622.201554,63111.00777,,,,,534.0,2670.0,1884.0,9420.0,770.0,3850.0,3188.0,69887.0,3188.0,8439.0,,,,,472.0,2481.0,1665.0,8753.0,681.0,3577.0,2818.0,68941.0,2818.0,7493.0,0.5,12.3
6,6.0,6.0,12622.201554,75733.209324,,,,,534.0,3204.0,1884.0,11304.0,770.0,4620.0,3188.0,73075.0,3188.0,11627.0,,,,,460.0,2941.0,1625.0,10377.0,664.0,4241.0,2749.0,71690.0,2749.0,10242.0,0.5,12.8
7,7.0,7.0,12622.201554,88355.410878,,,,,534.0,3738.0,1884.0,13188.0,770.0,5390.0,3188.0,76263.0,3188.0,14815.0,,,,,449.0,3390.0,1585.0,11962.0,648.0,4889.0,2682.0,74372.0,2682.0,12924.0,0.5,13.3
8,8.0,8.0,12622.201554,100977.612432,,,,,534.0,4271.0,1884.0,15072.0,770.0,6160.0,3188.0,79451.0,3188.0,18003.0,,,,,438.0,3828.0,1546.0,13509.0,632.0,5521.0,2616.0,76988.0,2616.0,15540.0,0.5,13.8
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,481.0,4752.0,1696.0,16768.0,693.0,6853.0,2869.0,82320.0,2869.0,20872.0,,,,,386.0,4214.0,1361.0,14870.0,556.0,6077.0,2303.0,79292.0,2303.0,17844.0,0.4,14.2
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,61448,0,-7500,0.0,4752.0,0.0,16768.0,0.0,6853.0,0.0,82320.0,0.0,20872.0,0,61448,0.0,-7317.0,0.0,4214.0,0.0,14870.0,0.0,6077.0,0.0,79292.0,0.0,17844.0,0.0,14.2
