period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1.0,1.0,13821.181558,13821.181558,,,-7500,-7500,590.0,590.0,1884.0,1884.0,843.0,843.0,-4183.0,57265.0,-4183.0,-4183.0,,,-7317.0,-7317.0,576.0,576.0,1838.0,1838.0,823.0,823.0,-4081.0,57367.0,-4081.0,-4081.0,4.8,14.6
2,2.0,2.0,13821.181558,27642.363116,,,,,590.0,1180.0,1884.0,3768.0,843.0,1686.0,3317.0,60583.0,3317.0,-865.0,,,,,562.0,1138.0,1793.0,3631.0,802.0,1625.0,3157.0,60525.0,3157.0,-923.0,4.8,19.3
3,3.0,3.0,13821.181558,41463.544674000004,,,,,590.0,1771.0,1884.0,5652.0,843.0,2529.0,3317.0,63900.0,3317.0,2452.0,,,,,548.0,1686.0,1749.0,5381.0,783.0,2408.0,3080.0,63605.0,3080.0,2157.0,4.8,24.1
4,4.0,4.0,13821.181558,55284.726232,,,,,590.0,2361.0,1884.0,7536.0,843.0,3372.0,3317.0,67217.0,3317.0,5769.0,,,,,535.0,2220.0,1707.0,7088.0,764.0,3172.0,3005.0,66610.0,3005.0,5162.0,4.8,28.8
5,5.0,5.0,13821.181558,69105.90779,,,,,590.0,2951.0,1884.0,9420.0,843.0,4215.0,3317.0,70534.0,3317.0,9086.0,,,,,522.0,2742.0,1665.0,8753.0,745.0,3917.0,2932.0,69542.0,2932.0,8094.0,4.8,33.6
6,6.0,6.0,13821.181558,82927.089348,,,,,590.0,3541.0,1884.0,11304.0,843.0,5059.0,3317.0,73852.0,3317.0,12404.0,,,,,509.0,3251.0,1625.0,10377.0,727.0,4644.0,2860.0,72403.0,2860.0,10955.0,4.8,38.3
7,7.0,7.0,13821.181558,96748.27090599999,,,,,590.0,4131.0,1884.0,13188.0,843.0,5902.0,3317.0,77169.0,3317.0,15721.0,,,,,497.0,3747.0,1585.0,11962.0,709.0,5353.0,2791.0,75194.0,2791.0,13746.0,4.8,43.1
8,8.0,8.0,13821.181558,110569.45246399999,,,,,590.0,4722.0,1884.0,15072.0,843.0,6745.0,3317.0,80486.0,3317.0,19038.0,,,,,484.0,4232.0,1546.0,13509.0,692.0,6045.0,2723.0,77916.0,2723.0,16468.0,4.8,47.8
9,9.0,9.0,13821.181558,124390.63402199998,,,,,590.0,5312.0,1884.0,16956.0,843.0,7588.0,3317.0,83804.0,3317.0,22356.0,,,,,473.0,4704.0,1509.0,15017.0,675.0,6720.0,2656.0,80573.0,2656.0,19125.0,4.8,52.6
10,10.0,10.0,13821.181558,138211.81558,,,,,590.0,5902.0,1884.0,18840.0,843.0,8431.0,3317.0,87121.0,3317.0,25673.0,,,,,461.0,5165.0,1472.0,16489.0,659.0,7379.0,2591.0,83164.0,2591.0,21716.0,4.8,57.4
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,413.0,6315.0,1319.0,20159.0,590.0,9021.0,2322.0,89443.0,2322.0,27995.0,,,,,317.0,5483.0,1013.0,17501.0,453.0,7832.0,1783.0,84947.0,1783.0,23499.0,3.3,60.7
post-use,10.7,11.77,0.0,147886.64267059998,0,61448,0,-7500,0.0,6315.0,0.0,20159.0,0.0,9021.0,0.0,89443.0,0.0,27995.0,0,61448,0.0,-7317.0,0.0,5483.0,0.0,17501.0,0.0,7832.0,0.0,84947.0,0.0,23499.0,0.0,60.7
