period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12622.201554,12622.201554,,,-7500,-7500,517.0,517.0,1884.0,1884.0,770.0,770.0,-4329.0,57119.0,-4329.0,-4329.0,,,-7317.0,-7317.0,505.0,505.0,1838.0,1838.0,751.0,751.0,-4223.0,57225.0,-4223.0,-4223.0,1.6,11.4
2,2.0,2.0,12622.201554,25244.403108,,,,,517.0,1034.0,1884.0,3768.0,770.0,1540.0,3171.0,60290.0,3171.0,-1158.0,,,,,492.0,997.0,1793.0,3631.0,733.0,1484.0,3018.0,60243.0,3018.0,-1205.0,1.6,13.1
3,3.0,3.0,12622.201554,37866.604662,,,,,517.0,1552.0,1884.0,5652.0,770.0,2310.0,3171.0,63461.0,3171.0,2013.0,,,,,480.0,1477.0,1749.0,5381.0,715.0,2199.0,2945.0,63188.0,2945.0,1740.0,1.6,14.7
4,4.0,4.0,12622.201554,50488.806216,,,,,517.0,2069.0,1884.0,7536.0,770.0,3080.0,3171.0,66633.0,3171.0,5185.0,,,,,469.0,1946.0,1707.0,7088.0,698.0,2897.0,2873.0,66061.0,2873.0,4613.0,1.6,16.3
5,5.0,5.0,12622.201554,63111.00777,,,,,517.0,2586.0,1884.0,9420.0,770.0,3850.0,3171.0,69804.0,3171.0,8356.0,,,,,457.0,2403.0,1665.0,8753.0,681.0,3577.0,2803.0,68864.0,2803.0,7416.0,1.6,17.9
6,6.0,6.0,12622.201554,75733.209324,,,,,517.0,3103.0,1884.0,11304.0,770.0,4620.0,3171.0,72975.0,3171.0,11527.0,,,,,446.0,2849.0,1625.0,10377.0,664.0,4241.0,2734.0,71598.0,2734.0,10150.0,1.6,19.6
7,7.0,7.0,12622.201554,88355.410878,,,,,517.0,3620.0,1884.0,13188.0,770.0,5390.0,3171.0,76146.0,3171.0,14698.0,,,,,435.0,3284.0,1585.0,11962.0,648.0,4889.0,2668.0,74266.0,2668.0,12818.0,1.6,21.2
8,8.0,8.0,12622.201554,100977.612432,,,,,517.0,4138.0,1884.0,15072.0,770.0,6160.0,3171.0,79317.0,3171.0,17869.0,,,,,424.0,3708.0,1546.0,13509.0,632.0,5521.0,2603.0,76869.0,2603.0,15421.0,1.6,22.8
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,465.0,4603.0,1696.0,16768.0,693.0,6853.0,2854.0,82171.0,2854.0,20723.0,,,,,374.0,4082.0,1361.0,14870.0,556.0,6077.0,2291.0,79160.0,2291.0,17712.0,1.5,24.3
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,61448,0,-7500,0.0,4603.0,0.0,16768.0,0.0,6853.0,0.0,82171.0,0.0,20723.0,0,61448,0.0,-7317.0,0.0,4082.0,0.0,14870.0,0.0,6077.0,0.0,79160.0,0.0,17712.0,0.0,24.3
