period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0,0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,446.0,446.0,1884,1884,815.0,815.0,1757.0,63205.0,1757.0,1757.0,,,-1323.0,-1323.0,425.0,425.0,1794.0,1794.0,776.0,776.0,1673.0,63121.0,1673.0,1673.0,0.4,10.2
2,2,2.0,13363.34444,26726.68888,,,,,446.0,893.0,1884,3768,815.0,1630.0,3146.0,66350.0,3146.0,4902.0,,,,,405.0,830.0,1709.0,3503.0,739.0,1516.0,2853.0,65974.0,2853.0,4526.0,0.4,10.7
3,3,3.0,13363.34444,40090.03332,,,,,446.0,1339.0,1884,5652,815.0,2445.0,3146.0,69496.0,3146.0,8048.0,,,,,386.0,1216.0,1627.0,5131.0,704.0,2220.0,2717.0,68692.0,2717.0,7244.0,0.4,11.1
4,4,4.0,13363.34444,53453.37776,,,,,446.0,1786.0,1884,7536,815.0,3261.0,3146.0,72641.0,3146.0,11193.0,,,,,367.0,1583.0,1550.0,6681.0,671.0,2891.0,2588.0,71279.0,2588.0,9831.0,0.4,11.5
5,5,5.0,13363.34444,66816.7222,,,,,446.0,2232.0,1884,9420,815.0,4076.0,3146.0,75787.0,3146.0,14339.0,,,,,350.0,1933.0,1476.0,8157.0,639.0,3529.0,2465.0,73744.0,2465.0,12296.0,0.4,12.0
6,6,6.0,13363.34444,80180.06664,,,,,446.0,2678.0,1884,11304,815.0,4891.0,3146.0,78933.0,3146.0,17485.0,,,,,333.0,2266.0,1406.0,9563.0,608.0,4138.0,2347.0,76091.0,2347.0,14643.0,0.4,12.4
7,7,7.0,13363.34444,93543.41108,,,,,446.0,3125.0,1884,13188,815.0,5706.0,3146.0,82078.0,3146.0,20630.0,,,,,317.0,2583.0,1339.0,10902.0,579.0,4717.0,2235.0,78327.0,2235.0,16879.0,0.4,12.8
8,8,8.0,13363.34444,106906.75552,,,,,446.0,3571.0,1884,15072,815.0,6521.0,3146.0,85224.0,3146.0,23776.0,,,,,302.0,2885.0,1275.0,12177.0,552.0,5269.0,2129.0,80456.0,2129.0,19008.0,0.4,13.2
9,9,9.0,13363.34444,120270.09996,,,,,446.0,4017.0,1884,16956,815.0,7336.0,3146.0,88369.0,3146.0,26921.0,,,,,288.0,3173.0,1214.0,13391.0,525.0,5794.0,2028.0,82483.0,2028.0,21035.0,0.4,13.7
10,10,10.0,13363.34444,133633.4444,,,,,446.0,4464.0,1884,18840,815.0,8152.0,3146.0,91515.0,3146.0,30067.0,,,,,274.0,3447.0,1157.0,14548.0,500.0,6294.0,1931.0,84415.0,1931.0,22967.0,0.4,14.1
11,11,11.0,13363.34444,146996.78884,,,,,446.0,4910.0,1884,20724,815.0,8967.0,3146.0,94660.0,3146.0,33212.0,,,,,261.0,3708.0,1102.0,15649.0,477.0,6771.0,1839.0,86254.0,1839.0,24806.0,0.4,14.5
12,12,12.0,13363.34444,160360.13328,,,,,446.0,5357.0,1884,22608,815.0,9782.0,3146.0,97806.0,3146.0,36358.0,,,,,249.0,3956.0,1049.0,16698.0,454.0,7225.0,1752.0,88005.0,1752.0,26557.0,0.4,14.9
13,13,13.0,13363.34444,173723.47772000002,,,,,446.0,5803.0,1884,24492,815.0,10597.0,3146.0,100951.0,3146.0,39503.0,,,,,237.0,4193.0,999.0,17697.0,432.0,7657.0,1668.0,89673.0,1668.0,28225.0,0.4,15.4
post-use,13,14.3,0.0,173723.47772000002,0,61448,0.0,-1389.0,0.0,5803.0,0,24492,0.0,10597.0,0.0,100951.0,0.0,39503.0,0,61448,0.0,-1323.0,0.0,4193.0,0.0,17697.0,0.0,7657.0,0.0,89673.0,0.0,28225.0,0.0,15.4
