period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1.0,1.0,13821.181558,13821.181558,,,-7500,-7500,478.0,478.0,1884.0,1884.0,843.0,843.0,-4295.0,57153.0,-4295.0,-4295.0,,,-7317.0,-7317.0,466.0,466.0,1838.0,1838.0,823.0,823.0,-4191.0,57257.0,-4191.0,-4191.0,0.4,10.3
2,2.0,2.0,13821.181558,27642.363116,,,,,478.0,955.0,1884.0,3768.0,843.0,1686.0,3205.0,60357.0,3205.0,-1091.0,,,,,455.0,920.0,1793.0,3631.0,802.0,1625.0,3050.0,60308.0,3050.0,-1140.0,0.4,10.7
3,3.0,3.0,13821.181558,41463.544674000004,,,,,478.0,1433.0,1884.0,5652.0,843.0,2529.0,3205.0,63562.0,3205.0,2114.0,,,,,443.0,1364.0,1749.0,5381.0,783.0,2408.0,2976.0,63283.0,2976.0,1835.0,0.4,11.1
4,4.0,4.0,13821.181558,55284.726232,,,,,478.0,1910.0,1884.0,7536.0,843.0,3372.0,3205.0,66767.0,3205.0,5319.0,,,,,433.0,1797.0,1707.0,7088.0,764.0,3172.0,2903.0,66187.0,2903.0,4739.0,0.4,11.6
5,5.0,5.0,13821.181558,69105.90779,,,,,478.0,2388.0,1884.0,9420.0,843.0,4215.0,3205.0,69971.0,3205.0,8523.0,,,,,422.0,2219.0,1665.0,8753.0,745.0,3917.0,2832.0,69019.0,2832.0,7571.0,0.4,12.0
6,6.0,6.0,13821.181558,82927.089348,,,,,478.0,2865.0,1884.0,11304.0,843.0,5059.0,3205.0,73176.0,3205.0,11728.0,,,,,412.0,2630.0,1625.0,10377.0,727.0,4644.0,2763.0,71782.0,2763.0,10334.0,0.4,12.5
7,7.0,7.0,13821.181558,96748.27090599999,,,,,478.0,3343.0,1884.0,13188.0,843.0,5902.0,3205.0,76380.0,3205.0,14932.0,,,,,402.0,3032.0,1585.0,11962.0,709.0,5353.0,2696.0,74478.0,2696.0,13030.0,0.4,12.9
8,8.0,8.0,13821.181558,110569.45246399999,,,,,478.0,3820.0,1884.0,15072.0,843.0,6745.0,3205.0,79585.0,3205.0,18137.0,,,,,392.0,3424.0,1546.0,13509.0,692.0,6045.0,2630.0,77109.0,2630.0,15661.0,0.4,13.3
9,9.0,9.0,13821.181558,124390.63402199998,,,,,478.0,4298.0,1884.0,16956.0,843.0,7588.0,3205.0,82790.0,3205.0,21342.0,,,,,382.0,3806.0,1509.0,15017.0,675.0,6720.0,2566.0,79675.0,2566.0,18227.0,0.4,13.8
10,10.0,10.0,13821.181558,138211.81558,,,,,478.0,4775.0,1884.0,18840.0,843.0,8431.0,3205.0,85994.0,3205.0,24546.0,,,,,373.0,4179.0,1472.0,16489.0,659.0,7379.0,2503.0,82178.0,2503.0,20730.0,0.4,14.2
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,334.0,5110.0,1319.0,20159.0,590.0,9021.0,2243.0,88238.0,2243.0,26790.0,,,,,257.0,4436.0,1013.0,17501.0,453.0,7832.0,1722.0,83900.0,1722.0,22452.0,0.3,14.5
post-use,10.7,11.77,0.0,147886.64267059998,0,61448,0,-7500,0.0,5110.0,0.0,20159.0,0.0,9021.0,0.0,88238.0,0.0,26790.0,0,61448,0.0,-7317.0,0.0,4436.0,0.0,17501.0,0.0,7832.0,0.0,83900.0,0.0,22452.0,0.0,14.5
