period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,9.8,9.8
1,1.0,1.0,11576.0,11576.0,,,-7500,-7500,400.0,400.0,1884.0,1884.0,706.0,706.0,-4510.0,56938.0,,,-7317.0,-7317.0,390.0,390.0,1838.0,1838.0,689.0,689.0,-4400.0,57048.0,3.3,13.1
2,2.0,2.0,11576.0,23152.0,,,,,400.0,800.0,1884.0,3768.0,706.0,1412.0,2990.0,59928.0,,,,,381.0,771.0,1793.0,3631.0,672.0,1361.0,2846.0,59894.0,3.3,16.3
3,3.0,3.0,11576.0,34728.0,,,,,400.0,1200.0,1884.0,5652.0,706.0,2118.0,2990.0,62918.0,,,,,371.0,1142.0,1749.0,5381.0,656.0,2017.0,2777.0,62671.0,3.3,19.6
4,4.0,4.0,11576.0,46304.0,,,,,400.0,1600.0,1884.0,7536.0,706.0,2825.0,2990.0,65908.0,,,,,362.0,1505.0,1707.0,7088.0,640.0,2656.0,2709.0,65380.0,3.3,22.8
5,5.0,5.0,11576.0,57880.0,,,,,400.0,2000.0,1884.0,9420.0,706.0,3531.0,2990.0,68899.0,,,,,354.0,1858.0,1665.0,8753.0,624.0,3281.0,2643.0,68022.0,3.3,26.1
6,6.0,6.0,11576.0,69456.0,,,,,400.0,2400.0,1884.0,11304.0,706.0,4237.0,2990.0,71889.0,,,,,345.0,2203.0,1625.0,10377.0,609.0,3889.0,2578.0,70601.0,3.3,29.3
7,7.0,7.0,11576.0,81032.0,,,,,400.0,2800.0,1884.0,13188.0,706.0,4943.0,2990.0,74879.0,,,,,336.0,2540.0,1585.0,11962.0,594.0,4484.0,2515.0,73116.0,3.3,32.6
8,8.0,8.0,11576.0,92608.0,,,,,400.0,3200.0,1884.0,15072.0,706.0,5649.0,2990.0,77869.0,,,,,328.0,2868.0,1546.0,13509.0,580.0,5063.0,2454.0,75570.0,3.3,35.8
9,9.0,9.0,11576.0,104184.0,,,,,400.0,3600.0,1884.0,16956.0,706.0,6355.0,2990.0,80859.0,,,,,320.0,3188.0,1509.0,15017.0,565.0,5629.0,2394.0,77965.0,3.3,39.1
10,10.0,10.0,11576.0,115760.0,,,,,400.0,4000.0,1884.0,18840.0,706.0,7061.0,2990.0,83849.0,,,,,312.0,3501.0,1472.0,16489.0,552.0,6180.0,2336.0,80301.0,3.3,42.3
11,11.0,11.0,11576.0,127336.0,,,,,400.0,4400.0,1884.0,20724.0,706.0,7767.0,2990.0,86839.0,,,,,305.0,3805.0,1436.0,17925.0,538.0,6718.0,2279.0,82579.0,3.3,45.6
12,12.0,12.0,11576.0,138912.0,,,,,400.0,4800.0,1884.0,22608.0,706.0,8474.0,2990.0,89829.0,,,,,297.0,4103.0,1401.0,19326.0,525.0,7243.0,2223.0,84803.0,3.3,48.8
13,13.0,13.0,11576.0,150488.0,,,,,400.0,5200.0,1884.0,24492.0,706.0,9180.0,2990.0,92819.0,,,,,290.0,4393.0,1367.0,20692.0,512.0,7756.0,2169.0,86972.0,3.3,52.1
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,56.0,5256.0,264.0,24756.0,99.0,9279.0,419.0,93238.0,,,,,40.0,4433.0,191.0,20883.0,71.0,7827.0,303.0,87274.0,0.5,52.5
post-use,13.14,14.454000000000002,0.0,152108.64,0,61448,0,-7500,0.0,5256.0,0.0,24756.0,0.0,9279.0,0.0,93238.0,0,61448,0.0,-7317.0,0.0,4433.0,0.0,20883.0,0.0,7827.0,0.0,87274.0,0.0,52.5
