period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1.0,1.0,13821.181558,13821.181558,,,-7500,-7500,478.0,478.0,1884.0,1884.0,843.0,843.0,-4295.0,57153.0,-4295.0,-4295.0,,,-7143.0,-7143.0,455.0,455.0,1794.0,1794.0,803.0,803.0,-4091.0,57357.0,-4091.0,-4091.0,3.9,13.7
2,2.0,2.0,13821.181558,27642.363116,,,,,478.0,955.0,1884.0,3768.0,843.0,1686.0,3205.0,60357.0,3205.0,-1091.0,,,,,433.0,888.0,1709.0,3503.0,765.0,1568.0,2907.0,60264.0,2907.0,-1184.0,3.9,17.6
3,3.0,3.0,13821.181558,41463.544674000004,,,,,478.0,1433.0,1884.0,5652.0,843.0,2529.0,3205.0,63562.0,3205.0,2114.0,,,,,413.0,1300.0,1627.0,5131.0,728.0,2296.0,2768.0,63032.0,2768.0,1584.0,3.9,21.5
4,4.0,4.0,13821.181558,55284.726232,,,,,478.0,1910.0,1884.0,7536.0,843.0,3372.0,3205.0,66767.0,3205.0,5319.0,,,,,393.0,1693.0,1550.0,6681.0,694.0,2990.0,2636.0,65669.0,2636.0,4221.0,3.9,25.4
5,5.0,5.0,13821.181558,69105.90779,,,,,478.0,2388.0,1884.0,9420.0,843.0,4215.0,3205.0,69971.0,3205.0,8523.0,,,,,374.0,2068.0,1476.0,8157.0,661.0,3650.0,2511.0,68180.0,2511.0,6732.0,3.9,29.2
6,6.0,6.0,13821.181558,82927.089348,,,,,478.0,2865.0,1884.0,11304.0,843.0,5059.0,3205.0,73176.0,3205.0,11728.0,,,,,356.0,2424.0,1406.0,9563.0,629.0,4279.0,2391.0,70571.0,2391.0,9123.0,3.9,33.1
7,7.0,7.0,13821.181558,96748.27090599999,,,,,478.0,3343.0,1884.0,13188.0,843.0,5902.0,3205.0,76380.0,3205.0,14932.0,,,,,339.0,2763.0,1339.0,10902.0,599.0,4878.0,2277.0,72848.0,2277.0,11400.0,3.9,37.0
8,8.0,8.0,13821.181558,110569.45246399999,,,,,478.0,3820.0,1884.0,15072.0,843.0,6745.0,3205.0,79585.0,3205.0,18137.0,,,,,323.0,3086.0,1275.0,12177.0,571.0,5449.0,2169.0,75017.0,2169.0,13569.0,3.9,40.9
9,9.0,9.0,13821.181558,124390.63402199998,,,,,478.0,4298.0,1884.0,16956.0,843.0,7588.0,3205.0,82790.0,3205.0,21342.0,,,,,308.0,3394.0,1214.0,13391.0,543.0,5993.0,2066.0,77083.0,2066.0,15635.0,3.9,44.8
10,10.0,10.0,13821.181558,138211.81558,,,,,478.0,4775.0,1884.0,18840.0,843.0,8431.0,3205.0,85994.0,3205.0,24546.0,,,,,293.0,3687.0,1157.0,14548.0,518.0,6510.0,1967.0,79050.0,1967.0,17602.0,3.9,48.6
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,334.0,5110.0,1319.0,20159.0,590.0,9021.0,2243.0,88238.0,2243.0,26790.0,,,,,198.0,3886.0,782.0,15330.0,350.0,6860.0,1331.0,80381.0,1331.0,18933.0,2.7,51.4
post-use,10.7,11.77,0.0,147886.64267059998,0,61448,0,-7500,0.0,5110.0,0.0,20159.0,0.0,9021.0,0.0,88238.0,0.0,26790.0,0,61448,0.0,-7143.0,0.0,3886.0,0.0,15330.0,0.0,6860.0,0.0,80381.0,0.0,18933.0,0.0,51.4
