period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0,0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,466.0,466.0,1884,1884,815.0,815.0,1777.0,63225.0,1777.0,1777.0,,,-1323.0,-1323.0,444.0,444.0,1794.0,1794.0,776.0,776.0,1692.0,63140.0,1692.0,1692.0,3.8,13.6
2,2,2.0,13363.34444,26726.68888,,,,,466.0,932.0,1884,3768,815.0,1630.0,3165.0,66390.0,3165.0,4942.0,,,,,423.0,867.0,1709.0,3503.0,739.0,1516.0,2871.0,66011.0,2871.0,4563.0,3.8,17.3
3,3,3.0,13363.34444,40090.03332,,,,,466.0,1398.0,1884,5652,815.0,2445.0,3165.0,69555.0,3165.0,8107.0,,,,,403.0,1269.0,1627.0,5131.0,704.0,2220.0,2734.0,68745.0,2734.0,7297.0,3.8,21.1
4,4,4.0,13363.34444,53453.37776,,,,,466.0,1864.0,1884,7536,815.0,3261.0,3165.0,72720.0,3165.0,11272.0,,,,,383.0,1653.0,1550.0,6681.0,671.0,2891.0,2604.0,71349.0,2604.0,9901.0,3.8,24.8
5,5,5.0,13363.34444,66816.7222,,,,,466.0,2331.0,1884,9420,815.0,4076.0,3165.0,75886.0,3165.0,14438.0,,,,,365.0,2018.0,1476.0,8157.0,639.0,3529.0,2480.0,73829.0,2480.0,12381.0,3.8,28.6
6,6,6.0,13363.34444,80180.06664,,,,,466.0,2797.0,1884,11304,815.0,4891.0,3165.0,79051.0,3165.0,17603.0,,,,,348.0,2366.0,1406.0,9563.0,608.0,4138.0,2362.0,76191.0,2362.0,14743.0,3.8,32.3
7,7,7.0,13363.34444,93543.41108,,,,,466.0,3263.0,1884,13188,815.0,5706.0,3165.0,82216.0,3165.0,20768.0,,,,,331.0,2697.0,1339.0,10902.0,579.0,4717.0,2249.0,78441.0,2249.0,16993.0,3.8,36.1
8,8,8.0,13363.34444,106906.75552,,,,,466.0,3729.0,1884,15072,815.0,6521.0,3165.0,85381.0,3165.0,23933.0,,,,,315.0,3013.0,1275.0,12177.0,552.0,5269.0,2142.0,80583.0,2142.0,19135.0,3.8,39.9
9,9,9.0,13363.34444,120270.09996,,,,,466.0,4195.0,1884,16956,815.0,7336.0,3165.0,88547.0,3165.0,27099.0,,,,,300.0,3313.0,1214.0,13391.0,525.0,5794.0,2040.0,82624.0,2040.0,21176.0,3.8,43.6
10,10,10.0,13363.34444,133633.4444,,,,,466.0,4661.0,1884,18840,815.0,8152.0,3165.0,91712.0,3165.0,30264.0,,,,,286.0,3599.0,1157.0,14548.0,500.0,6294.0,1943.0,84567.0,1943.0,23119.0,3.8,47.4
11,11,11.0,13363.34444,146996.78884,,,,,466.0,5127.0,1884,20724,815.0,8967.0,3165.0,94877.0,3165.0,33429.0,,,,,273.0,3872.0,1102.0,15649.0,477.0,6771.0,1851.0,86418.0,1851.0,24970.0,3.8,51.1
12,12,12.0,13363.34444,160360.13328,,,,,466.0,5593.0,1884,22608,815.0,9782.0,3165.0,98043.0,3165.0,36595.0,,,,,260.0,4131.0,1049.0,16698.0,454.0,7225.0,1763.0,88180.0,1763.0,26732.0,3.8,54.9
13,13,13.0,13363.34444,173723.47772000002,,,,,466.0,6059.0,1884,24492,815.0,10597.0,3165.0,101208.0,3165.0,39760.0,,,,,247.0,4378.0,999.0,17697.0,432.0,7657.0,1679.0,89859.0,1679.0,28411.0,3.8,58.6
post-use,13,14.3,0.0,173723.47772000002,0,61448,0.0,-1389.0,0.0,6059.0,0,24492,0.0,10597.0,0.0,101208.0,0.0,39760.0,0,61448,0.0,-1323.0,0.0,4378.0,0.0,17697.0,0.0,7657.0,0.0,89859.0,0.0,28411.0,0.0,58.6
