period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.8,9.8
1,1.0,1.0,11533.46302,11533.46302,,,-7500,-7500,402.0,402.0,1884.0,1884.0,704.0,704.0,-4510.0,56938.0,-4510.0,-4510.0,,,-7143.0,-7143.0,383.0,383.0,1794.0,1794.0,670.0,670.0,-4295.0,57153.0,-4295.0,-4295.0,3.2,13.1
2,2.0,2.0,11533.46302,23066.92604,,,,,402.0,805.0,1884.0,3768.0,704.0,1407.0,2990.0,59928.0,2990.0,-1520.0,,,,,365.0,748.0,1709.0,3503.0,638.0,1308.0,2712.0,59864.0,2712.0,-1584.0,3.2,16.3
3,3.0,3.0,11533.46302,34600.38906,,,,,402.0,1207.0,1884.0,5652.0,704.0,2111.0,2990.0,62917.0,2990.0,1469.0,,,,,348.0,1096.0,1627.0,5131.0,608.0,1916.0,2583.0,62447.0,2583.0,999.0,3.2,19.5
4,4.0,4.0,11533.46302,46133.85208,,,,,402.0,1609.0,1884.0,7536.0,704.0,2814.0,2990.0,65907.0,2990.0,4459.0,,,,,331.0,1426.0,1550.0,6681.0,579.0,2495.0,2460.0,64907.0,2460.0,3459.0,3.2,22.8
5,5.0,5.0,11533.46302,57667.31509999999,,,,,402.0,2011.0,1884.0,9420.0,704.0,3518.0,2990.0,68897.0,2990.0,7449.0,,,,,315.0,1742.0,1476.0,8157.0,551.0,3046.0,2343.0,67250.0,2343.0,5802.0,3.2,26.0
6,6.0,6.0,11533.46302,69200.77811999999,,,,,402.0,2414.0,1884.0,11304.0,704.0,4221.0,2990.0,71887.0,2990.0,10439.0,,,,,300.0,2042.0,1406.0,9563.0,525.0,3571.0,2231.0,69481.0,2231.0,8033.0,3.2,29.3
7,7.0,7.0,11533.46302,80734.24113999998,,,,,402.0,2816.0,1884.0,13188.0,704.0,4925.0,2990.0,74877.0,2990.0,13429.0,,,,,286.0,2328.0,1339.0,10902.0,500.0,4071.0,2125.0,71605.0,2125.0,10157.0,3.2,32.5
8,8.0,8.0,11533.46302,92267.70415999998,,,,,402.0,3218.0,1884.0,15072.0,704.0,5628.0,2990.0,77867.0,2990.0,16419.0,,,,,272.0,2600.0,1275.0,12177.0,476.0,4547.0,2024.0,73629.0,2024.0,12181.0,3.2,35.7
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,362.0,3580.0,1696.0,16768.0,633.0,6262.0,2691.0,80557.0,2691.0,19109.0,,,,,235.0,2835.0,1098.0,13275.0,410.0,4957.0,1743.0,75372.0,1743.0,13924.0,2.9,38.7
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,61448,0,-7500,0.0,3580.0,0.0,16768.0,0.0,6262.0,0.0,80557.0,0.0,19109.0,0,61448,0.0,-7143.0,0.0,2835.0,0.0,13275.0,0.0,4957.0,0.0,75372.0,0.0,13924.0,0.0,38.7
