period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,5.5,5.5
1,1.0,1.0,11576.0,11576.0,,,,,1008.0,1008.0,1788.0,1788.0,1169.0,1169.0,3965.0,51160.0,,,,,983.0,983.0,1744.0,1744.0,1141.0,1141.0,3868.0,51064.0,3.2,8.7
2,2.0,2.0,11576.0,23152.0,,,,,1008.0,2015.0,1788.0,3576.0,1169.0,2338.0,3965.0,55125.0,,,,,959.0,1942.0,1702.0,3446.0,1113.0,2253.0,3774.0,54838.0,3.2,11.9
3,3.0,3.0,11576.0,34728.0,,,,,1008.0,3023.0,1788.0,5364.0,1169.0,3508.0,3965.0,59090.0,,,,,936.0,2878.0,1660.0,5107.0,1086.0,3339.0,3682.0,58519.0,3.2,15.1
4,4.0,4.0,11576.0,46304.0,,,,,1008.0,4031.0,1788.0,7152.0,1169.0,4677.0,3965.0,63055.0,,,,,913.0,3791.0,1620.0,6726.0,1059.0,4398.0,3592.0,62111.0,3.2,18.3
5,5.0,5.0,11576.0,57880.0,,,,,1008.0,5039.0,1788.0,8940.0,1169.0,5846.0,3965.0,67020.0,,,,,891.0,4682.0,1580.0,8307.0,1033.0,5432.0,3504.0,65616.0,3.2,21.5
6,6.0,6.0,11576.0,69456.0,,,,,1008.0,6046.0,1788.0,10728.0,1169.0,7015.0,3965.0,70985.0,,,,,869.0,5551.0,1542.0,9849.0,1008.0,6440.0,3419.0,69035.0,3.2,24.7
7,7.0,7.0,11576.0,81032.0,,,,,1008.0,7054.0,1788.0,12516.0,1169.0,8184.0,3965.0,74950.0,,,,,848.0,6398.0,1504.0,11353.0,984.0,7424.0,3336.0,72370.0,3.2,27.9
8,8.0,8.0,11576.0,92608.0,,,,,1008.0,8062.0,1788.0,14304.0,1169.0,9353.0,3965.0,78915.0,,,,,827.0,7225.0,1467.0,12820.0,960.0,8383.0,3254.0,75624.0,3.2,31.1
9,9.0,9.0,11576.0,104184.0,,,,,1008.0,9069.0,1788.0,16092.0,1169.0,10523.0,3965.0,82880.0,,,,,807.0,8032.0,1432.0,14252.0,936.0,9319.0,3175.0,78799.0,3.2,34.3
10,10.0,10.0,11576.0,115760.0,,,,,1008.0,10077.0,1788.0,17880.0,1169.0,11692.0,3965.0,86844.0,,,,,787.0,8820.0,1397.0,15649.0,913.0,10233.0,3097.0,81896.0,3.2,37.5
11,11.0,11.0,11576.0,127336.0,,,,,1008.0,11085.0,1788.0,19668.0,1169.0,12861.0,3965.0,90809.0,,,,,768.0,9588.0,1363.0,17011.0,891.0,11124.0,3022.0,84918.0,3.2,40.7
12,12.0,12.0,11576.0,138912.0,,,,,1008.0,12093.0,1788.0,21456.0,1169.0,14030.0,3965.0,94774.0,,,,,749.0,10337.0,1329.0,18341.0,869.0,11993.0,2948.0,87866.0,3.2,43.9
13,13.0,13.0,11576.0,150488.0,,,,,1008.0,13100.0,1788.0,23244.0,1169.0,15199.0,3965.0,98739.0,,,,,731.0,11068.0,1297.0,19638.0,848.0,12841.0,2876.0,90743.0,3.2,47.1
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,141.0,13241.0,250.0,23494.0,164.0,15363.0,555.0,99294.0,,,,,102.0,11170.0,181.0,19819.0,118.0,12960.0,401.0,91144.0,0.4,47.6
post-use,13.14,14.454000000000002,0.0,152108.64,0.0,47196.0,0,0,0.0,13241.0,0.0,23494.0,0.0,15363.0,0.0,99294.0,0.0,47196.0,0,0,0.0,11170.0,0.0,19819.0,0.0,12960.0,0.0,91144.0,0.0,47.6
