period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1493.0,1493.0,1788.0,1788.0,1165.0,1165.0,4446.0,51642.0,4446.0,4446.0,,,,,1457.0,1457.0,1744.0,1744.0,1136.0,1136.0,4338.0,51533.0,4338.0,4338.0,3.2,8.7
2,2.0,2.0,11533.46302,23066.92604,,,,,1493.0,2987.0,1788.0,3576.0,1165.0,2330.0,4446.0,56088.0,4446.0,8892.0,,,,,1421.0,2878.0,1702.0,3446.0,1109.0,2245.0,4232.0,55765.0,4232.0,8570.0,3.2,11.9
3,3.0,3.0,11533.46302,34600.38906,,,,,1493.0,4480.0,1788.0,5364.0,1165.0,3495.0,4446.0,60534.0,4446.0,13339.0,,,,,1387.0,4265.0,1660.0,5107.0,1082.0,3327.0,4129.0,59894.0,4129.0,12698.0,3.2,15.0
4,4.0,4.0,11533.46302,46133.85208,,,,,1493.0,5973.0,1788.0,7152.0,1165.0,4660.0,4446.0,64980.0,4446.0,17785.0,,,,,1353.0,5618.0,1620.0,6726.0,1055.0,4382.0,4028.0,63922.0,4028.0,16727.0,3.2,18.2
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1493.0,7467.0,1788.0,8940.0,1165.0,5824.0,4446.0,69427.0,4446.0,22231.0,,,,,1320.0,6938.0,1580.0,8307.0,1030.0,5412.0,3930.0,67852.0,3930.0,20656.0,3.2,21.4
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1493.0,8960.0,1788.0,10728.0,1165.0,6989.0,4446.0,73873.0,4446.0,26677.0,,,,,1288.0,8225.0,1542.0,9849.0,1004.0,6416.0,3834.0,71686.0,3834.0,24490.0,3.2,24.6
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1493.0,10453.0,1788.0,12516.0,1165.0,8154.0,4446.0,78319.0,4446.0,31123.0,,,,,1256.0,9482.0,1504.0,11353.0,980.0,7396.0,3740.0,75426.0,3740.0,28231.0,3.2,27.8
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1493.0,11947.0,1788.0,14304.0,1165.0,9319.0,4446.0,82765.0,4446.0,35570.0,,,,,1226.0,10707.0,1467.0,12820.0,956.0,8352.0,3649.0,79075.0,3649.0,31880.0,3.2,31.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1344.0,13291.0,1609.0,15913.0,1048.0,10367.0,4002.0,86767.0,4002.0,39571.0,,,,,1079.0,11786.0,1292.0,14112.0,842.0,9194.0,3212.0,82288.0,3212.0,35092.0,2.9,33.9
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,47196.0,0,0,0.0,13291.0,0.0,15913.0,0.0,10367.0,0.0,86767.0,0.0,39571.0,0.0,47196.0,0,0,0.0,11786.0,0.0,14112.0,0.0,9194.0,0.0,82288.0,0.0,35092.0,0.0,33.9
