period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,5.5,5.5
1,1.0,1.0,11576.0,11576.0,,,,,1720.0,1720.0,1788.0,1788.0,1169.0,1169.0,4678.0,51873.0,,,,,1678.0,1678.0,1744.0,1744.0,1141.0,1141.0,4563.0,51759.0,3.2,8.7
2,2.0,2.0,11576.0,23152.0,,,,,1720.0,3441.0,1788.0,3576.0,1169.0,2338.0,4678.0,56551.0,,,,,1637.0,3316.0,1702.0,3446.0,1113.0,2253.0,4452.0,56211.0,3.2,11.9
3,3.0,3.0,11576.0,34728.0,,,,,1720.0,5161.0,1788.0,5364.0,1169.0,3508.0,4678.0,61228.0,,,,,1598.0,4913.0,1660.0,5107.0,1086.0,3339.0,4344.0,60555.0,3.2,15.1
4,4.0,4.0,11576.0,46304.0,,,,,1720.0,6882.0,1788.0,7152.0,1169.0,4677.0,4678.0,65906.0,,,,,1559.0,6472.0,1620.0,6726.0,1059.0,4398.0,4238.0,64792.0,3.2,18.3
5,5.0,5.0,11576.0,57880.0,,,,,1720.0,8602.0,1788.0,8940.0,1169.0,5846.0,4678.0,70583.0,,,,,1521.0,7993.0,1580.0,8307.0,1033.0,5432.0,4134.0,68927.0,3.2,21.5
6,6.0,6.0,11576.0,69456.0,,,,,1720.0,10322.0,1788.0,10728.0,1169.0,7015.0,4678.0,75261.0,,,,,1483.0,9476.0,1542.0,9849.0,1008.0,6440.0,4033.0,72960.0,3.2,24.7
7,7.0,7.0,11576.0,81032.0,,,,,1720.0,12043.0,1788.0,12516.0,1169.0,8184.0,4678.0,79938.0,,,,,1447.0,10923.0,1504.0,11353.0,984.0,7424.0,3935.0,76895.0,3.2,27.9
8,8.0,8.0,11576.0,92608.0,,,,,1720.0,13763.0,1788.0,14304.0,1169.0,9353.0,4678.0,84616.0,,,,,1412.0,12335.0,1467.0,12820.0,960.0,8383.0,3839.0,80734.0,3.2,31.1
9,9.0,9.0,11576.0,104184.0,,,,,1720.0,15484.0,1788.0,16092.0,1169.0,10523.0,4678.0,89294.0,,,,,1378.0,13713.0,1432.0,14252.0,936.0,9319.0,3745.0,84480.0,3.2,34.3
10,10.0,10.0,11576.0,115760.0,,,,,1720.0,17204.0,1788.0,17880.0,1169.0,11692.0,4678.0,93971.0,,,,,1344.0,15057.0,1397.0,15649.0,913.0,10233.0,3654.0,88134.0,3.2,37.5
11,11.0,11.0,11576.0,127336.0,,,,,1720.0,18924.0,1788.0,19668.0,1169.0,12861.0,4678.0,98649.0,,,,,1311.0,16368.0,1363.0,17011.0,891.0,11124.0,3565.0,91699.0,3.2,40.7
12,12.0,12.0,11576.0,138912.0,,,,,1720.0,20645.0,1788.0,21456.0,1169.0,14030.0,4678.0,103326.0,,,,,1279.0,17647.0,1329.0,18341.0,869.0,11993.0,3478.0,95177.0,3.2,43.9
13,13.0,13.0,11576.0,150488.0,,,,,1720.0,22365.0,1788.0,23244.0,1169.0,15199.0,4678.0,108004.0,,,,,1248.0,18895.0,1297.0,19638.0,848.0,12841.0,3393.0,98570.0,3.2,47.1
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,241.0,22606.0,250.0,23494.0,164.0,15363.0,655.0,108659.0,,,,,174.0,19069.0,181.0,19819.0,118.0,12960.0,473.0,99043.0,0.4,47.6
post-use,13.14,14.454000000000002,0.0,152108.64,0.0,47196.0,0,0,0.0,22606.0,0.0,23494.0,0.0,15363.0,0.0,108659.0,0.0,47196.0,0,0,0.0,19069.0,0.0,19819.0,0.0,12960.0,0.0,99043.0,0.0,47.6
